project	species	relative_path	file_name	file_type	size	modified_time	guessed_role
epgat	melanogaster	melanogaster/SubLocalizations/genes.txt	genes.txt	.txt	70844	1617795148.0	unknown
epgat	melanogaster	melanogaster/SubLocalizations/subloc.csv.bak	subloc.csv.bak	.bak	320765	1617795148.0	unknown
epgat	melanogaster	melanogaster/SubLocalizations/subloc.csv	subloc.csv	.csv	241511	1744930018.4644914	unknown
epgat	melanogaster	melanogaster/SubLocalizations/mapping.tab	mapping.tab	.tab	332303	1617795148.0	unknown
epgat	melanogaster	melanogaster/SubLocalizations/fly_compartment_knowledge_full.tsv	fly_compartment_knowledge_full.tsv	.tsv	15232568	1617795148.0	unknown
epgat	melanogaster	melanogaster/SubLocalizations/mapping-knowledge.tab	mapping-knowledge.tab	.tab	5975216	1617795148.0	unknown
epgat	melanogaster	melanogaster/SubLocalizations/parse.py	parse.py	.py	1436	1617795148.0	unknown
epgat	melanogaster	melanogaster/SubLocalizations/update_subloc.py	update_subloc.py	.py	4785	1744952376.1658359	unknown
epgat	melanogaster	melanogaster/Orthologs/update_orthologs.py	update_orthologs.py	.py	6264	1744952376.0301113	unknown
epgat	melanogaster	melanogaster/Orthologs/fix_orthologs.py	fix_orthologs.py	.py	5770	1744952376.2544649	unknown
epgat	melanogaster	melanogaster/Orthologs/mapping.tab	mapping.tab	.tab	332303	1617795148.0	unknown
epgat	melanogaster	melanogaster/Orthologs/process.py	process.py	.py	646	1617795149.0	unknown
epgat	melanogaster	melanogaster/Orthologs/merge_orthologs.py	merge_orthologs.py	.py	1543	1617795149.0	unknown
epgat	melanogaster	melanogaster/Orthologs/orthologs.csv	orthologs.csv	.csv	9842743	1744931037.2310057	unknown
epgat	melanogaster	melanogaster/EssentialGenes/mmc3.xlsx	mmc3.xlsx	.xlsx	59295	1752205572.6139402	unknown
epgat	melanogaster	melanogaster/EssentialGenes/genes.txt	genes.txt	.txt	182124	1745034782.7676158	unknown
epgat	melanogaster	melanogaster/EssentialGenes/ogee.csv	ogee.csv	.csv	64839	1745034782.7966464	labels
epgat	melanogaster	melanogaster/EssentialGenes/DM_protein_coding_genes.txt	DM_protein_coding_genes.txt	.txt	213900	1595855288.0	unknown
epgat	melanogaster	melanogaster/EssentialGenes/7227_all.txt	7227_all.txt	.txt	634170	1745034771.0552404	labels
epgat	melanogaster	melanogaster/EssentialGenes/generate_ogee_csv.py	generate_ogee_csv.py	.py	5949	1744952376.1884255	unknown
epgat	melanogaster	melanogaster/EssentialGenes/7227_all-.txt	7227_all-.txt	.txt	1293486	1617795148.0	unknown
epgat	melanogaster	melanogaster/EssentialGenes/mapping.tab	mapping.tab	.tab	466144	1617795148.0	unknown
epgat	melanogaster	melanogaster/EssentialGenes/ogee-fb.csv	ogee-fb.csv	.csv	60446	1744936079.3997147	unknown
epgat	melanogaster	melanogaster/EssentialGenes/process.py	process.py	.py	900	1617795148.0	unknown
epgat	melanogaster	melanogaster/EssentialGenes/Essential_proteins_NR.fasta	Essential_proteins_NR.fasta	.fasta	269741	1595855288.0	unknown
epgat	melanogaster	melanogaster/EssentialGenes/NEssential_NR_list.txt	NEssential_NR_list.txt	.txt	73656	1595855288.0	nonessential_list
epgat	melanogaster	melanogaster/EssentialGenes/Essential_NR_list.txt	Essential_NR_list.txt	.txt	4824	1595855288.0	essential_list
epgat	melanogaster	melanogaster/EssentialGenes/NEssential_proteins_NR.fasta	NEssential_proteins_NR.fasta	.fasta	3230534	1595855288.0	unknown
epgat	melanogaster	melanogaster/EssentialGenes/FbID/ogee.csv	ogee.csv	.csv	91571	1744927826.2594614	labels
epgat	melanogaster	melanogaster/EssentialGenes/FbID/generate_ogee_csv.py	generate_ogee_csv.py	.py	3653	1744927784.547639	unknown
epgat	melanogaster	melanogaster/Expression/genes.txt	genes.txt	.txt	157974	1617795148.0	unknown
epgat	melanogaster	melanogaster/Expression/GSE3032_series_matrix.txt	GSE3032_series_matrix.txt	.txt	949446	1617795148.0	unknown
epgat	melanogaster	melanogaster/Expression/GSE67547_family.soft	GSE67547_family.soft	.soft	16453917	1617795148.0	unknown
epgat	melanogaster	melanogaster/Expression/update_gene_ids.py	update_gene_ids.py	.py	5382	1744928990.0147085	unknown
epgat	melanogaster	melanogaster/Expression/profile.csv	profile.csv	.csv	7134001	1744934365.979146	unknown
epgat	melanogaster	melanogaster/Expression/mapping.tab	mapping.tab	.tab	332303	1617795148.0	unknown
epgat	melanogaster	melanogaster/Expression/GSE67547_series_matrix.txt	GSE67547_series_matrix.txt	.txt	11113355	1617795148.0	unknown
epgat	melanogaster	melanogaster/Expression/process.py	process.py	.py	992	1617795148.0	unknown
epgat	melanogaster	melanogaster/Expression/GSE3032_family.soft	GSE3032_family.soft	.soft	8609689	1617795148.0	unknown
epgat	melanogaster	melanogaster/Expression/profile-.csv	profile-.csv	.csv	10614990	1744928041.306311	unknown
epgat	melanogaster	melanogaster/PPI/BIOGRID/biogrid.csv	biogrid.csv	.csv	317146	1617795149.0	unknown
epgat	melanogaster	melanogaster/PPI/DIP/dip.csv	dip.csv	.csv	19622	1617795149.0	unknown
epgat	melanogaster	melanogaster/PPI/STRING/genes.txt	genes.txt	.txt	230809	1744905293.2190323	unknown
