gene_id	source_ref_db	source_locus	source_gene	match_type
YAL001C	SGD	S000000001	TFC3	locus_exact
YAL003W	SGD	S000000003	EFB1	locus_exact
YAL025C	SGD	S000000023	MAK16	locus_exact
YAL032C	SGD	S000000030	PRP45	locus_exact
YAL033W	SGD	S000000031	POP5	locus_exact
YAL034W-A	SGD	S000000032	MTW1	locus_exact
YAL038W	SGD	S000000036	CDC19	locus_exact
YAL041W	SGD	S000000039	CDC24	locus_exact
YAL043C	SGD	S000000041	PTA1	locus_exact
YAR007C	SGD	S000000065	RFA1	locus_exact
YAR008W	SGD	S000000066	SEN34	locus_exact
YAR019C	SGD	S000000072	CDC15	locus_exact
YBL004W	SGD	S000000100	UTP20	locus_exact
YBL014C	SGD	S000000110	RRN6	locus_exact
YBL018C	SGD	S000000114	POP8	locus_exact
YBL020W	SGD	S000000116	RFT1	locus_exact
YBL023C	SGD	S000000119	MCM2	locus_exact
YBL026W	SGD	S000000122	LSM2	locus_exact
YBL034C	SGD	S000000130	STU1	locus_exact
YBL035C	SGD	S000000131	POL12	locus_exact
YBL040C	SGD	S000000136	ERD2	locus_exact
YBL041W	SGD	S000000137	PRE7	locus_exact
YBL050W	SGD	S000000146	SEC17	locus_exact
YBL074C	SGD	S000000170	AAR2	locus_exact
YBL076C	SGD	S000000172	ILS1	locus_exact
YBL084C	SGD	S000000180	CDC27	locus_exact
YBL097W	SGD	S000000193	BRN1	locus_exact
YBL105C	SGD	S000000201	PKC1	locus_exact
YBR004C	SGD	S000000208	GPI18	locus_exact
YBR011C	SGD	S000000215	IPP1	locus_exact
YBR029C	SGD	S000000233	CDS1	locus_exact
YBR038W	SGD	S000000242	CHS2	locus_exact
YBR049C	SGD	S000000253	REB1	locus_exact
YBR055C	SGD	S000000259	PRP6	locus_exact
YBR060C	SGD	S000000264	ORC2	locus_exact
YBR070C	SGD	S000000274	ALG14	locus_exact
YBR079C	SGD	S000000283	RPG1	locus_exact
YBR080C	SGD	S000000284	SEC18	locus_exact
YBR087W	SGD	S000000291	RFC5	locus_exact
YBR088C	SGD	S000000292	POL30	locus_exact
YBR091C	SGD	S000000295	TIM12	locus_exact
YBR102C	SGD	S000000306	EXO84	locus_exact
YBR109C	SGD	S000000313	CMD1	locus_exact
YBR110W	SGD	S000000314	ALG1	locus_exact
YBR121C	SGD	S000000325	GRS1	locus_exact
YBR136W	SGD	S000000340	MEC1	locus_exact
YBR140C	SGD	S000000344	IRA1	locus_exact
YBR142W	SGD	S000000346	MAK5	locus_exact
YBR143C	SGD	S000000347	SUP45	locus_exact
YBR152W	SGD	S000000356	SPP381	locus_exact
YBR153W	SGD	S000000357	RIB7	locus_exact
YBR154C	SGD	S000000358	RPB5	locus_exact
YBR155W	SGD	S000000359	CNS1	locus_exact
YBR167C	SGD	S000000371	POP7	locus_exact
YBR192W	SGD	S000000396	RIM2	locus_exact
YBR193C	SGD	S000000397	MED8	locus_exact
YBR196C	SGD	S000000400	PGI1	locus_exact
YBR198C	SGD	S000000402	TAF5	locus_exact
