gene_id	source_ref_db	source_locus	source_gene	match_type
SPAC1002.04c.1:pep	PomBase	SPAC1002.04c	taf11	locus_exact
SPAC1002.08c.1:pep	PomBase	SPAC1002.08c	mtf1	locus_exact
SPAC1002.09c.1:pep	PomBase	SPAC1002.09c	dld1	locus_exact
SPAC1002.10c.1:pep	PomBase	SPAC1002.10c	sgt1	locus_exact
SPAC1002.11.1:pep	PomBase	SPAC1002.11	gaa1	locus_exact
SPAC1002.13c.1:pep	PomBase	SPAC1002.13c	psu1	locus_exact
SPAC1002.16c.1:pep	PomBase	SPAC1002.16c	SPAC1002.16c	locus_exact
SPAC1006.02.1:pep	PomBase	SPAC1006.02	asa1	locus_exact
SPAC1006.07.1:pep	PomBase	SPAC1006.07	tif1	locus_exact
SPAC1006.08.1:pep	PomBase	SPAC1006.08	etd1	locus_exact
SPAC1071.01c.1:pep	PomBase	SPAC1071.01c	pta1	locus_exact
SPAC1071.10c.1:pep	PomBase	SPAC1071.10c	pma1	locus_exact
SPAC1093.04c.1:pep	PomBase	SPAC1093.04c	cca1	locus_exact
SPAC1093.05.1:pep	PomBase	SPAC1093.05	hca4	locus_exact
SPAC10F6.02c.1:pep	PomBase	SPAC10F6.02c	prp22	locus_exact
SPAC10F6.03c.1:pep	PomBase	SPAC10F6.03c	cts1	locus_exact
SPAC10F6.09c.1:pep	PomBase	SPAC10F6.09c	psm3	locus_exact
SPAC10F6.10.1:pep	PomBase	SPAC10F6.10	rio1	locus_exact
SPAC110.03.1:pep	PomBase	SPAC110.03	cdc42	locus_exact
SPAC110.04c.1:pep	PomBase	SPAC110.04c	pss1	locus_exact
SPAC1142.04.1:pep	PomBase	SPAC1142.04	noc201	locus_exact
SPAC11E3.02c.1:pep	PomBase	SPAC11E3.02c	ync13	locus_exact
SPAC11E3.07.1:pep	PomBase	SPAC11E3.07	vma4	locus_exact
SPAC11H11.06.1:pep	PomBase	SPAC11H11.06	arp2	locus_exact
SPAC1250.01.1:pep	PomBase	SPAC1250.01	snf21	locus_exact
SPAC1250.07.1:pep	PomBase	SPAC1250.07	sfc7	locus_exact
SPAC12B10.02c.1:pep	PomBase	SPAC12B10.02c	SPAC12B10.02c	locus_exact
SPAC12B10.08c.1:pep	PomBase	SPAC12B10.08c	til1	locus_exact
SPAC12G12.02.1:pep	PomBase	SPAC12G12.02	efg1	locus_exact
SPAC12G12.04.1:pep	PomBase	SPAC12G12.04	mcp60	locus_exact
SPAC12G12.05c.1:pep	PomBase	SPAC12G12.05c	taf9	locus_exact
SPAC12G12.06c.1:pep	PomBase	SPAC12G12.06c	rcl1	locus_exact
SPAC12G12.08.1:pep	PomBase	SPAC12G12.08	mrpl6	locus_exact
SPAC12G12.14c.1:pep	PomBase	SPAC12G12.14c	pfs2	locus_exact
SPAC13A11.02c.1:pep	PomBase	SPAC13A11.02c	erg11	locus_exact
SPAC13D6.05.1:pep	PomBase	SPAC13D6.05	alp11	locus_exact
SPAC13F5.02c.1:pep	PomBase	SPAC13F5.02c	taf7	locus_exact
SPAC13F5.06c.1:pep	PomBase	SPAC13F5.06c	sec10	locus_exact
SPAC13G6.05c.1:pep	PomBase	SPAC13G6.05c	trs33	locus_exact
SPAC13G6.11c.1:pep	PomBase	SPAC13G6.11c	erg12	locus_exact
SPAC13G7.01c.1:pep	PomBase	SPAC13G7.01c	erg7	locus_exact
SPAC13G7.08c.1:pep	PomBase	SPAC13G7.08c	crb3	locus_exact
SPAC13G7.10.1:pep	PomBase	SPAC13G7.10	teb1	locus_exact
SPAC1420.02c.1:pep	PomBase	SPAC1420.02c	cct5	locus_exact
SPAC144.07c.1:pep	PomBase	SPAC144.07c	gpn2	locus_exact
SPAC144.08.1:pep	PomBase	SPAC144.08	jac1	locus_exact
SPAC144.09c.1:pep	PomBase	SPAC144.09c	sfc2	locus_exact
SPAC144.10c.1:pep	PomBase	SPAC144.10c	gwt1	locus_exact
SPAC144.12.1:pep	PomBase	SPAC144.12	rki1	locus_exact
SPAC144.15c.1:pep	PomBase	SPAC144.15c	cog1	locus_exact
SPAC144.16.1:pep	PomBase	SPAC144.16	cia2	locus_exact
SPAC144.18.1:pep	PomBase	SPAC144.18	vrg4	locus_exact
SPAC1486.03c.1:pep	PomBase	SPAC1486.03c	ntr1	locus_exact
SPAC1486.05.1:pep	PomBase	SPAC1486.05	nup189	locus_exact
SPAC1486.06.1:pep	PomBase	SPAC1486.06	npt1	locus_exact
SPAC1486.07c.1:pep	PomBase	SPAC1486.07c	mrpl19	locus_exact
SPAC1486.09.1:pep	PomBase	SPAC1486.09	nob1	locus_exact
SPAC14C4.02c.1:pep	PomBase	SPAC14C4.02c	smc5	locus_exact
SPAC1556.07.1:pep	PomBase	SPAC1556.07	pmm1	locus_exact
SPAC1565.05.1:pep	PomBase	SPAC1565.05	utp8	locus_exact
SPAC1565.06c.1:pep	PomBase	SPAC1565.06c	spg1	locus_exact
SPAC1565.08.1:pep	PomBase	SPAC1565.08	cdc48	locus_exact
