source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
SGD	S000000001	TFC3	E	YAL001C	locus_exact	matched
SGD	S000000003	EFB1	E	YAL003W	locus_exact	matched
SGD	S000000023	MAK16	E	YAL025C	locus_exact	matched
SGD	S000000030	PRP45	E	YAL032C	locus_exact	matched
SGD	S000000031	POP5	E	YAL033W	locus_exact	matched
SGD	S000000032	MTW1	E	YAL034W-A	locus_exact	matched
SGD	S000000036	CDC19	E	YAL038W	locus_exact	matched
SGD	S000000039	CDC24	E	YAL041W	locus_exact	matched
SGD	S000000041	PTA1	E	YAL043C	locus_exact	matched
SGD	S000000065	RFA1	E	YAR007C	locus_exact	matched
SGD	S000000066	SEN34	E	YAR008W	locus_exact	matched
SGD	S000000072	CDC15	E	YAR019C	locus_exact	matched
SGD	S000000100	UTP20	E	YBL004W	locus_exact	matched
SGD	S000000110	RRN6	E	YBL014C	locus_exact	matched
SGD	S000000114	POP8	E	YBL018C	locus_exact	matched
SGD	S000000116	RFT1	E	YBL020W	locus_exact	matched
SGD	S000000119	MCM2	E	YBL023C	locus_exact	matched
SGD	S000000122	LSM2	E	YBL026W	locus_exact	matched
SGD	S000000130	STU1	E	YBL034C	locus_exact	matched
SGD	S000000131	POL12	E	YBL035C	locus_exact	matched
SGD	S000000136	ERD2	E	YBL040C	locus_exact	matched
SGD	S000000137	PRE7	E	YBL041W	locus_exact	matched
SGD	S000000146	SEC17	E	YBL050W	locus_exact	matched
SGD	S000000170	AAR2	E	YBL074C	locus_exact	matched
SGD	S000000172	ILS1	E	YBL076C	locus_exact	matched
SGD	S000000180	CDC27	E	YBL084C	locus_exact	matched
SGD	S000000193	BRN1	E	YBL097W	locus_exact	matched
SGD	S000000201	PKC1	E	YBL105C	locus_exact	matched
SGD	S000000208	GPI18	E	YBR004C	locus_exact	matched
SGD	S000000215	IPP1	E	YBR011C	locus_exact	matched
SGD	S000000233	CDS1	E	YBR029C	locus_exact	matched
SGD	S000000242	CHS2	E	YBR038W	locus_exact	matched
SGD	S000000253	REB1	E	YBR049C	locus_exact	matched
SGD	S000000259	PRP6	E	YBR055C	locus_exact	matched
SGD	S000000264	ORC2	E	YBR060C	locus_exact	matched
SGD	S000000274	ALG14	E	YBR070C	locus_exact	matched
SGD	S000000283	RPG1	E	YBR079C	locus_exact	matched
SGD	S000000284	SEC18	E	YBR080C	locus_exact	matched
SGD	S000000291	RFC5	E	YBR087W	locus_exact	matched
SGD	S000000292	POL30	E	YBR088C	locus_exact	matched
SGD	S000000295	TIM12	E	YBR091C	locus_exact	matched
SGD	S000000306	EXO84	E	YBR102C	locus_exact	matched
SGD	S000000313	CMD1	E	YBR109C	locus_exact	matched
SGD	S000000314	ALG1	E	YBR110W	locus_exact	matched
SGD	S000000325	GRS1	E	YBR121C	locus_exact	matched
SGD	S000000340	MEC1	E	YBR136W	locus_exact	matched
SGD	S000000344	IRA1	E	YBR140C	locus_exact	matched
SGD	S000000346	MAK5	E	YBR142W	locus_exact	matched
SGD	S000000347	SUP45	E	YBR143C	locus_exact	matched
SGD	S000000356	SPP381	E	YBR152W	locus_exact	matched
SGD	S000000357	RIB7	E	YBR153W	locus_exact	matched
SGD	S000000358	RPB5	E	YBR154C	locus_exact	matched
SGD	S000000359	CNS1	E	YBR155W	locus_exact	matched
SGD	S000000371	POP7	E	YBR167C	locus_exact	matched
SGD	S000000396	RIM2	E	YBR192W	locus_exact	matched
SGD	S000000397	MED8	E	YBR193C	locus_exact	matched
SGD	S000000400	PGI1	E	YBR196C	locus_exact	matched
SGD	S000000402	TAF5	E	YBR198C	locus_exact	matched
SGD	S000000406	MCM7	E	YBR202W	locus_exact	matched
SGD	S000000415	AME1	E	YBR211C	locus_exact	matched
SGD	S000000440	ABD1	E	YBR236C	locus_exact	matched
SGD	S000000441	PRP5	E	YBR237W	locus_exact	matched
SGD	S000000447	ALG7	E	YBR243C	locus_exact	matched
SGD	S000000451	ENP1	E	YBR247C	locus_exact	matched
SGD	S000000457	SRB6	E	YBR253W	locus_exact	matched
SGD	S000000458	TRS20	E	YBR254C	locus_exact	matched
SGD	S000000460	RIB5	E	YBR256C	locus_exact	matched
SGD	S000000461	POP4	E	YBR257W	locus_exact	matched
SGD	S000000469	TSC10	E	YBR265W	locus_exact	matched
SGD	S000000510	PGS1	E	YCL004W	locus_exact	matched
SGD	S000000522	NFS1	E	YCL017C	locus_exact	matched
SGD	S000000536	RRP7	E	YCL031C	locus_exact	matched
SGD	S000000548	PDI1	E	YCL043C	locus_exact	matched
SGD	S000000557	PBN1	E	YCL052C	locus_exact	matched
SGD	S000000564	KRR1	E	YCL059C	locus_exact	matched
SGD	S000000572	HMLALPHA2	E	YCL067C	locus_exact	matched
SGD	S000000605	PGK1	E	YCR012W	locus_exact	matched
SGD	S000000631	RRP43	E	YCR035C	locus_exact	matched
SGD	S000000635	MATALPHA2	E	YCR039C	locus_exact	matched
SGD	S000000648	RSC6	E	YCR052W	locus_exact	matched
SGD	S000000650	CTR86	E	YCR054C	locus_exact	matched
SGD	S000000653	PWP2	E	YCR057C	locus_exact	matched
SGD	S000000668	RSA4	E	YCR072C	locus_exact	matched
SGD	S000000692	HMRA2	E	YCR096C	locus_exact	matched
SGD	S000000728	WBP1	E	YEL002C	locus_exact	matched
SGD	S000000745	MMS21	E	YEL019C	locus_exact	matched
SGD	S000000752	SNU13	E	YEL026W	locus_exact	matched
SGD	S000000758	MCM3	E	YEL032W	locus_exact	matched
SGD	S000000761	UTR5	E	YEL035C	locus_exact	matched
SGD	S000000781	POL5	E	YEL055C	locus_exact	matched
SGD	S000000784	PCM1	E	YEL058W	locus_exact	matched
SGD	S000000805	PMI40	E	YER003C	locus_exact	matched
SGD	S000000808	NUG1	E	YER006W	locus_exact	matched
SGD	S000000811	NTF2	E	YER009W	locus_exact	matched
SGD	S000000814	PRE1	E	YER012W	locus_exact	matched
SGD	S000000815	PRP22	E	YER013W	locus_exact	matched
SGD	S000000820	SPC25	E	YER018C	locus_exact	matched
SGD	S000000823	RPN3	E	YER021W	locus_exact	matched
SGD	S000000824	SRB4	E	YER022W	locus_exact	matched
SGD	S000000825	PRO3	E	YER023W	locus_exact	matched
SGD	S000000827	GCD11	E	YER025W	locus_exact	matched
SGD	S000000840	KRE29	E	YER038C	locus_exact	matched
SGD	S000000884	UTP7	E	YER082C	locus_exact	matched
SGD	S000000895	TSC11	E	YER093C	locus_exact	matched
SGD	S000000896	PUP3	E	YER094C	locus_exact	matched
SGD	S000000906	RTT105	E	YER104W	locus_exact	matched
SGD	S000000914	LSM4	E	YER112W	locus_exact	matched
SGD	S000000927	RSP5	E	YER125W	locus_exact	matched
SGD	S000000928	NSA2	E	YER126C	locus_exact	matched
SGD	S000000929	LCP5	E	YER127W	locus_exact	matched
SGD	S000000935	GLC7	E	YER133W	locus_exact	matched
SGD	S000000938	GDI1	E	YER136W	locus_exact	matched
SGD	S000000949	SCC4	E	YER147C	locus_exact	matched
SGD	S000000950	SPT15	E	YER148W	locus_exact	matched
SGD	S000000967	PAB1	E	YER165W	locus_exact	matched
SGD	S000000970	CCA1	E	YER168C	locus_exact	matched
SGD	S000000974	BRR2	E	YER172C	locus_exact	matched
SGD	S000001007	RPS20	E	YHL015W	locus_exact	matched
SGD	S000001061	DED81	E	YHR019C	locus_exact	matched
SGD	S000001062	NA	E	YHR020W	locus_exact	matched
SGD	S000001066	MAS2	E	YHR024C	locus_exact	matched
SGD	S000001069	RPN1	E	YHR027C	locus_exact	matched
SGD	S000001078	BRL1	E	YHR036W	locus_exact	matched
SGD	S000001082	BCD1	E	YHR040W	locus_exact	matched
SGD	S000001100	MED6	E	YHR058C	locus_exact	matched
SGD	S000001104	RPP1	E	YHR062C	locus_exact	matched
SGD	S000001107	RRP3	E	YHR065C	locus_exact	matched
SGD	S000001110	DYS1	E	YHR068W	locus_exact	matched
SGD	S000001111	RRP4	E	YHR069C	locus_exact	matched
SGD	S000001114	ERG7	E	YHR072W	locus_exact	matched
SGD	S000001116	QNS1	E	YHR074W	locus_exact	matched
SGD	S000001127	IPI1	E	YHR085W	locus_exact	matched
SGD	S000001130	RPF1	E	YHR088W	locus_exact	matched
SGD	S000001140	SFB3	E	YHR098C	locus_exact	matched
SGD	S000001141	TRA1	E	YHR099W	locus_exact	matched
SGD	S000001149	CDC12	E	YHR107C	locus_exact	matched
SGD	S000001160	ORC6	E	YHR118C	locus_exact	matched
SGD	S000001164	CIA2	E	YHR122W	locus_exact	matched
SGD	S000001185	RPC10	E	YHR143W-A	locus_exact	matched
SGD	S000001191	IMP3	E	YHR148W	locus_exact	matched
SGD	S000001207	DNA2	E	YHR164C	locus_exact	matched
SGD	S000001208	PRP8	E	YHR165C	locus_exact	matched
SGD	S000001209	CDC23	E	YHR166C	locus_exact	matched
SGD	S000001212	DBP8	E	YHR169W	locus_exact	matched
SGD	S000001213	NMD3	E	YHR170W	locus_exact	matched
SGD	S000001215	SPC97	E	YHR172W	locus_exact	matched
SGD	S000001229	KOG1	E	YHR186C	locus_exact	matched
SGD	S000001231	GPI16	E	YHR188C	locus_exact	matched
SGD	S000001233	ERG9	E	YHR190W	locus_exact	matched
SGD	S000001239	UTP9	E	YHR196W	locus_exact	matched
SGD	S000001240	RIX1	E	YHR197W	locus_exact	matched
SGD	S000001265	CFD1	E	YIL003W	locus_exact	matched
SGD	S000001266	BET1	E	YIL004C	locus_exact	matched
SGD	S000001281	FAF1	E	YIL019W	locus_exact	matched
SGD	S000001283	RPB3	E	YIL021W	locus_exact	matched
SGD	S000001284	TIM44	E	YIL022W	locus_exact	matched
SGD	S000001288	IRR1	E	YIL026C	locus_exact	matched
SGD	S000001308	MET30	E	YIL046W	locus_exact	matched
SGD	S000001310	NEO1	E	YIL048W	locus_exact	matched
