source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
PomBase	SPAC1002.04c	taf11	E	SPAC1002.04c.1:pep	locus_exact	matched
PomBase	SPAC1002.08c	mtf1	E	SPAC1002.08c.1:pep	locus_exact	matched
PomBase	SPAC1002.09c	dld1	E	SPAC1002.09c.1:pep	locus_exact	matched
PomBase	SPAC1002.10c	sgt1	E	SPAC1002.10c.1:pep	locus_exact	matched
PomBase	SPAC1002.11	gaa1	E	SPAC1002.11.1:pep	locus_exact	matched
PomBase	SPAC1002.13c	psu1	E	SPAC1002.13c.1:pep	locus_exact	matched
PomBase	SPAC1002.16c	SPAC1002.16c	E	SPAC1002.16c.1:pep	locus_exact	matched
PomBase	SPAC1006.02	asa1	E	SPAC1006.02.1:pep	locus_exact	matched
PomBase	SPAC1006.07	tif1	E	SPAC1006.07.1:pep	locus_exact	matched
PomBase	SPAC1006.08	etd1	E	SPAC1006.08.1:pep	locus_exact	matched
PomBase	SPAC1071.01c	pta1	E	SPAC1071.01c.1:pep	locus_exact	matched
PomBase	SPAC1071.10c	pma1	E	SPAC1071.10c.1:pep	locus_exact	matched
PomBase	SPAC1093.04c	cca1	E	SPAC1093.04c.1:pep	locus_exact	matched
PomBase	SPAC1093.05	hca4	E	SPAC1093.05.1:pep	locus_exact	matched
PomBase	SPAC10F6.02c	prp22	E	SPAC10F6.02c.1:pep	locus_exact	matched
PomBase	SPAC10F6.03c	cts1	E	SPAC10F6.03c.1:pep	locus_exact	matched
PomBase	SPAC10F6.09c	psm3	E	SPAC10F6.09c.1:pep	locus_exact	matched
PomBase	SPAC10F6.10	rio1	E	SPAC10F6.10.1:pep	locus_exact	matched
PomBase	SPAC110.03	cdc42	E	SPAC110.03.1:pep	locus_exact	matched
PomBase	SPAC110.04c	pss1	E	SPAC110.04c.1:pep	locus_exact	matched
PomBase	SPAC1142.04	noc201	E	SPAC1142.04.1:pep	locus_exact	matched
PomBase	SPAC11E3.02c	ync13	E	SPAC11E3.02c.1:pep	locus_exact	matched
PomBase	SPAC11E3.07	vma4	E	SPAC11E3.07.1:pep	locus_exact	matched
PomBase	SPAC11H11.06	arp2	E	SPAC11H11.06.1:pep	locus_exact	matched
PomBase	SPAC1250.01	snf21	E	SPAC1250.01.1:pep	locus_exact	matched
PomBase	SPAC1250.07	sfc7	E	SPAC1250.07.1:pep	locus_exact	matched
PomBase	SPAC12B10.02c	SPAC12B10.02c	E	SPAC12B10.02c.1:pep	locus_exact	matched
PomBase	SPAC12B10.08c	til1	E	SPAC12B10.08c.1:pep	locus_exact	matched
PomBase	SPAC12G12.02	efg1	E	SPAC12G12.02.1:pep	locus_exact	matched
PomBase	SPAC12G12.04	mcp60	E	SPAC12G12.04.1:pep	locus_exact	matched
PomBase	SPAC12G12.05c	taf9	E	SPAC12G12.05c.1:pep	locus_exact	matched
PomBase	SPAC12G12.06c	rcl1	E	SPAC12G12.06c.1:pep	locus_exact	matched
PomBase	SPAC12G12.08	mrpl6	E	SPAC12G12.08.1:pep	locus_exact	matched
PomBase	SPAC12G12.14c	pfs2	E	SPAC12G12.14c.1:pep	locus_exact	matched
PomBase	SPAC13A11.02c	erg11	E	SPAC13A11.02c.1:pep	locus_exact	matched
PomBase	SPAC13D6.05	alp11	E	SPAC13D6.05.1:pep	locus_exact	matched
PomBase	SPAC13F5.02c	taf7	E	SPAC13F5.02c.1:pep	locus_exact	matched
PomBase	SPAC13F5.06c	sec10	E	SPAC13F5.06c.1:pep	locus_exact	matched
PomBase	SPAC13G6.05c	trs33	E	SPAC13G6.05c.1:pep	locus_exact	matched
PomBase	SPAC13G6.11c	erg12	E	SPAC13G6.11c.1:pep	locus_exact	matched
PomBase	SPAC13G7.01c	erg7	E	SPAC13G7.01c.1:pep	locus_exact	matched
PomBase	SPAC13G7.08c	crb3	E	SPAC13G7.08c.1:pep	locus_exact	matched
PomBase	SPAC13G7.10	teb1	E	SPAC13G7.10.1:pep	locus_exact	matched
PomBase	SPAC1420.02c	cct5	E	SPAC1420.02c.1:pep	locus_exact	matched
PomBase	SPAC144.07c	gpn2	E	SPAC144.07c.1:pep	locus_exact	matched
PomBase	SPAC144.08	jac1	E	SPAC144.08.1:pep	locus_exact	matched
PomBase	SPAC144.09c	sfc2	E	SPAC144.09c.1:pep	locus_exact	matched
PomBase	SPAC144.10c	gwt1	E	SPAC144.10c.1:pep	locus_exact	matched
PomBase	SPAC144.12	rki1	E	SPAC144.12.1:pep	locus_exact	matched
PomBase	SPAC144.15c	cog1	E	SPAC144.15c.1:pep	locus_exact	matched
PomBase	SPAC144.16	cia2	E	SPAC144.16.1:pep	locus_exact	matched
PomBase	SPAC144.18	vrg4	E	SPAC144.18.1:pep	locus_exact	matched
PomBase	SPAC1486.03c	ntr1	E	SPAC1486.03c.1:pep	locus_exact	matched
PomBase	SPAC1486.05	nup189	E	SPAC1486.05.1:pep	locus_exact	matched
PomBase	SPAC1486.06	npt1	E	SPAC1486.06.1:pep	locus_exact	matched
PomBase	SPAC1486.07c	mrpl19	E	SPAC1486.07c.1:pep	locus_exact	matched
PomBase	SPAC1486.09	nob1	E	SPAC1486.09.1:pep	locus_exact	matched
PomBase	SPAC14C4.02c	smc5	E	SPAC14C4.02c.1:pep	locus_exact	matched
PomBase	SPAC1556.07	pmm1	E	SPAC1556.07.1:pep	locus_exact	matched
PomBase	SPAC1565.05	utp8	E	SPAC1565.05.1:pep	locus_exact	matched
PomBase	SPAC1565.06c	spg1	E	SPAC1565.06c.1:pep	locus_exact	matched
PomBase	SPAC1565.08	cdc48	E	SPAC1565.08.1:pep	locus_exact	matched
PomBase	SPAC15A10.01	atm1	E	SPAC15A10.01.1:pep	locus_exact	matched
PomBase	SPAC15A10.02	taf12	E	SPAC15A10.02.1:pep	locus_exact	matched
PomBase	SPAC15A10.04c	zpr1	E	SPAC15A10.04c.1:pep	locus_exact	matched
PomBase	SPAC15A10.12c	tca17	E	SPAC15A10.12c.1:pep	locus_exact	matched
PomBase	SPAC15E1.08	naa10	E	SPAC15E1.08.1:pep	locus_exact	matched
PomBase	SPAC15F9.03c	nxt2	E	SPAC15F9.03c.1:pep	locus_exact	matched
PomBase	SPAC16.02c	srp2	E	SPAC16.02c.1:pep	locus_exact	matched
PomBase	SPAC167.02	ptb1	E	SPAC167.02.1:pep	locus_exact	matched
