raw_probe_id	mapped_gene_id	mapping_status	mapping_method
FGRAMPH1_01G05589	FGRAMPH1_01G05589	mapped	direct_gene_id
FGRAMPH1_01G05575	FGRAMPH1_01G05575	mapped	direct_gene_id
FGRAMPH1_01G06039	FGRAMPH1_01G06039	mapped	direct_gene_id
FGRAMPH1_01G02873	FGRAMPH1_01G02873	mapped	direct_gene_id
FGRAMPH1_01G20639	FGRAMPH1_01G20639	mapped	direct_gene_id
FGRAMPH1_01G25145	FGRAMPH1_01G25145	mapped	direct_gene_id
FGRAMPH1_01G21921	FGRAMPH1_01G21921	mapped	direct_gene_id
FGRAMPH1_01G14205	FGRAMPH1_01G14205	mapped	direct_gene_id
FGRAMPH1_01G26169	FGRAMPH1_01G26169	mapped	direct_gene_id
FGRAMPH1_01G02095	FGRAMPH1_01G02095	mapped	direct_gene_id
FGRAMPH1_01G00373	FGRAMPH1_01G00373	mapped	direct_gene_id
FGRAMPH1_01G19883	FGRAMPH1_01G19883	mapped	direct_gene_id
FGRAMPH1_01G14153	FGRAMPH1_01G14153	mapped	direct_gene_id
FGRAMPH1_01G01413	FGRAMPH1_01G01413	mapped	direct_gene_id
FGRAMPH1_01G13949	FGRAMPH1_01G13949	mapped	direct_gene_id
FGRAMPH1_01G10507	FGRAMPH1_01G10507	mapped	direct_gene_id
FGRAMPH1_01G03321	FGRAMPH1_01G03321	mapped	direct_gene_id
FGRAMPH1_01G12865	FGRAMPH1_01G12865	mapped	direct_gene_id
FGRAMPH1_01G20917	FGRAMPH1_01G20917	mapped	direct_gene_id
FGRAMPH1_01G15571	FGRAMPH1_01G15571	mapped	direct_gene_id
FGRAMPH1_01G17281	FGRAMPH1_01G17281	mapped	direct_gene_id
FGRAMPH1_01G14725	FGRAMPH1_01G14725	mapped	direct_gene_id
FGRAMPH1_01G16403	FGRAMPH1_01G16403	mapped	direct_gene_id
FGRAMPH1_01G07161	FGRAMPH1_01G07161	mapped	direct_gene_id
FGRAMPH1_01G03505	FGRAMPH1_01G03505	mapped	direct_gene_id
FGRAMPH1_01G15627	FGRAMPH1_01G15627	mapped	direct_gene_id
FGRAMPH1_01G11757	FGRAMPH1_01G11757	mapped	direct_gene_id
FGRAMPH1_01G15335	FGRAMPH1_01G15335	mapped	direct_gene_id
FGRAMPH1_01G05005	FGRAMPH1_01G05005	mapped	direct_gene_id
FGRAMPH1_01G07531	FGRAMPH1_01G07531	mapped	direct_gene_id
FGRAMPH1_01G01259	FGRAMPH1_01G01259	mapped	direct_gene_id
FGRAMPH1_01G10877	FGRAMPH1_01G10877	mapped	direct_gene_id
FGRAMPH1_01G17325	FGRAMPH1_01G17325	mapped	direct_gene_id
FGRAMPH1_01G14675	FGRAMPH1_01G14675	mapped	direct_gene_id
FGRAMPH1_01G02461	FGRAMPH1_01G02461	mapped	direct_gene_id
FGRAMPH1_01G21215	FGRAMPH1_01G21215	mapped	direct_gene_id
FGRAMPH1_01G20351	FGRAMPH1_01G20351	mapped	direct_gene_id
FGRAMPH1_01G18017	FGRAMPH1_01G18017	mapped	direct_gene_id
FGRAMPH1_01G00885	FGRAMPH1_01G00885	mapped	direct_gene_id
FGRAMPH1_01G09931	FGRAMPH1_01G09931	mapped	direct_gene_id
FGRAMPH1_01G12755	FGRAMPH1_01G12755	mapped	direct_gene_id
FGRAMPH1_01G04069	FGRAMPH1_01G04069	mapped	direct_gene_id
FGRAMPH1_01G12219	FGRAMPH1_01G12219	mapped	direct_gene_id
FGRAMPH1_01G25023	FGRAMPH1_01G25023	mapped	direct_gene_id
FGRAMPH1_01G19307	FGRAMPH1_01G19307	mapped	direct_gene_id
FGRAMPH1_01G26615	FGRAMPH1_01G26615	mapped	direct_gene_id
FGRAMPH1_01G00699	FGRAMPH1_01G00699	mapped	direct_gene_id
FGRAMPH1_01G26715	FGRAMPH1_01G26715	mapped	direct_gene_id
FGRAMPH1_01G09757	FGRAMPH1_01G09757	mapped	direct_gene_id
FGRAMPH1_01G25093	FGRAMPH1_01G25093	mapped	direct_gene_id
FGRAMPH1_01G01349	FGRAMPH1_01G01349	mapped	direct_gene_id
FGRAMPH1_01G04773	FGRAMPH1_01G04773	mapped	direct_gene_id
FGRAMPH1_01G06395	FGRAMPH1_01G06395	mapped	direct_gene_id
FGRAMPH1_01G07577	FGRAMPH1_01G07577	mapped	direct_gene_id
FGRAMPH1_01G27257	FGRAMPH1_01G27257	mapped	direct_gene_id
FGRAMPH1_01G17255	FGRAMPH1_01G17255	mapped	direct_gene_id
FGRAMPH1_01G09061	FGRAMPH1_01G09061	mapped	direct_gene_id
FGRAMPH1_01G18315	FGRAMPH1_01G18315	mapped	direct_gene_id
FGRAMPH1_01G11143	FGRAMPH1_01G11143	mapped	direct_gene_id
FGRAMPH1_01G02547	FGRAMPH1_01G02547	mapped	direct_gene_id
