raw_probe_id	mapped_gene_id	mapping_status	mapping_method
A0A075B759		unmapped	none
A0A096LP55	ENSG00000233954	mapped	alias_bridge
A0A0A6YYL3	ENSG00000233917	mapped	alias_bridge
A0A0B4J2A2	ENSG00000263464	mapped	alias_bridge
A0A0B4J2D5		unmapped	none
A0A0D9SF12		unmapped	none
A0A0U1RR11		unmapped	none
A0A183	ENSG00000235942	mapped	alias_bridge
A0A1B0GTR3		unmapped	none
A0A1B0GTZ2		unmapped	none
A0A1B0GUI7		unmapped	none
A0A1W2PR19		unmapped	none
A0A2Z4LIS9		unmapped	none
A0AUZ9	ENSG00000144445	mapped	alias_bridge
A0AV02	ENSG00000221955	mapped	alias_bridge
A0AV96	ENSG00000163694	mapped	alias_bridge
A0AVF1	ENSG00000105948	mapped	alias_bridge
A0AVI2		unmapped	none
A0AVI4	ENSG00000168936	mapped	alias_bridge
A0AVK6	ENSG00000129173	mapped	alias_bridge
A0AVT1	ENSG00000033178	mapped	alias_bridge
A0FGR8	ENSG00000117868	mapped	alias_bridge
A0FGR9	ENSG00000158220	mapped	alias_bridge
A0JLT2	ENSG00000156603	mapped	alias_bridge
A0JNW5	ENSG00000111647	mapped	alias_bridge
A0MZ66	ENSG00000187164	mapped	alias_bridge
A0PG75	ENSG00000231213	mapped	alias_bridge
A0PJE2	ENSG00000102796	mapped	alias_bridge
A0PJK1	ENSG00000154025	mapped	alias_bridge
A0PJW6	ENSG00000168569	mapped	alias_bridge
A0PJW8	ENSG00000163331	mapped	alias_bridge
A0PJX0	ENSG00000157884	mapped	alias_bridge
A0PJX4	ENSG00000178343	mapped	alias_bridge
A0PJX8	ENSG00000162460	mapped	alias_bridge
A0PJY2	ENSG00000128610	mapped	alias_bridge
A0PJZ0		unmapped	none
A0PJZ3	ENSG00000172986	mapped	alias_bridge
A0PK00	ENSG00000188735	mapped	alias_bridge
A0PK05	ENSG00000187783	mapped	alias_bridge
A0PK11	ENSG00000249581	mapped	alias_bridge
A0ZSE6		unmapped	none
A1A4F0	ENSG00000174899	mapped	alias_bridge
A1A4G5	ENSG00000206535	mapped	alias_bridge
A1A4V9	ENSG00000196118	mapped	alias_bridge
A1A4Y4	ENSG00000237693	mapped	alias_bridge
A1A519	ENSG00000164334	mapped	alias_bridge
A1A580	ENSG00000186980	mapped	alias_bridge
A1A5B4	ENSG00000185101	mapped	alias_bridge
A1A5C7	ENSG00000137266	mapped	alias_bridge
A1A5D9	ENSG00000162069	mapped	alias_bridge
A1E959	ENSG00000109205	mapped	alias_bridge
A1IGU5	ENSG00000183111	mapped	alias_bridge
A1KXE4	ENSG00000152102	mapped	alias_bridge
A1KZ92	ENSG00000147485	mapped	alias_bridge
A1L020	ENSG00000254726	mapped	alias_bridge
A1L0T0	ENSG00000105135	mapped	alias_bridge
A1L157	ENSG00000110900	mapped	alias_bridge
A1L167	ENSG00000215218	mapped	alias_bridge
A1L168	ENSG00000215595	mapped	alias_bridge
A1L170	ENSG00000239887	mapped	alias_bridge
A1L188	ENSG00000224877	mapped	alias_bridge
A1L190	ENSG00000217442	mapped	alias_bridge
A1L1A6	ENSG00000216588	mapped	alias_bridge
A1L390	ENSG00000126822	mapped	alias_bridge
