raw_probe_id	mapped_gene_id	mapping_status	mapping_method
1	FBgn0260741	mapped	alias_bridge
2	FBgn0001942	mapped	mapped_direct
3		ambiguous	none
4	FBgn0034569	mapped	mapped_direct
5	FBgn0052248	mapped	mapped_direct
6		unmapped	none
7	FBgn0260745	mapped	alias_bridge
8	FBgn0261986	mapped	alias_bridge
9		unmapped	none
10	FBgn0052364	mapped	mapped_direct
11	FBgn0033756	mapped	alias_bridge
12	FBgn0000181	mapped	alias_bridge
13	FBgn0031472	mapped	mapped_direct
14	FBgn0031474	mapped	mapped_direct
16		unmapped	none
17	FBgn0050058	mapped	mapped_direct
18		unmapped	none
19	FBgn0038914	mapped	mapped_direct
20		unmapped	none
21		unmapped	none
22	FBgn0032957	mapped	mapped_direct
23		unmapped	none
24	FBgn0025808	mapped	alias_bridge
25	FBgn0051266	mapped	mapped_direct
26	FBgn0051363	mapped	mapped_direct
27	FBgn0021764	mapped	mapped_direct
28	FBgn0038047	mapped	mapped_direct
29		unmapped	none
30		unmapped	none
31	FBgn0086371	mapped	alias_bridge
32		unmapped	none
33	FBgn0036463	mapped	mapped_direct
34		unmapped	none
35		unmapped	none
36		unmapped	none
37		unmapped	none
38		unmapped	none
42	FBgn0013733	mapped	alias_bridge
43	FBgn0032210	mapped	mapped_direct
44	FBgn0039529	mapped	mapped_direct
45		unmapped	none
46	FBgn0039025	mapped	alias_bridge
47		unmapped	none
48	FBgn0039175	mapped	mapped_direct
49		unmapped	none
50		unmapped	none
51		unmapped	none
52	FBgn0051465	mapped	mapped_direct
53	FBgn0052040	mapped	mapped_direct
54	FBgn0052100	mapped	mapped_direct
55	FBgn0041706	mapped	mapped_direct
56		unmapped	none
57		unmapped	none
58	FBgn0010408	mapped	mapped_direct
59	FBgn0031359	mapped	mapped_direct
60	FBgn0036181	mapped	mapped_direct
61		unmapped	none
62		unmapped	none
63		unmapped	none
64		unmapped	none
65		unmapped	none
66	FBgn0037870	mapped	mapped_direct
67		unmapped	none
68	FBgn0022344	mapped	mapped_direct
69	FBgn0036314	mapped	mapped_direct
70	FBgn0031398	mapped	mapped_direct
71	FBgn0031139	mapped	mapped_direct
72		unmapped	none
73	FBgn0037652	mapped	mapped_direct
74	FBgn0030053	mapped	mapped_direct
75	FBgn0024177	mapped	mapped_direct
76		unmapped	none
77	FBgn0036290	mapped	mapped_direct
78		unmapped	none
79	FBgn0034537	mapped	mapped_direct
80		unmapped	none
81		unmapped	none
82		unmapped	none
83	FBgn0039609	mapped	mapped_direct
84		unmapped	none
85		unmapped	none
86	FBgn0033054	mapped	mapped_direct
87	FBgn0015331	mapped	mapped_direct
88		unmapped	none
89		unmapped	none
90		unmapped	none
91		unmapped	none
92		unmapped	none
94		unmapped	none
95		unmapped	none
96		unmapped	none
97	FBgn0036227	mapped	mapped_direct
98		unmapped	none
99	FBgn0038157	mapped	mapped_direct
100	FBgn0033184	mapped	mapped_direct
101		unmapped	none
102		unmapped	none
103	FBgn0036956	mapped	mapped_direct
104	FBgn0035109	mapped	mapped_direct
105	FBgn0038658	mapped	mapped_direct
106	FBgn0038153	mapped	mapped_direct
107	FBgn0000181	mapped	alias_bridge
108		unmapped	none
109	FBgn0031466	mapped	mapped_direct
110		unmapped	none
111		unmapped	none
112		unmapped	none
113		unmapped	none
114	FBgn0051516	mapped	mapped_direct
115	FBgn0052668	mapped	mapped_direct
116	FBgn0052693	mapped	mapped_direct
117		unmapped	none
118		unmapped	none
120		unmapped	none
121	FBgn0053207	mapped	mapped_direct
122	FBgn0053252	mapped	mapped_direct
123		unmapped	none
124	FBgn0036211	mapped	mapped_direct
125		unmapped	none
126	FBgn0039451	mapped	mapped_direct
127		unmapped	none
128		unmapped	none
129		unmapped	none
130	FBgn0035540	mapped	mapped_direct
131	FBgn0023534	mapped	mapped_direct
132		unmapped	none
133	FBgn0024728	mapped	mapped_direct
134		unmapped	none
135		unmapped	none
136	FBgn0039860	mapped	mapped_direct
137	FBgn0031694	mapped	mapped_direct
138		unmapped	none
139	FBgn0032721	mapped	mapped_direct
140		unmapped	none
141	FBgn0040334	mapped	mapped_direct
142	FBgn0034626	mapped	mapped_direct
143		unmapped	none
144	FBgn0034253	mapped	mapped_direct
145		unmapped	none
146	FBgn0030522	mapped	mapped_direct
147		unmapped	none
148	FBgn0000360	mapped	mapped_direct
149		unmapped	none
150	FBgn0037170	mapped	mapped_direct
151		unmapped	none
152	FBgn0036249	mapped	mapped_direct
154		unmapped	none
155		unmapped	none
156		unmapped	none
157		unmapped	none
158		unmapped	none
159		unmapped	none
160		unmapped	none
161	FBgn0052082	mapped	mapped_direct
162		unmapped	none
163	FBgn0034420	mapped	mapped_direct
164	FBgn0032769	mapped	mapped_direct
165		unmapped	none
166	FBgn0029666	mapped	mapped_direct
167		unmapped	none
168		unmapped	none
169		unmapped	none
170	FBgn0034945	mapped	mapped_direct
171	FBgn0032360	mapped	mapped_direct
172		unmapped	none
173	FBgn0035409	mapped	mapped_direct
174		unmapped	none
175		unmapped	none
176	FBgn0041171	mapped	mapped_direct
177	FBgn0030929	mapped	mapped_direct
178		unmapped	none
179		unmapped	none
180	FBgn0038567	mapped	mapped_direct
181	FBgn0038204	mapped	mapped_direct
182	FBgn0038147	mapped	mapped_direct
183	FBgn0029646	mapped	mapped_direct
184	FBgn0029915	mapped	mapped_direct
185		unmapped	none
186	FBgn0034318	mapped	mapped_direct
187	FBgn0033819	mapped	mapped_direct
188	FBgn0039022	mapped	mapped_direct
189	FBgn0036622	mapped	mapped_direct
190		unmapped	none
191		unmapped	none
192		unmapped	none
193		unmapped	none
194		unmapped	none
195		unmapped	none
196		unmapped	none
197		unmapped	none
198	FBgn0038463	mapped	mapped_direct
199	FBgn0017457	mapped	mapped_direct
200		unmapped	none
201	FBgn0038268	mapped	mapped_direct
202	FBgn0000181	mapped	mapped_direct
203	FBgn0037964	mapped	mapped_direct
204		unmapped	none
205		unmapped	none
206	FBgn0026090	mapped	mapped_direct
207		unmapped	none
208		unmapped	none
209		unmapped	none
210		unmapped	none
211		unmapped	none
212		unmapped	none
213	FBgn0029689	mapped	mapped_direct
214	FBgn0036715	mapped	mapped_direct
215		unmapped	none
216	FBgn0035922	mapped	mapped_direct
217	FBgn0032509	mapped	mapped_direct
218		unmapped	none
219	FBgn0035085	mapped	mapped_direct
220		unmapped	none
222		unmapped	none
223	FBgn0032170	mapped	mapped_direct
224		unmapped	none
225	FBgn0040383	mapped	mapped_direct
226		unmapped	none
227		unmapped	none
228	FBgn0004514	mapped	mapped_direct
229	FBgn0014073	mapped	mapped_direct
230	FBgn0036165	mapped	mapped_direct
231		unmapped	none
232	FBgn0036528	mapped	mapped_direct
233	FBgn0037094	mapped	mapped_direct
234		unmapped	none
235		unmapped	none
236	FBgn0038261	mapped	mapped_direct
237	FBgn0030174	mapped	mapped_direct
238		unmapped	none
239	FBgn0033208	mapped	mapped_direct
240	FBgn0033449	mapped	mapped_direct
241	FBgn0031239	mapped	mapped_direct
242	FBgn0031410	mapped	mapped_direct
243	FBgn0051439	mapped	mapped_direct
244		unmapped	none
245		unmapped	none
246		unmapped	none
247		unmapped	none
248	FBgn0040388	mapped	mapped_direct
249	FBgn0053281	mapped	mapped_direct
250	FBgn0003655	mapped	mapped_direct
251	FBgn0034541	mapped	mapped_direct
252		unmapped	none
253	FBgn0034667	mapped	mapped_direct
254		unmapped	none
255	FBgn0034935	mapped	mapped_direct
256		unmapped	none
257	FBgn0039151	mapped	mapped_direct
258	FBgn0039203	mapped	mapped_direct
259		unmapped	none
260	FBgn0034748	mapped	mapped_direct
261	FBgn0038053	mapped	mapped_direct
262		unmapped	none
263		unmapped	none
264	FBgn0050104	mapped	mapped_direct
265		unmapped	none
266		unmapped	none
268	FBgn0025635	mapped	mapped_direct
269	FBgn0031470	mapped	mapped_direct
270		unmapped	none
271	FBgn0030376	mapped	mapped_direct
272	FBgn0025679	mapped	mapped_direct
273		unmapped	none
274		unmapped	none
275	FBgn0039670	mapped	mapped_direct
276	FBgn0064766	mapped	mapped_direct
277	FBgn0024329	mapped	mapped_direct
278	FBgn0030087	mapped	mapped_direct
279		unmapped	none
280		unmapped	none
281		unmapped	none
282		unmapped	none
283		unmapped	none
284		unmapped	none
285	FBgn0024222	mapped	mapped_direct
286		unmapped	none
287	FBgn0031384	mapped	mapped_direct
288		unmapped	none
289	FBgn0024983	mapped	mapped_direct
290		unmapped	none
291		unmapped	none
292		unmapped	none
293		unmapped	none
294		unmapped	none
295		unmapped	none
296		unmapped	none
297		unmapped	none
298	FBgn0030093	mapped	mapped_direct
299		unmapped	none
300	FBgn0000527	mapped	mapped_direct
301	FBgn0034988	mapped	mapped_direct
302		unmapped	none
303		unmapped	none
304	FBgn0031418	mapped	mapped_direct
305	FBgn0034795	mapped	mapped_direct
306	FBgn0040343	mapped	mapped_direct
344		unmapped	none
361	FBgn0001942	mapped	mapped_direct
364	FBgn0032431	mapped	mapped_direct
365	FBgn0030838	mapped	mapped_direct
366		unmapped	none
367		unmapped	none
368	FBgn0039157	mapped	mapped_direct
369	FBgn0038389	mapped	mapped_direct
370		unmapped	none
371	FBgn0031335	mapped	mapped_direct
372		unmapped	none
373		unmapped	none
374		unmapped	none
375		unmapped	none
376		unmapped	none
377		unmapped	none
378	FBgn0036010	mapped	mapped_direct
379	FBgn0029657	mapped	mapped_direct
380		unmapped	none
381		unmapped	none
382		unmapped	none
383	FBgn0032235	mapped	mapped_direct
384	FBgn0037000	mapped	mapped_direct
385	FBgn0032470	mapped	mapped_direct
386		unmapped	none
387		unmapped	none
388	FBgn0036891	mapped	mapped_direct
389	FBgn0036446	mapped	mapped_direct
390		unmapped	none
391		unmapped	none
392		unmapped	none
393		unmapped	none
394		unmapped	none
395		unmapped	none
396		unmapped	none
397		unmapped	none
398		unmapped	none
399	FBgn0037855	mapped	mapped_direct
400	FBgn0038912	mapped	mapped_direct
401	FBgn0036685	mapped	mapped_direct
402		unmapped	none
403	FBgn0033889	mapped	mapped_direct
404		unmapped	none
405		unmapped	none
406	FBgn0051901	mapped	mapped_direct
407		unmapped	none
408	FBgn0031360	mapped	mapped_direct
410		unmapped	none
411	FBgn0004687	mapped	mapped_direct
412	FBgn0036568	mapped	mapped_direct
413	FBgn0041097	mapped	mapped_direct
414		unmapped	none
415		unmapped	none
416	FBgn0011205	mapped	mapped_direct
417		unmapped	none
418		unmapped	none
419		unmapped	none
420		unmapped	none
421	FBgn0000355	mapped	mapped_direct
422	FBgn0036687	mapped	mapped_direct
