raw_probe_id	mapped_gene_id	mapping_status	mapping_method	keep_record	source_file	platform_gpl
10000_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10001_at	S000004324	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10002_i_at	S000004325	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10003_f_at	S000004325	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10004_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10005_at	S000004327	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10006_at	S000004328	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10007_at	S000004329	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10008_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10009_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10010_at	S000004286	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10011_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10012_at	S000004288	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10013_at	S000004289	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10014_at	S000004290	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10015_at	S000004291	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10016_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10017_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10018_at	S000004294	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10019_at	S000004295	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10020_at	S000004296	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10021_at	S000004297	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10022_at	S000004298	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10023_at	S000004299	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10024_at	S000004300	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10025_at	S000004301	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10026_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10027_at	S000004303	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10028_at	S000004305	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10029_at	S000004306	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10030_at	S000004307	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10031_at	S000004308	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10032_at	S000004264	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10033_at	S000004265	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
10034_at	S000004266	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
