raw_probe_id	mapped_gene_id	mapping_status	mapping_method
10000_at		unmapped	none
10001_at	S000004324	mapped	alias_bridge
10002_i_at	S000004325	mapped	alias_bridge
10003_f_at	S000004325	mapped	alias_bridge
10004_at		unmapped	none
10005_at	S000004327	mapped	alias_bridge
10006_at	S000004328	mapped	alias_bridge
10007_at	S000004329	mapped	alias_bridge
10008_at		unmapped	none
10009_at		unmapped	none
10010_at	S000004286	mapped	alias_bridge
10011_at		unmapped	none
10012_at	S000004288	mapped	alias_bridge
10013_at	S000004289	mapped	alias_bridge
10014_at	S000004290	mapped	alias_bridge
10015_at	S000004291	mapped	alias_bridge
10016_at		unmapped	none
10017_at		unmapped	none
10018_at	S000004294	mapped	alias_bridge
10019_at	S000004295	mapped	alias_bridge
10020_at	S000004296	mapped	alias_bridge
10021_at	S000004297	mapped	alias_bridge
10022_at	S000004298	mapped	alias_bridge
10023_at	S000004299	mapped	alias_bridge
10024_at	S000004300	mapped	alias_bridge
10025_at	S000004301	mapped	alias_bridge
10026_at		unmapped	none
10027_at	S000004303	mapped	alias_bridge
10028_at	S000004305	mapped	alias_bridge
10029_at	S000004306	mapped	alias_bridge
10030_at	S000004307	mapped	alias_bridge
10031_at	S000004308	mapped	alias_bridge
10032_at	S000004264	mapped	alias_bridge
10033_at	S000004265	mapped	alias_bridge
10034_at	S000004266	mapped	alias_bridge
10035_at	S000004267	mapped	alias_bridge
10036_at	S000004268	mapped	alias_bridge
10037_at		unmapped	none
10038_i_at	S000004271	mapped	alias_bridge
10039_s_at	S000004271	mapped	alias_bridge
10040_at	S000004271	mapped	alias_bridge
10041_at		unmapped	none
10042_at	S000004273	mapped	alias_bridge
10043_at	S000004274	mapped	alias_bridge
10044_at	S000004275	mapped	alias_bridge
10045_at	S000004276	mapped	alias_bridge
10046_at	S000004277	mapped	alias_bridge
10047_f_at	S000004278	mapped	alias_bridge
10048_at	S000004279	mapped	alias_bridge
10049_at	S000004280	mapped	alias_bridge
10050_at	S000004281	mapped	alias_bridge
10051_at	S000004282	mapped	alias_bridge
10052_at	S000004283	mapped	alias_bridge
10053_at	S000004284	mapped	alias_bridge
