Gene,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333
S000004262,0.933030605,0.646242797,0.657207727,0.660292506,0.632996678,0.498910666,0.561213374,0.501567423,0.990314841,0.758968592,1.065068603,1.043654799,0.810562611,0.585227311,0.567720056,0.602739751,0.740245283,0.447959185,0.630940318,0.692224622,0.650285721,1.217301726,1.139485002,1.141012907,1.069597125,0.678106487,0.583710432,0.530425966,0.450413197,0.549369752,0.565312862,0.867737889,0.668131888,1.381889701,1.288169861,1.163900256
S000006052,25.19977379,16.04046249,34.22587967,30.59280014,29.16610718,31.55991173,33.59263229,37.94775391,76.0242157,55.48991394,42.72374725,40.69948959,37.31228638,16.46136475,29.31828499,32.4429245,28.21962166,28.27040672,34.34175491,39.14471054,46.75771332,38.93614578,43.04828262,29.04667473,30.77533722,14.11360931,31.86538506,22.7971611,22.04958534,29.66281509,29.80461121,47.05932999,50.32527542,34.09153366,38.10110855,36.73132324
S000002394,1.993189692,1.410404563,1.695800185,1.445444345,1.602693677,1.458605647,1.315276265,2.011494398,3.314769983,2.264574051,2.568493128,1.907614112,1.501722336,1.084090948,1.594808102,1.768264771,2.215161562,1.583673358,1.948432684,2.340172768,2.612571478,1.871266723,1.959227562,2.079443932,1.728937864,1.855621338,1.859728456,1.749493003,1.72727263,1.884453773,1.796926498,2.91470933,1.9362638,1.744094491,1.732052565,1.670124412
S000004754,7.820658207,4.566473961,6.746879101,6.552306175,6.017957687,6.455337524,7.14842844,7.340648174,19.00847435,10.10650253,6.34703207,7.853806496,7.935706615,4.710227489,5.205417633,7.192922115,6.439241886,5.237754822,6.836197376,13.85745049,16.18514252,9.297631264,9.339056015,8.759681702,8.908424377,5.355029583,6.585973263,4.793103695,5.369834423,5.42331934,7.339187622,16.72187805,11.69120979,7.41437006,8.819008827,9.243775368
S000003556,0.4933787486666667,0.433526029,0.5429436263333333,0.4701912303333333,0.4837261636666667,0.4557008046666667,0.46189957866666664,0.47544411799999997,0.3898305096666667,0.5355007746666667,0.46537291033333333,0.5817258756666667,0.5767317613333334,0.48787880966666664,0.45447705199999994,0.4767884313333333,0.3641768893333333,0.4047618906666666,0.42568247500000006,0.3545716306666667,0.7051428356666666,0.863027791,0.8190271756666666,0.5974842903333333,0.564916561,0.42287969566666667,0.5150829653333333,0.376605829,0.340564728,0.39005602899999997,0.42663740099999997,0.39761020733333335,0.7216117483333333,0.7345800800000001,0.6932928563333333,0.5608574746666667
S000002260,0.920544803,0.51560688,0.52553916,0.361079842,0.397306442,0.327886701,0.362946898,0.320794165,0.518159807,0.890134573,0.735159874,0.610152245,0.568312347,0.420454562,0.358916461,0.347031981,0.303232998,0.400000006,0.467138499,0.413606912,0.505142868,0.910401642,0.664163113,0.938431025,0.433455437,0.48402369,0.411764741,0.467545658,0.536157012,0.474789947,0.40834251,0.558714449,0.624175847,0.802165329,0.488372058,0.766597509
S000002802,5.118047714,6.77225399,8.287173271,6.302587032,6.983165264,7.019608021,7.501625061,6.67502594,3.3886199,6.169282913,3.218036413,4.214213371,5.078071117,5.879545689,6.611737728,8.210045815,5.847268581,6.057142258,6.248735905,4.721382618,8.403428078,5.558187485,4.348712444,5.321748257,3.774114847,5.918343544,5.943439484,6.056795597,6.477272511,5.703781605,9.164654732,4.777503014,6.572527409,4.976377964,3.64711833,4.287343979
S000004347,22.45743561,16.48323631,21.22134018,30.19685173,28.29517555,29.67211151,30.97399521,34.38871384,46.48063278,28.14237785,33.96232986,20.84365463,26.26980782,16.71704483,26.57336235,29.30707932,32.01003265,23.0357132,21.60161591,38.1263504,56.95999908,31.64366722,32.47961426,30.83416176,27.11721611,12.3230772,25.44117737,13.47565937,23.80268669,26.0336132,21.45664215,53.49690628,34.41648483,27.68110085,29.23963547,28.22095299
S000005234,2.083995581,1.354913235,1.880817175,1.37232852,1.070707083,0.958605647,1.362946868,1.419017792,2.177966118,3.445067406,1.946347117,2.267004967,1.796785355,1.369318247,1.213318229,1.307077646,1.551839471,1.03061223,1.216380119,2.358531237,2.713142872,2.308959723,2.343347549,2.180734873,1.978021979,1.8284024,1.686651707,0.935091317,0.977272689,0.82668066,1.492865086,2.822002411,2.529670477,2.279527664,2.274013996,1.837136865
S000002218,1.224744678,0.790751457,1.485811472,1.672665954,1.911335707,2.24618721,3.086673737,3.522466183,16.8401947,2.884529114,1.570776343,2.269035578,1.383467317,0.806818187,1.581264138,1.864155293,1.249721289,1.948979497,2.651162863,7.528077602,3.243428469,2.063851595,2.733905554,3.10427022,1.144078135,0.738461554,1.565610886,1.483772874,2.010330677,2.203781605,2.964874029,14.9703331,2.037362576,1.964566946,2.269969463,2.67323637
S000005783,1.856980801,2.660115719,4.601589203,4.91113615,4.600449085,4.313725471,3.965330362,2.703239441,4.330508709,3.0515697,2.560502291,3.014213085,3.427095413,4.309091091,5.249435425,5.155251503,3.842809439,4.361224174,3.452982664,2.856371403,3.028571367,2.515962839,1.869098663,2.01886797,3.294261217,2.368047476,4.912895679,4.495943069,3.642561913,4.329832077,3.524698257,2.275648832,2.798901081,2.773621798,2.868554115,3.03319478
S000002489,0.569807053,0.671676278,0.897843361,0.760404944,0.700336754,0.909586072,0.744311988,0.87356323,0.880145252,0.794843078,0.837899566,0.954314709,0.755453587,0.925000072,0.882618487,0.886986256,0.770345569,1.248979568,0.879676402,0.842332602,0.667428553,0.919670463,0.956008554,0.870903671,0.77655679,0.746745527,0.73303175,0.960446239,0.94008261,1.085084081,0.845225036,0.627935708,0.785714328,0.975393653,1.040444851,0.951244712
S000005122,47.57548141,25.11560631,43.01021576,39.38245392,38.7856369,42.18845367,51.65005112,49.96447372,81.815979,70.13565826,70.44064331,46.00203323,41.01148605,4.796591282,36.83634186,45.71803665,60.32218552,33.51020432,44.00404358,55.53239441,70.4617157,47.0514946,45.30686951,46.55709839,51.27960587,27.13254356,45.78733063,30.29614639,38.18078232,38.47794342,50.24259186,59.68603134,55.0,37.23031616,41.3953476,44.27074814
S000005686,0.557321191,0.960693598,1.068104386,1.458942652,1.297418714,1.296296239,1.343445182,1.084639549,2.395883799,1.156950712,0.932648361,1.0,1.175660253,1.379545569,1.641083479,1.522830963,0.868450403,1.251020312,1.20728004,1.808855295,0.973714232,0.974253297,0.835836947,0.883813322,0.905982912,0.736094713,1.809954762,1.330628872,0.960743785,1.190126061,1.13611424,1.929542661,1.12747252,1.004921198,1.05561173,1.034232259
S000001110,3.141884089,2.220809221,2.106697083,2.301462412,2.627385139,2.760348558,2.529793978,3.914315701,12.63438225,5.680493832,6.272830963,5.017259121,3.089552402,2.061363697,2.715575695,2.534246683,2.598662376,2.921428442,2.950454712,8.479481697,4.195428371,5.225540638,6.136266232,5.419066906,4.080586433,2.969230652,2.065610886,2.079107523,2.28305769,2.352941275,3.98682785,10.40543842,5.006593704,4.813976288,5.41152668,4.856846333
S000002644,1.822928548,2.075144529,1.83541429,1.746906757,1.952862024,2.102396488,2.059588194,1.773249745,1.285714269,1.970852137,1.21347034,1.898477077,1.452353716,2.0,1.845372438,2.022830963,1.098104835,2.026530743,1.344792604,1.048596144,2.205714226,2.038105011,1.746781111,2.376365423,1.169719219,2.41301775,2.281674147,1.920892477,2.194214821,2.178571463,1.866081238,1.908528924,2.2670331,2.241141796,2.068756342,1.985476971
