gene_id	raw_location	normalized_location	evidence	source_db
WBGene00004964	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00004964	Endoplasmic reticulum	Endoplasmic reticulum	IBA	COMPARTMENTS
WBGene00004964	Golgi apparatus	Golgi	IBA	COMPARTMENTS
WBGene00007082	Cytoplasm	Cytoplasm	IEA	COMPARTMENTS
WBGene00007082	Peroxisome	Peroxisome	IEA	COMPARTMENTS
WBGene00001528	Plasma membrane	Cell membrane	IBA	COMPARTMENTS
WBGene00001528	Cell periphery	Cell membrane	IBA	COMPARTMENTS
WBGene00005032	Plasma membrane bounded cell projection	Cell membrane	IDA	COMPARTMENTS
WBGene00007080	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00007080	Cytoplasm	Cytoplasm	IEA	COMPARTMENTS
WBGene00007080	Mitochondrion	Mitochondrion	IBA	COMPARTMENTS
WBGene00007080	Mitochondrion	Mitochondrion	IEA	COMPARTMENTS
WBGene00007080	Mitochondrial envelope	Mitochondrion	IBA	COMPARTMENTS
WBGene00007080	Mitochondrial envelope	Mitochondrion	IEA	COMPARTMENTS
WBGene00007080	Mitochondrial inner membrane	Mitochondrion	IBA	COMPARTMENTS
WBGene00007080	Mitochondrial inner membrane	Mitochondrion	IEA	COMPARTMENTS
WBGene00007080	Mitochondrial membrane	Mitochondrion	IBA	COMPARTMENTS
WBGene00007080	Mitochondrial membrane	Mitochondrion	IEA	COMPARTMENTS
WBGene00003231	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00003231	Cytoplasm	Cytoplasm	IEA	COMPARTMENTS
WBGene00003231	Cytoplasm	Cytoplasm	IDA	COMPARTMENTS
WBGene00003231	Cytosol	Cytoplasm	IBA	COMPARTMENTS
WBGene00003231	Cytoplasmic ribonucleoprotein granule	Cytoplasm	IEA	COMPARTMENTS
WBGene00003231	Cytoplasmic ribonucleoprotein granule	Cytoplasm	IDA	COMPARTMENTS
WBGene00014998	Plasma membrane	Cell membrane	IEA	COMPARTMENTS
WBGene00014998	Cell periphery	Cell membrane	IEA	COMPARTMENTS
WBGene00015000	Plasma membrane	Cell membrane	IBA	COMPARTMENTS
WBGene00015000	Plasma membrane	Cell membrane	IEA	COMPARTMENTS
WBGene00015000	Cell periphery	Cell membrane	IBA	COMPARTMENTS
WBGene00015000	Cell periphery	Cell membrane	IEA	COMPARTMENTS
WBGene00007089	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00007091	Cytoplasm	Cytoplasm	HDA	COMPARTMENTS
WBGene00000138	Cytoplasm	Cytoplasm	IEA	COMPARTMENTS
WBGene00000138	Mitochondrion	Mitochondrion	IEA	COMPARTMENTS
WBGene00000138	Mitochondrial envelope	Mitochondrion	IEA	COMPARTMENTS
WBGene00000138	Mitochondrial outer membrane	Mitochondrion	IEA	COMPARTMENTS
WBGene00000138	Mitochondrial membrane	Mitochondrion	IEA	COMPARTMENTS
WBGene00007094	Nucleus	Nucleus	IEA	COMPARTMENTS
WBGene00007100	Nucleus	Nucleus	IBA	COMPARTMENTS
WBGene00007100	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00007101	Nucleus	Nucleus	IBA	COMPARTMENTS
WBGene00007102	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00007102	Cytoplasm	Cytoplasm	IEA	COMPARTMENTS
WBGene00007102	Endoplasmic reticulum	Endoplasmic reticulum	IBA	COMPARTMENTS
WBGene00007102	Endoplasmic reticulum	Endoplasmic reticulum	IEA	COMPARTMENTS
WBGene00007102	Endoplasmic reticulum membrane	Endoplasmic reticulum	IEA	COMPARTMENTS
WBGene00007102	Nuclear outer membrane-endoplasmic reticulum membrane network	Nucleus	IEA	COMPARTMENTS
WBGene00007102	Endoplasmic reticulum subcompartment	Endoplasmic reticulum	IEA	COMPARTMENTS
WBGene00007103	Extracellular region	Secreted	IEA	COMPARTMENTS
WBGene00007104	Golgi membrane	Golgi	IBA	COMPARTMENTS
WBGene00007104	Golgi membrane	Golgi	IEA	COMPARTMENTS
WBGene00007104	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00007104	Cytoplasm	Cytoplasm	IEA	COMPARTMENTS
WBGene00007104	Golgi apparatus	Golgi	IBA	COMPARTMENTS
WBGene00007104	Golgi apparatus	Golgi	IEA	COMPARTMENTS
WBGene00001533	Plasma membrane	Cell membrane	IBA	COMPARTMENTS
WBGene00001533	Plasma membrane	Cell membrane	IEA	COMPARTMENTS
WBGene00001533	Cell periphery	Cell membrane	IBA	COMPARTMENTS
WBGene00001533	Cell periphery	Cell membrane	IEA	COMPARTMENTS
WBGene00000491	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00000491	Cytoskeleton	Cytoskeleton	IBA	COMPARTMENTS
WBGene00000491	Microtubule	Cytoskeleton	IBA	COMPARTMENTS
WBGene00000491	Cytoplasmic microtubule	Cytoplasm	IBA	COMPARTMENTS
WBGene00000491	Microtubule cytoskeleton	Cytoskeleton	IBA	COMPARTMENTS
WBGene00000491	Plasma membrane bounded cell projection	Cell membrane	IBA	COMPARTMENTS
WBGene00000491	Plasma membrane bounded cell projection	Cell membrane	IDA	COMPARTMENTS
WBGene00000491	Plasma membrane bounded cell projection	Cell membrane	IEA	COMPARTMENTS
WBGene00007099	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00007099	Cytoplasm	Cytoplasm	IDA	COMPARTMENTS
WBGene00007099	Mitochondrion	Mitochondrion	IBA	COMPARTMENTS
WBGene00007099	Mitochondrion	Mitochondrion	IDA	COMPARTMENTS
WBGene00015001	Nucleus	Nucleus	IBA	COMPARTMENTS
WBGene00015001	Nucleus	Nucleus	IEA	COMPARTMENTS
WBGene00015001	Nucleoplasm	Nucleus	IBA	COMPARTMENTS
WBGene00015001	Nucleoplasm	Nucleus	IEA	COMPARTMENTS
WBGene00001019	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
WBGene00001019	Cytoplasm	Cytoplasm	IDA	COMPARTMENTS
WBGene00001019	Cytoplasm	Cytoplasm	IEA	COMPARTMENTS
