Gene,Cytoplasm,Nucleus,Cell membrane,Secreted,Mitochondrion,Endoplasmic reticulum,Cytoskeleton,Golgi,Vacuole,Lysosome,Endosome,Ribosome,Peroxisome
WBGene00000064,1,0,1,0,0,0,1,0,0,0,0,0,0
WBGene00000066,1,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000067,1,0,1,0,0,0,1,0,0,0,0,0,0
WBGene00000098,1,1,0,0,0,0,1,0,0,0,0,0,0
WBGene00000142,1,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000158,1,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000159,1,0,1,0,0,0,0,1,0,0,0,0,0
WBGene00000160,1,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000183,1,0,1,0,0,0,0,1,0,0,0,0,0
WBGene00000197,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000207,1,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00000230,1,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00000235,1,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000292,1,0,1,0,0,0,1,0,0,0,0,0,0
WBGene00000371,1,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00000377,1,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000378,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000380,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000381,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000410,0,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000413,1,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000502,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000549,1,1,1,0,0,0,1,0,0,0,0,0,0
WBGene00000585,1,0,0,0,0,0,0,1,0,0,0,0,0
WBGene00000833,1,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00000836,1,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000868,1,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000869,1,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00000871,1,1,0,0,0,0,1,0,0,0,0,0,0
WBGene00000872,1,0,1,0,0,0,1,0,0,0,0,0,0
WBGene00000890,0,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00000915,1,1,1,0,0,0,0,0,0,0,0,0,0
WBGene00000923,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000933,1,0,0,0,1,0,0,0,0,0,0,1,0
WBGene00000962,1,1,1,0,0,0,1,0,0,0,0,0,0
WBGene00000994,0,1,0,0,0,0,0,0,0,0,0,0,0
WBGene00001006,1,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00001028,1,0,0,0,1,0,0,0,0,0,0,0,0
WBGene00001094,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001102,1,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00001130,1,0,1,0,0,0,1,0,0,0,0,0,0
