raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
3R5.1a.1		unmapped	none	no evidence found
4R79.1a.1		unmapped	none	no evidence found
AC3.10.1	WBGene00004964	mapped	alias_bridge	STRING aliases bridge
AC3.12.1		unmapped	none	no evidence found
AC3.2.1	WBGene00007070	mapped	alias_bridge	STRING aliases bridge
AC3.3.1		unmapped	none	no evidence found
AC3.4.1		unmapped	none	no evidence found
AC3.5a.2	WBGene00007071	mapped	alias_bridge	STRING aliases bridge
AC3.7.1	WBGene00007072	mapped	alias_bridge	STRING aliases bridge
AC3.8.1	WBGene00007073	mapped	alias_bridge	STRING aliases bridge
AC7.1a.1		unmapped	none	no evidence found
AH10.1.1	WBGene00007082	mapped	alias_bridge	STRING aliases bridge
AH6.1.1	WBGene00001528	mapped	alias_bridge	STRING aliases bridge
AH6.10.1	WBGene00005032	mapped	alias_bridge	STRING aliases bridge
AH6.11.1	WBGene00005033	mapped	alias_bridge	STRING aliases bridge
AH6.12.1	WBGene00005034	mapped	alias_bridge	STRING aliases bridge
AH6.14.1	WBGene00005035	mapped	alias_bridge	STRING aliases bridge
AH6.2.1	WBGene00007080	mapped	alias_bridge	STRING aliases bridge
AH6.3.1	WBGene00007081	mapped	alias_bridge	STRING aliases bridge
AH6.4.1	WBGene00005027	mapped	alias_bridge	STRING aliases bridge
AH6.5.1	WBGene00003231	mapped	alias_bridge	STRING aliases bridge
AH6.6.1	WBGene00005028	mapped	alias_bridge	STRING aliases bridge
AH6.7.1	WBGene00005029	mapped	alias_bridge	STRING aliases bridge
AH6.8.1	WBGene00005030	mapped	alias_bridge	STRING aliases bridge
AH9.1.1	WBGene00014998	mapped	alias_bridge	STRING aliases bridge
AH9.2.1		unmapped	none	no evidence found
AH9.4.1	WBGene00015000	mapped	alias_bridge	STRING aliases bridge
B0001.4a.1	WBGene00007089	mapped	alias_bridge	STRING aliases bridge
B0001.6.2	WBGene00007091	mapped	alias_bridge	STRING aliases bridge
B0019.1.1	WBGene00000138	mapped	alias_bridge	STRING aliases bridge
B0019.2.1	WBGene00007094	mapped	alias_bridge	STRING aliases bridge
B0024.10.1	WBGene00007100	mapped	alias_bridge	STRING aliases bridge
B0024.11.1	WBGene00007101	mapped	alias_bridge	STRING aliases bridge
B0024.13.1	WBGene00007102	mapped	alias_bridge	STRING aliases bridge
B0024.14b.1	WBGene00007103	mapped	alias_bridge	STRING aliases bridge
B0024.15.2	WBGene00007104	mapped	alias_bridge	STRING aliases bridge
B0024.4.1	WBGene00007097	mapped	alias_bridge	STRING aliases bridge
B0024.6b.1	WBGene00001533	mapped	alias_bridge	STRING aliases bridge
B0024.8a.1	WBGene00000491	mapped	alias_bridge	STRING aliases bridge
B0024.9a.2	WBGene00007099	mapped	alias_bridge	STRING aliases bridge
B0025.1a.1		unmapped	none	no evidence found
B0025.2.1		unmapped	none	no evidence found
B0025.4.1	WBGene00015001	mapped	alias_bridge	STRING aliases bridge
B0034.3a.1		unmapped	none	no evidence found
B0034.5.1		unmapped	none	no evidence found
B0035.10.1		unmapped	none	no evidence found
B0035.11.1		unmapped	none	no evidence found
B0035.12.2		unmapped	none	no evidence found
B0035.14a.2	WBGene00001019	mapped	alias_bridge	STRING aliases bridge
B0035.15.1	WBGene00007113	mapped	alias_bridge	STRING aliases bridge
B0035.16.1	WBGene00007114	mapped	alias_bridge	STRING aliases bridge
B0035.18.1	WBGene00044290	mapped	alias_bridge	STRING aliases bridge
B0035.1b.1	WBGene00007105	mapped	alias_bridge	STRING aliases bridge
B0035.2.1	WBGene00001020	mapped	alias_bridge	STRING aliases bridge
B0035.3.1	WBGene00007106	mapped	alias_bridge	STRING aliases bridge
B0035.4.2	WBGene00007107	mapped	alias_bridge	STRING aliases bridge
B0035.5.1		unmapped	none	no evidence found
B0035.7.1	WBGene00001921	mapped	alias_bridge	STRING aliases bridge
B0035.8.1	WBGene00001922	mapped	alias_bridge	STRING aliases bridge
B0035.9.1	WBGene00001920	mapped	alias_bridge	STRING aliases bridge
B0041.4.1	WBGene00004415	mapped	alias_bridge	STRING aliases bridge
B0041.5a.1	WBGene00015009	mapped	alias_bridge	STRING aliases bridge
B0041.6a.1	WBGene00015010	mapped	alias_bridge	STRING aliases bridge
B0041.7.2	WBGene00006961	mapped	alias_bridge	STRING aliases bridge
B0198.1.1	WBGene00006646	mapped	alias_bridge	STRING aliases bridge
B0205.11.1		unmapped	none	no evidence found
B0205.3.2	WBGene00004466	mapped	alias_bridge	STRING aliases bridge
B0205.4.1	WBGene00015019	mapped	alias_bridge	STRING aliases bridge
B0205.6.1		unmapped	none	no evidence found
B0205.7.1		unmapped	none	no evidence found
B0205.8.2	WBGene00015022	mapped	alias_bridge	STRING aliases bridge
B0207.12b.1	WBGene00000232	mapped	alias_bridge	STRING aliases bridge
B0207.3b.1	WBGene00001676	mapped	alias_bridge	STRING aliases bridge
B0207.4.1		unmapped	none	no evidence found
B0207.7.1		unmapped	none	no evidence found
B0212.1b.1	WBGene00015035	mapped	alias_bridge	STRING aliases bridge
B0212.2.1	WBGene00015036	mapped	alias_bridge	STRING aliases bridge
B0212.4b.1	WBGene00015038	mapped	alias_bridge	STRING aliases bridge
