raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
FGSG_00001	FGRAMPH1_01G00035	mapped	alias_bridge	STRING aliases bridge
FGSG_00002	FGRAMPH1_01G00037	mapped	alias_bridge	STRING aliases bridge
FGSG_00003	FGRAMPH1_01G00041	mapped	alias_bridge	STRING aliases bridge
FGSG_00004	FGRAMPH1_01G00047	mapped	alias_bridge	STRING aliases bridge
FGSG_00005	FGRAMPH1_01G00049	mapped	alias_bridge	STRING aliases bridge
FGSG_00006	FGRAMPH1_01G00051	mapped	alias_bridge	STRING aliases bridge
FGSG_00007		unmapped	none	no evidence found
FGSG_00009		unmapped	none	no evidence found
FGSG_00010	FGRAMPH1_01G00063	mapped	alias_bridge	STRING aliases bridge
FGSG_00011		unmapped	none	no evidence found
FGSG_00012	FGRAMPH1_01G00067	mapped	alias_bridge	STRING aliases bridge
FGSG_00013	FGRAMPH1_01G00069	mapped	alias_bridge	STRING aliases bridge
FGSG_00014	FGRAMPH1_01G00075	mapped	alias_bridge	STRING aliases bridge
FGSG_00015	FGRAMPH1_01G00077	mapped	alias_bridge	STRING aliases bridge
FGSG_00016	FGRAMPH1_01G00081	mapped	alias_bridge	STRING aliases bridge
FGSG_00017	FGRAMPH1_01G00083	mapped	alias_bridge	STRING aliases bridge
FGSG_00018	FGRAMPH1_01G00085	mapped	alias_bridge	STRING aliases bridge
FGSG_00019	FGRAMPH1_01G00087	mapped	alias_bridge	STRING aliases bridge
FGSG_00020	FGRAMPH1_01G00089	mapped	alias_bridge	STRING aliases bridge
FGSG_00021	FGRAMPH1_01G00091	mapped	alias_bridge	STRING aliases bridge
FGSG_00023	FGRAMPH1_01G00095	mapped	alias_bridge	STRING aliases bridge
FGSG_00024	FGRAMPH1_01G00097	mapped	alias_bridge	STRING aliases bridge
FGSG_00025	FGRAMPH1_01G00099	mapped	alias_bridge	STRING aliases bridge
FGSG_00026	FGRAMPH1_01G00101	mapped	alias_bridge	STRING aliases bridge
FGSG_00027	FGRAMPH1_01G00103	mapped	alias_bridge	STRING aliases bridge
FGSG_00028	FGRAMPH1_01G00105	mapped	alias_bridge	STRING aliases bridge
FGSG_00029	FGRAMPH1_01G00109	mapped	alias_bridge	STRING aliases bridge
FGSG_00030	FGRAMPH1_01G00111	mapped	alias_bridge	STRING aliases bridge
FGSG_00031	FGRAMPH1_01G00115	mapped	alias_bridge	STRING aliases bridge
FGSG_00032	FGRAMPH1_01G00117	mapped	alias_bridge	STRING aliases bridge
FGSG_00033		unmapped	none	no evidence found
FGSG_00034	FGRAMPH1_01G00121	mapped	alias_bridge	STRING aliases bridge
FGSG_00036	FGRAMPH1_01G00127	mapped	alias_bridge	STRING aliases bridge
FGSG_00038	FGRAMPH1_01G00133	mapped	alias_bridge	STRING aliases bridge
FGSG_00039	FGRAMPH1_01G00135	mapped	alias_bridge	STRING aliases bridge
FGSG_00040	FGRAMPH1_01G00137	mapped	alias_bridge	STRING aliases bridge
FGSG_00043	FGRAMPH1_01G00145	mapped	alias_bridge	STRING aliases bridge
FGSG_00044	FGRAMPH1_01G00147	mapped	alias_bridge	STRING aliases bridge
FGSG_00045	FGRAMPH1_01G00149	mapped	alias_bridge	STRING aliases bridge
FGSG_00046	FGRAMPH1_01G00151	mapped	alias_bridge	STRING aliases bridge
FGSG_00047	FGRAMPH1_01G00153	mapped	alias_bridge	STRING aliases bridge
FGSG_00048	FGRAMPH1_01G00155	mapped	alias_bridge	STRING aliases bridge
FGSG_00049	FGRAMPH1_01G00157	mapped	alias_bridge	STRING aliases bridge
FGSG_00050	FGRAMPH1_01G00161	mapped	alias_bridge	STRING aliases bridge
FGSG_00052	FGRAMPH1_01G00165	mapped	alias_bridge	STRING aliases bridge
FGSG_00053	FGRAMPH1_01G00167	mapped	alias_bridge	STRING aliases bridge
FGSG_00054	FGRAMPH1_01G00169	mapped	alias_bridge	STRING aliases bridge
FGSG_00055	FGRAMPH1_01G00171	mapped	alias_bridge	STRING aliases bridge
FGSG_00056	FGRAMPH1_01G00173	mapped	alias_bridge	STRING aliases bridge
FGSG_00058	FGRAMPH1_01G00193	mapped	alias_bridge	STRING aliases bridge
FGSG_00059	FGRAMPH1_01G00195	mapped	alias_bridge	STRING aliases bridge
FGSG_00060	FGRAMPH1_01G00197	mapped	alias_bridge	STRING aliases bridge
FGSG_00061	FGRAMPH1_01G00199	mapped	alias_bridge	STRING aliases bridge
FGSG_00062	FGRAMPH1_01G00201	mapped	alias_bridge	STRING aliases bridge
FGSG_00063	FGRAMPH1_01G00203	mapped	alias_bridge	STRING aliases bridge
FGSG_00064	FGRAMPH1_01G00205	mapped	alias_bridge	STRING aliases bridge
FGSG_00065	FGRAMPH1_01G00209	mapped	alias_bridge	STRING aliases bridge
FGSG_00066	FGRAMPH1_01G00213	mapped	alias_bridge	STRING aliases bridge
FGSG_00067	FGRAMPH1_01G00215	mapped	alias_bridge	STRING aliases bridge
FGSG_00068	FGRAMPH1_01G00217	mapped	alias_bridge	STRING aliases bridge
FGSG_00069	FGRAMPH1_01G00219	mapped	alias_bridge	STRING aliases bridge
FGSG_00070	FGRAMPH1_01G00221	mapped	alias_bridge	STRING aliases bridge
FGSG_00071	FGRAMPH1_01G00223	mapped	alias_bridge	STRING aliases bridge
FGSG_00072	FGRAMPH1_01G00225	mapped	alias_bridge	STRING aliases bridge
FGSG_00073	FGRAMPH1_01G00227	mapped	alias_bridge	STRING aliases bridge
FGSG_00074	FGRAMPH1_01G00229	mapped	alias_bridge	STRING aliases bridge
FGSG_00075	FGRAMPH1_01G00233	mapped	alias_bridge	STRING aliases bridge
FGSG_00076	FGRAMPH1_01G00235	mapped	alias_bridge	STRING aliases bridge
FGSG_00077	FGRAMPH1_01G00237	mapped	alias_bridge	STRING aliases bridge
FGSG_00078	FGRAMPH1_01G00239	mapped	alias_bridge	STRING aliases bridge
FGSG_00079	FGRAMPH1_01G00241	mapped	alias_bridge	STRING aliases bridge
FGSG_00081	FGRAMPH1_01G00245	mapped	alias_bridge	STRING aliases bridge
FGSG_00082	FGRAMPH1_01G00247	mapped	alias_bridge	STRING aliases bridge
FGSG_00083	FGRAMPH1_01G00249	mapped	alias_bridge	STRING aliases bridge
FGSG_00084	FGRAMPH1_01G00251	mapped	alias_bridge	STRING aliases bridge
FGSG_00085	FGRAMPH1_01G00253	mapped	alias_bridge	STRING aliases bridge
FGSG_00087	FGRAMPH1_01G00259	mapped	alias_bridge	STRING aliases bridge
FGSG_00089	FGRAMPH1_01G00265	mapped	alias_bridge	STRING aliases bridge
FGSG_00090	FGRAMPH1_01G00267	mapped	alias_bridge	STRING aliases bridge
FGSG_00091	FGRAMPH1_01G00269	mapped	alias_bridge	STRING aliases bridge
FGSG_00092	FGRAMPH1_01G00273	mapped	alias_bridge	STRING aliases bridge
FGSG_00093	FGRAMPH1_01G00275	mapped	alias_bridge	STRING aliases bridge
FGSG_00094	FGRAMPH1_01G00277	mapped	alias_bridge	STRING aliases bridge
FGSG_00095		unmapped	none	no evidence found
FGSG_00096	FGRAMPH1_01G00281	mapped	alias_bridge	STRING aliases bridge
