raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
ENSP00000000233	ENSG00000004059	mapped	alias_bridge	STRING aliases bridge
ENSP00000000412	ENSG00000003056	mapped	alias_bridge	STRING aliases bridge
ENSP00000001008	ENSG00000004478	mapped	alias_bridge	STRING aliases bridge
ENSP00000001146	ENSG00000003137	mapped	alias_bridge	STRING aliases bridge
ENSP00000002125	ENSG00000003509	mapped	alias_bridge	STRING aliases bridge
ENSP00000002165	ENSG00000001036	mapped	alias_bridge	STRING aliases bridge
ENSP00000002596	ENSG00000002587	mapped	alias_bridge	STRING aliases bridge
ENSP00000002829	ENSG00000001617	mapped	alias_bridge	STRING aliases bridge
ENSP00000003084	ENSG00000001626	mapped	alias_bridge	STRING aliases bridge
ENSP00000003100	ENSG00000001630	mapped	alias_bridge	STRING aliases bridge
ENSP00000003302	ENSG00000048028	mapped	alias_bridge	STRING aliases bridge
ENSP00000004531	ENSG00000003989	mapped	alias_bridge	STRING aliases bridge
ENSP00000004982	ENSG00000004776	mapped	alias_bridge	STRING aliases bridge
ENSP00000005178	ENSG00000004799	mapped	alias_bridge	STRING aliases bridge
ENSP00000005226	ENSG00000006611	mapped	alias_bridge	STRING aliases bridge
ENSP00000005257	ENSG00000006451	mapped	alias_bridge	STRING aliases bridge
ENSP00000005260	ENSG00000006453	mapped	alias_bridge	STRING aliases bridge
ENSP00000005284	ENSG00000006116	mapped	alias_bridge	STRING aliases bridge
ENSP00000005286	ENSG00000006118	mapped	alias_bridge	STRING aliases bridge
ENSP00000005340	ENSG00000004975	mapped	alias_bridge	STRING aliases bridge
ENSP00000005386	ENSG00000005175	mapped	alias_bridge	STRING aliases bridge
ENSP00000005587	ENSG00000005020	mapped	alias_bridge	STRING aliases bridge
ENSP00000005995	ENSG00000007038	mapped	alias_bridge	STRING aliases bridge
ENSP00000006015	ENSG00000005073	mapped	alias_bridge	STRING aliases bridge
ENSP00000006053	ENSG00000006210	mapped	alias_bridge	STRING aliases bridge
