gene_id	raw_location	normalized_location	evidence	source_db
FBgn0031089	Extracellular region	Secreted	TAS	COMPARTMENTS
FBgn0031089	Extracellular space	Secreted	TAS	COMPARTMENTS
FBgn0031092	Cytoplasm	Cytoplasm	ISM	COMPARTMENTS
FBgn0031092	Cytoplasm	Cytoplasm	ISS	COMPARTMENTS
FBgn0031092	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
FBgn0031092	Mitochondrion	Mitochondrion	ISS	COMPARTMENTS
FBgn0031092	Mitochondrion	Mitochondrion	IBA	COMPARTMENTS
FBgn0031092	Peroxisome	Peroxisome	ISM	COMPARTMENTS
FBgn0031094	Cytoplasm	Cytoplasm	ISS	COMPARTMENTS
FBgn0031094	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
FBgn0031094	Cytosol	Cytoplasm	IBA	COMPARTMENTS
FBgn0031093	Cytoplasm	Cytoplasm	ISS	COMPARTMENTS
FBgn0031093	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
FBgn0031093	Mitochondrion	Mitochondrion	ISS	COMPARTMENTS
FBgn0031093	Mitochondrion	Mitochondrion	IBA	COMPARTMENTS
FBgn0031082	Cytoplasm	Cytoplasm	IDA	COMPARTMENTS
FBgn0031082	Cytoskeleton	Cytoskeleton	IEA	COMPARTMENTS
FBgn0031082	Microtubule	Cytoskeleton	IEA	COMPARTMENTS
FBgn0031082	Microtubule cytoskeleton	Cytoskeleton	IEA	COMPARTMENTS
FBgn0053217	Nucleus	Nucleus	IBA	COMPARTMENTS
FBgn0000316	Cytoplasm	Cytoplasm	ISS	COMPARTMENTS
FBgn0000316	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
FBgn0000316	Cytosol	Cytoplasm	ISS	COMPARTMENTS
FBgn0000316	Cytosol	Cytoplasm	IBA	COMPARTMENTS
FBgn0000316	Plasma membrane	Cell membrane	IBA	COMPARTMENTS
FBgn0000316	Cell periphery	Cell membrane	IBA	COMPARTMENTS
FBgn0000316	Plasma membrane region	Cell membrane	IBA	COMPARTMENTS
FBgn0000316	Plasma membrane bounded cell projection	Cell membrane	IBA	COMPARTMENTS
FBgn0029521	Plasma membrane	Cell membrane	ISS	COMPARTMENTS
FBgn0029521	Plasma membrane	Cell membrane	IBA	COMPARTMENTS
FBgn0029521	Cell periphery	Cell membrane	ISS	COMPARTMENTS
FBgn0029521	Cell periphery	Cell membrane	IBA	COMPARTMENTS
FBgn0029521	Plasma membrane region	Cell membrane	ISS	COMPARTMENTS
FBgn0029521	Plasma membrane bounded cell projection	Cell membrane	ISS	COMPARTMENTS
FBgn0004034	Extracellular region	Secreted	IDA	COMPARTMENTS
FBgn0004034	Extracellular region	Secreted	IBA	COMPARTMENTS
FBgn0004034	Extracellular region	Secreted	CURATED	COMPARTMENTS
FBgn0004034	Cytoplasm	Cytoplasm	IDA	COMPARTMENTS
FBgn0004034	Plasma membrane bounded cell projection	Cell membrane	IDA	COMPARTMENTS
FBgn0000022	Nucleus	Nucleus	IDA	COMPARTMENTS
FBgn0023536	Cytoplasm	Cytoplasm	ISS	COMPARTMENTS
FBgn0023536	Mitochondrion	Mitochondrion	ISS	COMPARTMENTS
FBgn0023536	Mitochondrial envelope	Mitochondrion	ISS	COMPARTMENTS
FBgn0023536	Mitochondrial inner membrane	Mitochondrion	ISS	COMPARTMENTS
FBgn0023536	Mitochondrial membrane	Mitochondrion	ISS	COMPARTMENTS
FBgn0023535	Cytoplasm	Cytoplasm	ISS	COMPARTMENTS
FBgn0023535	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
FBgn0023535	Mitochondrion	Mitochondrion	ISS	COMPARTMENTS
FBgn0023535	Cytosol	Cytoplasm	IBA	COMPARTMENTS
FBgn0023537	Cytoplasm	Cytoplasm	ISS	COMPARTMENTS
FBgn0023537	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
FBgn0023537	Mitochondrion	Mitochondrion	ISS	COMPARTMENTS
FBgn0023537	Mitochondrion	Mitochondrion	IBA	COMPARTMENTS
FBgn0011822	Lytic vacuole	Vacuole	IBA	COMPARTMENTS
FBgn0011822	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
FBgn0011822	Lysosome	Lysosome	IBA	COMPARTMENTS
FBgn0011822	Vacuole	Vacuole	IBA	COMPARTMENTS
FBgn0040373	Golgi membrane	Golgi	IBA	COMPARTMENTS
FBgn0040373	Cytoplasm	Cytoplasm	IBA	COMPARTMENTS
FBgn0040373	Golgi apparatus	Golgi	IBA	COMPARTMENTS
FBgn0025635	Nucleus	Nucleus	ISS	COMPARTMENTS
FBgn0025635	Nucleus	Nucleus	IBA	COMPARTMENTS
FBgn0025634	Nucleus	Nucleus	IBA	COMPARTMENTS
FBgn0040383	Cytoplasm	Cytoplasm	ISS	COMPARTMENTS
FBgn0040383	Mitochondrion	Mitochondrion	ISS	COMPARTMENTS
FBgn0040383	Mitochondrial envelope	Mitochondrion	ISS	COMPARTMENTS
FBgn0040383	Mitochondrial inner membrane	Mitochondrion	ISS	COMPARTMENTS
FBgn0040383	Mitochondrial membrane	Mitochondrion	ISS	COMPARTMENTS
FBgn0015288	Cytoplasm	Cytoplasm	HDA	COMPARTMENTS
FBgn0015288	Cytoplasm	Cytoplasm	IDA	COMPARTMENTS
FBgn0015288	Cytoplasm	Cytoplasm	TAS	COMPARTMENTS
FBgn0015288	Cytosol	Cytoplasm	HDA	COMPARTMENTS
FBgn0015288	Cytosol	Cytoplasm	IDA	COMPARTMENTS
FBgn0015288	Cytosol	Cytoplasm	TAS	COMPARTMENTS
FBgn0015288	Ribosome	Ribosome	HDA	COMPARTMENTS
FBgn0015288	Ribosome	Ribosome	IDA	COMPARTMENTS
FBgn0015288	Ribosome	Ribosome	TAS	COMPARTMENTS
FBgn0015288	Ribosome	Ribosome	IEA	COMPARTMENTS
FBgn0015288	Large ribosomal subunit	Ribosome	TAS	COMPARTMENTS
FBgn0015288	Cytosolic large ribosomal subunit	Cytoplasm	TAS	COMPARTMENTS
FBgn0015288	Cytosolic ribosome	Cytoplasm	HDA	COMPARTMENTS
FBgn0015288	Cytosolic ribosome	Cytoplasm	IDA	COMPARTMENTS
FBgn0015288	Cytosolic ribosome	Cytoplasm	TAS	COMPARTMENTS
FBgn0015288	Ribosomal subunit	Ribosome	TAS	COMPARTMENTS
FBgn0025639	Chromatin	Nucleus	IDA	COMPARTMENTS
FBgn0025639	Heterochromatin	Nucleus	IDA	COMPARTMENTS
