Gene,Cytoplasm,Nucleus,Cell membrane,Secreted,Mitochondrion,Endoplasmic reticulum,Cytoskeleton,Golgi,Endosome,Vacuole,Lysosome,Ribosome,Peroxisome
FBgn0000022,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000032,0,1,0,1,0,0,0,0,0,0,0,0,0
FBgn0000036,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0000037,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0000044,0,0,1,0,0,0,1,0,0,0,0,0,0
FBgn0000075,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000084,1,1,1,0,0,0,0,0,0,0,0,0,0
FBgn0000092,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0000094,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0000100,1,1,0,0,0,0,0,0,0,0,0,1,0
FBgn0000120,1,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0000121,1,0,1,0,0,1,0,0,0,0,0,0,0
FBgn0000139,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000152,1,1,1,0,0,1,1,0,0,0,0,0,0
FBgn0000158,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000181,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000206,0,0,1,0,0,0,1,0,0,0,0,0,0
FBgn0000216,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000241,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0000244,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000246,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000247,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000259,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000278,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0000286,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000299,0,0,1,1,0,0,0,0,0,0,0,0,0
FBgn0000316,1,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0000318,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000337,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0000352,1,0,1,0,0,0,1,0,0,0,0,0,0
FBgn0000355,0,0,1,1,0,0,0,0,0,0,0,0,0
FBgn0000356,0,0,1,1,0,0,0,0,0,0,0,0,0
FBgn0000358,0,0,1,1,0,0,0,0,0,0,0,0,0
FBgn0000359,0,0,1,1,0,0,0,0,0,0,0,0,0
FBgn0000360,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0000384,1,0,1,0,0,0,1,0,0,0,0,0,0
FBgn0000392,1,1,1,0,0,0,0,0,0,0,0,0,0
FBgn0000404,1,1,0,0,0,0,1,0,0,0,0,0,0
FBgn0000405,1,1,0,0,0,0,1,0,0,0,0,0,0
FBgn0000406,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0000416,1,0,0,1,0,0,0,0,1,1,1,0,0
FBgn0000422,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000427,0,1,1,1,0,0,0,0,0,0,0,0,0
FBgn0000442,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000454,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000455,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000477,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000489,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000500,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0000527,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000529,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000535,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0000559,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000562,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000565,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0000594,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0000611,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000618,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000633,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0000636,1,0,1,0,0,0,0,0,1,0,0,0,0
FBgn0000639,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0000644,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0000658,1,0,1,1,0,0,0,1,0,0,0,0,0
FBgn0000810,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0000964,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001084,1,0,1,0,0,0,1,0,0,0,0,0,0
FBgn0001085,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0001089,1,0,0,0,0,0,0,0,0,1,1,0,0
FBgn0001090,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001092,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0001098,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0001104,1,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0001114,0,0,1,1,0,0,0,0,0,0,0,0,0
FBgn0001125,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0001134,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0001138,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001147,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001170,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001174,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001187,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0001202,1,0,0,0,0,0,1,0,1,0,0,0,0
FBgn0001206,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001217,1,1,1,0,0,0,0,0,0,0,0,0,0
FBgn0001223,1,1,0,0,1,0,0,0,0,0,0,0,0
FBgn0001226,1,1,0,0,0,1,0,0,0,0,0,0,0
FBgn0001228,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001247,1,0,1,0,1,0,0,0,0,0,0,0,1
FBgn0001254,1,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0001255,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0001256,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0001257,0,0,1,1,0,0,0,0,0,0,0,0,0
FBgn0001258,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0001263,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0001269,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001280,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001281,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001296,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0001308,1,0,1,0,0,0,1,0,0,0,0,0,0
FBgn0001311,1,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0001313,1,0,1,0,0,0,1,0,0,0,0,0,0
FBgn0001316,1,1,0,0,0,0,1,0,0,0,0,0,0
FBgn0001323,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001330,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0001942,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002036,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0002044,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002284,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002531,0,0,1,1,0,0,0,0,0,0,0,0,0
FBgn0002562,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0002565,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0002567,1,0,0,0,1,0,0,1,1,1,1,0,0
FBgn0002573,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002576,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002577,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0002578,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0002592,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0002609,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002632,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0002641,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0002645,0,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0002673,1,1,0,0,0,0,1,0,0,0,0,0,0
FBgn0002707,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002709,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002715,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002719,1,0,0,0,1,0,0,0,0,0,0,0,0
FBgn0002773,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0002789,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0002842,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002855,1,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0002856,1,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0002863,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0002865,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0002868,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0002872,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002873,1,0,1,0,0,0,1,0,0,0,0,0,0
FBgn0002887,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002891,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002899,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002901,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0002905,1,1,0,0,1,0,0,0,0,0,0,0,0
FBgn0002909,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002930,0,0,0,1,0,0,0,0,0,0,0,0,0
FBgn0002931,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0002937,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0002938,1,1,1,0,0,0,1,0,0,0,0,0,0
FBgn0002940,1,0,1,0,0,1,0,0,1,0,0,0,0
FBgn0002989,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0003002,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0003008,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003042,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0003067,1,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003068,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0003082,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003086,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003090,1,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0003091,0,0,1,0,0,0,0,0,0,0,0,0,0
FBgn0003134,1,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0003159,0,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0003175,0,1,0,0,0,0,0,0,0,0,0,0,0
FBgn0003187,1,0,0,0,0,0,1,0,0,0,0,0,0
FBgn0003210,1,0,0,0,0,0,0,1,0,0,0,0,0
