raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
FBpp0070002		unmapped	none	no evidence found
FBpp0070005	FBgn0031089	mapped	alias_bridge	STRING aliases bridge
FBpp0070006	FBgn0031092	mapped	alias_bridge	STRING aliases bridge
FBpp0070007	FBgn0031094	mapped	alias_bridge	STRING aliases bridge
FBpp0070025	FBgn0031093	mapped	alias_bridge	STRING aliases bridge
FBpp0070028		unmapped	none	no evidence found
FBpp0070031		unmapped	none	no evidence found
FBpp0070034	FBgn0031082	mapped	alias_bridge	STRING aliases bridge
FBpp0070037		unmapped	none	no evidence found
FBpp0070044	FBgn0053217	mapped	alias_bridge	STRING aliases bridge
FBpp0070045		unmapped	none	no evidence found
FBpp0070049		unmapped	none	no evidence found
FBpp0070051		unmapped	none	no evidence found
FBpp0070052		unmapped	none	no evidence found
FBpp0070054		unmapped	none	no evidence found
FBpp0070056		unmapped	none	no evidence found
FBpp0070060		unmapped	none	no evidence found
FBpp0070064	FBgn0000316	mapped	alias_bridge	STRING aliases bridge
FBpp0070068	FBgn0040371	mapped	alias_bridge	STRING aliases bridge
FBpp0070069	FBgn0029521	mapped	alias_bridge	STRING aliases bridge
FBpp0070070	FBgn0004034	mapped	alias_bridge	STRING aliases bridge
FBpp0070071	FBgn0000022	mapped	alias_bridge	STRING aliases bridge
FBpp0070074		unmapped	none	no evidence found
FBpp0070078	FBgn0023536	mapped	alias_bridge	STRING aliases bridge
FBpp0070083	FBgn0023535	mapped	alias_bridge	STRING aliases bridge
FBpp0070087	FBgn0023537	mapped	alias_bridge	STRING aliases bridge
FBpp0070094		unmapped	none	no evidence found
FBpp0070095	FBgn0011822	mapped	alias_bridge	STRING aliases bridge
FBpp0070103	FBgn0040373	mapped	alias_bridge	STRING aliases bridge
FBpp0070105		unmapped	none	no evidence found
FBpp0070110		unmapped	none	no evidence found
FBpp0070111	FBgn0025635	mapped	alias_bridge	STRING aliases bridge
FBpp0070114		unmapped	none	no evidence found
FBpp0070115		unmapped	none	no evidence found
FBpp0070116	FBgn0025634	mapped	alias_bridge	STRING aliases bridge
FBpp0070129	FBgn0040383	mapped	alias_bridge	STRING aliases bridge
FBpp0070141		unmapped	none	no evidence found
FBpp0070143	FBgn0015288	mapped	alias_bridge	STRING aliases bridge
FBpp0070144	FBgn0029532	mapped	alias_bridge	STRING aliases bridge
FBpp0070145	FBgn0029531	mapped	alias_bridge	STRING aliases bridge
FBpp0070146	FBgn0025639	mapped	alias_bridge	STRING aliases bridge
FBpp0070153		unmapped	none	no evidence found
FBpp0070158	FBgn0040341	mapped	alias_bridge	STRING aliases bridge
FBpp0070160		unmapped	none	no evidence found
FBpp0070162	FBgn0040340	mapped	alias_bridge	STRING aliases bridge
FBpp0070165	FBgn0040347	mapped	alias_bridge	STRING aliases bridge
FBpp0070167		unmapped	none	no evidence found
FBpp0070168	FBgn0040337	mapped	alias_bridge	STRING aliases bridge
FBpp0070170		unmapped	none	no evidence found
FBpp0070171	FBgn0003638	mapped	alias_bridge	STRING aliases bridge
FBpp0070175		unmapped	none	no evidence found
FBpp0070176	FBgn0040351	mapped	alias_bridge	STRING aliases bridge
FBpp0070177	FBgn0040338	mapped	alias_bridge	STRING aliases bridge
FBpp0070180		unmapped	none	no evidence found
FBpp0070196	FBgn0029568	mapped	alias_bridge	STRING aliases bridge
FBpp0070199	FBgn0025642	mapped	alias_bridge	STRING aliases bridge
FBpp0070200		unmapped	none	no evidence found
FBpp0070202		unmapped	none	no evidence found
FBpp0070204	FBgn0024361	mapped	alias_bridge	STRING aliases bridge
FBpp0070205		unmapped	none	no evidence found
FBpp0070209		unmapped	none	no evidence found
FBpp0070221		unmapped	none	no evidence found
FBpp0070224		unmapped	none	no evidence found
FBpp0070225		unmapped	none	no evidence found
FBpp0070227		unmapped	none	no evidence found
FBpp0070235		unmapped	none	no evidence found
FBpp0070241		unmapped	none	no evidence found
FBpp0070242	FBgn0040368	mapped	alias_bridge	STRING aliases bridge
FBpp0070244	FBgn0029580	mapped	alias_bridge	STRING aliases bridge
FBpp0070245		unmapped	none	no evidence found
FBpp0070259		unmapped	none	no evidence found
FBpp0070262	FBgn0024897	mapped	alias_bridge	STRING aliases bridge
FBpp0070276		unmapped	none	no evidence found
FBpp0070277		unmapped	none	no evidence found
