Gene,Cytoplasm,Nucleus,Mitochondrion,Cell membrane,Cytoskeleton,Ribosome,Endoplasmic reticulum,Secreted,Vacuole,Peroxisome,Golgi,Endosome,Lysosome
S000004262,1,1,0,1,1,1,0,0,0,0,0,0,0
S000006052,1,1,1,1,1,1,1,1,1,0,1,0,1
S000002394,1,1,1,1,1,1,1,1,1,1,1,0,1
S000004754,1,1,1,1,1,1,1,1,0,1,0,0,0
S000003556,1,1,1,1,1,1,1,0,1,0,1,0,0
S000002260,1,1,1,1,1,1,0,1,1,0,0,0,0
S000002802,1,1,1,1,1,1,1,1,1,0,0,0,1
S000004347,1,1,1,1,1,1,1,1,1,1,1,0,0
S000005234,1,1,1,1,1,1,0,0,1,0,0,0,0
S000002218,1,1,1,1,1,1,1,1,0,1,0,0,0
S000005783,1,1,1,1,1,1,1,1,1,0,1,1,1
S000002489,1,1,1,0,1,1,0,0,1,1,0,0,0
S000005122,1,1,1,1,1,1,1,1,1,0,1,1,1
S000005686,1,1,1,1,1,1,1,1,1,1,1,0,0
S000001110,1,1,1,1,1,1,1,1,1,1,0,0,1
S000002644,1,1,1,1,1,0,1,1,1,1,0,0,0
S000003327,1,1,1,1,1,1,0,1,0,0,0,0,0
S000003137,1,1,1,1,1,1,0,0,0,1,0,0,0
S000003710,1,1,1,1,1,0,1,1,1,0,1,0,0
S000004778,1,1,1,1,1,0,0,0,0,1,0,0,0
S000001125,1,1,1,1,1,1,1,1,0,1,0,0,0
S000003803,1,1,1,1,1,1,1,0,1,1,1,1,0
S000000188,1,1,1,0,0,1,0,0,1,0,0,0,0
S000005643,1,1,1,1,1,1,1,1,1,0,1,1,1
S000001366,1,1,1,1,1,1,0,0,0,0,0,0,0
S000004714,1,1,1,1,1,1,1,1,1,1,0,1,0
S000002161,1,1,1,1,1,1,0,0,0,0,0,0,0
S000005200,1,1,1,1,1,1,1,1,1,1,0,0,1
S000003023,1,1,1,1,1,1,1,1,1,1,1,1,1
S000005226,1,1,1,0,0,0,0,0,0,1,0,0,0
S000000760,1,1,1,1,1,1,1,1,1,1,1,0,1
S000006434,1,1,1,1,0,1,0,1,0,0,0,0,0
S000004911,1,1,1,1,1,1,1,1,1,1,1,1,1
S000006072,1,1,1,0,0,1,0,0,0,1,0,0,0
S000000339,1,1,1,1,1,1,0,1,0,0,0,0,0
S000003539,1,1,1,1,1,1,1,1,1,0,1,1,1
S000003931,1,1,0,0,0,1,0,0,0,0,0,0,0
S000002428,1,1,1,1,1,1,0,1,0,0,0,0,0
S000005880,1,1,1,1,1,0,0,1,0,0,0,0,0
S000000371,1,1,1,1,0,1,0,0,0,1,0,0,0
S000005105,1,1,1,1,1,1,1,1,1,0,1,1,0
S000006081,1,1,1,1,1,1,1,1,1,1,0,1,1
S000003483,1,1,0,0,0,1,0,0,0,0,0,0,0
S000002598,1,1,1,1,1,1,1,1,1,0,0,1,1
S000001678,1,1,1,1,1,1,1,1,1,1,1,0,1
S000004264,1,1,1,1,1,1,1,1,0,0,0,0,0
S000004529,1,1,1,1,1,0,1,1,0,1,0,0,0
S000003427,1,1,1,1,1,1,1,1,0,0,0,0,0
S000004282,1,1,1,1,1,1,0,0,0,1,0,0,0
S000000364,1,1,1,1,1,1,1,1,1,1,1,1,1
S000004842,1,1,1,1,1,1,0,1,0,0,0,0,0
S000001894,1,1,1,0,1,1,0,0,0,0,0,0,0
S000000522,1,1,1,1,1,1,1,1,1,1,1,0,1
S000002648,1,1,1,0,0,1,0,0,0,1,0,0,0
S000001405,1,1,1,1,1,1,1,1,0,0,0,0,0
