raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
15S_RRNA		unmapped	none	no evidence found
21S_RRNA		unmapped	none	no evidence found
NME1		unmapped	none	no evidence found
PHO5	S000000297	mapped	alias_bridge	STRING aliases bridge
Q0010		unmapped	none	no evidence found
Q0017		unmapped	none	no evidence found
Q0032		unmapped	none	no evidence found
Q0045	S000007260	mapped	alias_bridge	STRING aliases bridge
Q0050	S000007261	mapped	alias_bridge	STRING aliases bridge
Q0055	S000007262	mapped	alias_bridge	STRING aliases bridge
Q0060	S000007263	mapped	alias_bridge	STRING aliases bridge
Q0065	S000007264	mapped	alias_bridge	STRING aliases bridge
Q0070	S000007265	mapped	alias_bridge	STRING aliases bridge
Q0075	S000007266	mapped	alias_bridge	STRING aliases bridge
Q0080	S000007267	mapped	alias_bridge	STRING aliases bridge
Q0085	S000007268	mapped	alias_bridge	STRING aliases bridge
Q0092		unmapped	none	no evidence found
Q0105	S000007270	mapped	alias_bridge	STRING aliases bridge
Q0110	S000007271	mapped	alias_bridge	STRING aliases bridge
Q0115	S000007272	mapped	alias_bridge	STRING aliases bridge
Q0120	S000007273	mapped	alias_bridge	STRING aliases bridge
Q0130	S000007274	mapped	alias_bridge	STRING aliases bridge
Q0140	S000007275	mapped	alias_bridge	STRING aliases bridge
Q0142		unmapped	none	no evidence found
Q0143		unmapped	none	no evidence found
Q0144		unmapped	none	no evidence found
Q0160	S000007279	mapped	alias_bridge	STRING aliases bridge
Q0182		unmapped	none	no evidence found
Q0250	S000007281	mapped	alias_bridge	STRING aliases bridge
Q0255	S000007282	mapped	alias_bridge	STRING aliases bridge
Q0275	S000007283	mapped	alias_bridge	STRING aliases bridge
Q0297		unmapped	none	no evidence found
RDN18		unmapped	none	no evidence found
RDN25		unmapped	none	no evidence found
RDN37		unmapped	none	no evidence found
RDN5		unmapped	none	no evidence found
RDN58		unmapped	none	no evidence found
RTL		unmapped	none	no evidence found
Rn18s		unmapped	none	no evidence found
SNR10		unmapped	none	no evidence found
SNR11		unmapped	none	no evidence found
SNR128		unmapped	none	no evidence found
SNR13		unmapped	none	no evidence found
SNR161		unmapped	none	no evidence found
SNR18		unmapped	none	no evidence found
SNR189		unmapped	none	no evidence found
SNR190		unmapped	none	no evidence found
SNR191		unmapped	none	no evidence found
SNR24		unmapped	none	no evidence found
SNR3		unmapped	none	no evidence found
SNR30		unmapped	none	no evidence found
SNR31		unmapped	none	no evidence found
SNR32		unmapped	none	no evidence found
SNR33		unmapped	none	no evidence found
SNR34		unmapped	none	no evidence found
SNR35		unmapped	none	no evidence found
SNR36		unmapped	none	no evidence found
SNR37		unmapped	none	no evidence found
SNR38		unmapped	none	no evidence found
SNR39		unmapped	none	no evidence found
SNR39B		unmapped	none	no evidence found
SNR4		unmapped	none	no evidence found
SNR40		unmapped	none	no evidence found
SNR41		unmapped	none	no evidence found
SNR42		unmapped	none	no evidence found
SNR43		unmapped	none	no evidence found
SNR44		unmapped	none	no evidence found
SNR45		unmapped	none	no evidence found
SNR46		unmapped	none	no evidence found
SNR47		unmapped	none	no evidence found
SNR48		unmapped	none	no evidence found
SNR49		unmapped	none	no evidence found
SNR5		unmapped	none	no evidence found
SNR50		unmapped	none	no evidence found
SNR51		unmapped	none	no evidence found
SNR52		unmapped	none	no evidence found
SNR53		unmapped	none	no evidence found
SNR54		unmapped	none	no evidence found
SNR55		unmapped	none	no evidence found
SNR56		unmapped	none	no evidence found
SNR57		unmapped	none	no evidence found
SNR58		unmapped	none	no evidence found
SNR59		unmapped	none	no evidence found
SNR60		unmapped	none	no evidence found
SNR61		unmapped	none	no evidence found
SNR62		unmapped	none	no evidence found
SNR63		unmapped	none	no evidence found
SNR64		unmapped	none	no evidence found
SNR65		unmapped	none	no evidence found
SNR66		unmapped	none	no evidence found
SNR67		unmapped	none	no evidence found
SNR68		unmapped	none	no evidence found
SNR69		unmapped	none	no evidence found
SNR70		unmapped	none	no evidence found
SNR71		unmapped	none	no evidence found
SNR72		unmapped	none	no evidence found
SNR73		unmapped	none	no evidence found
SNR74		unmapped	none	no evidence found
SNR75		unmapped	none	no evidence found
SNR76		unmapped	none	no evidence found
SNR77		unmapped	none	no evidence found
SNR78		unmapped	none	no evidence found
SNR79		unmapped	none	no evidence found
SNR8		unmapped	none	no evidence found
SNR80		unmapped	none	no evidence found
SNR81		unmapped	none	no evidence found
SNR82		unmapped	none	no evidence found
SNR83		unmapped	none	no evidence found
SNR84		unmapped	none	no evidence found
SNR85		unmapped	none	no evidence found
SNR86		unmapped	none	no evidence found
SNR87		unmapped	none	no evidence found
SNR9		unmapped	none	no evidence found
TERRA		unmapped	none	no evidence found
U1		unmapped	none	no evidence found
U2		unmapped	none	no evidence found
U3		unmapped	none	no evidence found
U4		unmapped	none	no evidence found
U5		unmapped	none	no evidence found
U6		unmapped	none	no evidence found
