species_key	comparison_level	focal_taxid	focal_scientific_name	matched_taxid	matched_scientific_name	matched_phylum	matched_class	matched_order	matched_family	matched_genus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1033177	Aspergillus kawachii (strain NBRC 4308)	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1064592	Naumovozyma castellii (strain ATCC 76901 / BCRC 22586 / CBS 4309 / NBRC 1992 / NRRL Y-12630)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Naumovozyma
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1071380	Tetrapisispora blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Tetrapisispora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1071382	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Kazachstania
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1072389	Marssonina brunnea f. sp. multigermtubi (strain MB_m1)	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Drepanopezizaceae	g__Drepanopeziza
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1076872	Torulaspora delbrueckii (strain ATCC 10662 / CBS 1146 / NBRC 0425 / NCYC 2629 / NRRL Y-866)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Torulaspora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1104152	Glarea lozoyensis (strain ATCC 74030 / MF5533)	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Glarea
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1126212	Macrophomina phaseolina (strain MS6)	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Botryosphaeriaceae	g__Macrophomina
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1170229	Penicillium digitatum (strain PHI26 / CECT 20796)	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1206466	Wickerhamomyces ciferrii (strain ATCC 14091 / BCRC 22168 / CBS 111 / JCM 3599 / NBRC 0793 / NRRL Y-1031 F-60-10)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Wickerhamomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1209962	Pneumocystis jirovecii (strain SE8)	p__Ascomycota	c__Pneumocystomycetes	o__Pneumocystales	f__Pneumocystaceae	g__Pneumocystis
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1213859	Colletotrichum fructicola (strain Nara gc5)	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Glomerellaceae	g__Colletotrichum
fgraminearum	phylum	229533	Fusarium graminearum PH-1	242507	Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958)	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Pyriculariaceae	g__Pyricularia
fgraminearum	phylum	229533	Fusarium graminearum PH-1	284590	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Kluyveromyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	284592	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Debaryomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	284593	Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Nakaseomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	294746	Meyerozyma guilliermondii (strain ATCC 6260 / CBS 566 / DSM 6381 / JCM 1539 / NBRC 10279 / NRRL Y-324)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Meyerozyma
fgraminearum	phylum	229533	Fusarium graminearum PH-1	306901	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970)	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Chaetomium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	306902	Clavispora lusitaniae (strain ATCC 42720)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Metschnikowiaceae	g__Clavispora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	322104	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545)	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Scheffersomyces
