taxid	uniprot_id	species_name	domain	scientific_name	kingdom	phylum	class	order	family	genus	species
104421	UP000000311	Camponotus floridanus	Eukaryota	Camponotus floridanus	k__Eukaryota	p__Arthropoda	c__Insecta	o__Hymenoptera	f__Formicidae	g__Camponotus	s__Camponotus floridanus
246437	UP000011518	Tupaia chinensis	Eukaryota	Tupaia chinensis	k__Eukaryota	p__Chordata	c__Mammalia	o__Scandentia	f__Tupaiidae	g__Tupaia	s__Tupaia chinensis
1001064	UP000006141	Rhodosporidium toruloides (strain ATCC 204091 / IIP 30 / MTCC 1151)	Eukaryota	Rhodotorula toruloides ATCC 204091	k__Eukaryota	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__Rhodotorula toruloides
10029	UP000001075	Cricetulus griseus	Eukaryota	Cricetulus griseus	k__Eukaryota	p__Chordata	c__Mammalia	o__Rodentia	f__Cricetidae	g__Cricetulus	s__Cricetulus griseus
1003232	UP000003163	Edhazardia aedis (strain USNM 41457)	Eukaryota	Edhazardia aedis USNM 41457	k__Eukaryota	p__Microsporidia	c__unclassified Microsporidia class	o__unclassified Microsporidia order	f__Culicosporidae	g__Edhazardia	s__Edhazardia aedis
10181	UP000006813	Heterocephalus glaber	Eukaryota	Heterocephalus glaber	k__Eukaryota	p__Chordata	c__Mammalia	o__Rodentia	f__Bathyergidae	g__Heterocephalus	s__Heterocephalus glaber
1033177	UP000006812	Aspergillus kawachii (strain NBRC 4308)	Eukaryota	Aspergillus luchuensis IFO 4308	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus luchuensis
103372	UP000007755	Acromyrmex echinatior	Eukaryota	Acromyrmex echinatior	k__Eukaryota	p__Arthropoda	c__Insecta	o__Hymenoptera	f__Formicidae	g__Acromyrmex	s__Acromyrmex echinatior
1064592	UP000001640	Naumovozyma castellii (strain ATCC 76901 / BCRC 22586 / CBS 4309 / NBRC 1992 / NRRL Y-12630)	Eukaryota	Naumovozyma castellii CBS 4309	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Naumovozyma	s__Naumovozyma castellii
1071380	UP000002866	Tetrapisispora blattae (strain ATCC 34711 / CBS 6284 / DSM 70876 / NBRC 10599 / NRRL Y-10934 / UCD 77-7)	Eukaryota	Tetrapisispora blattae CBS 6284	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Tetrapisispora	s__Tetrapisispora blattae
1071382	UP000005220	Kazachstania africana (strain ATCC 22294 / BCRC 22015 / CBS 2517 / CECT 1963 / NBRC 1671 / NRRL Y-8276)	Eukaryota	Kazachstania africana CBS 2517	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Kazachstania	s__Kazachstania africana
1072389	UP000006753	Marssonina brunnea f. sp. multigermtubi (strain MB_m1)	Eukaryota	Drepanopeziza brunnea f. sp. 'multigermtubi' MB_m1	k__Eukaryota	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Drepanopezizaceae	g__Drepanopeziza	s__Drepanopeziza brunnea
1076872	UP000005627	Torulaspora delbrueckii (strain ATCC 10662 / CBS 1146 / NBRC 0425 / NCYC 2629 / NRRL Y-866)	Eukaryota	Torulaspora delbrueckii CBS 1146	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Torulaspora	s__Torulaspora delbrueckii
599839	UP000006352	Fibroporia radiculosa	Eukaryota	Fibroporia radiculosa	k__Eukaryota	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Fibroporiaceae	g__Fibroporia	s__Fibroporia radiculosa
