species_key	focal_taxid	query_level_taxid	query_level_name	member_orthodb_organism_id	member_taxid	member_scientific_name
celegans	6239	2759	Eukaryota	2711_0	2711	Citrus sinensis
celegans	6239	2759	Eukaryota	2769_0	2769	Chondrus crispus
celegans	6239	2759	Eukaryota	2786_0	2786	Porphyra umbilicalis
celegans	6239	2759	Eukaryota	2880_0	2880	Ectocarpus siliculosus
celegans	6239	2759	Eukaryota	2951_0	2951	Symbiodinium microadriaticum
celegans	6239	2759	Eukaryota	2951_1	2951	Symbiodinium microadriaticum
celegans	6239	2759	Eukaryota	2952_0	2952	Symbiodinium pilosum
celegans	6239	2759	Eukaryota	3046_0	3046	Dunaliella salina
celegans	6239	2759	Eukaryota	3055_0	3055	Chlamydomonas reinhardtii
celegans	6239	2759	Eukaryota	3068_0	3068	Volvox carteri f. nagariensis
celegans	6239	2759	Eukaryota	3075_0	3075	Auxenochlorella protothecoides
celegans	6239	2759	Eukaryota	3076_0	3076	Chlorella sorokiniana
celegans	6239	2759	Eukaryota	3077_0	3077	Chlorella vulgaris
celegans	6239	2759	Eukaryota	3088_0	3088	Tetradesmus obliquus
celegans	6239	2759	Eukaryota	3197_0	3197	Marchantia polymorpha
celegans	6239	2759	Eukaryota	3218_0	3218	Physcomitrium patens
celegans	6239	2759	Eukaryota	3225_0	3225	Ceratodon purpureus
celegans	6239	2759	Eukaryota	3369_0	3369	Cryptomeria japonica
celegans	6239	2759	Eukaryota	3435_0	3435	Persea americana
celegans	6239	2759	Eukaryota	3469_0	3469	Papaver somniferum
celegans	6239	2759	Eukaryota	3476_0	3476	Parasponia andersonii
celegans	6239	2759	Eukaryota	3483_0	3483	Cannabis sativa
celegans	6239	2759	Eukaryota	3555_0	3555	Beta vulgaris subsp. vulgaris
celegans	6239	2759	Eukaryota	3562_0	3562	Spinacia oleracea
celegans	6239	2759	Eukaryota	3634_0	3634	Gossypium barbadense
celegans	6239	2759	Eukaryota	3634_1	3634	Gossypium barbadense
celegans	6239	2759	Eukaryota	3635_0	3635	Gossypium hirsutum
celegans	6239	2759	Eukaryota	3641_0	3641	Theobroma cacao
celegans	6239	2759	Eukaryota	3649_0	3649	Carica papaya
celegans	6239	2759	Eukaryota	3656_0	3656	Cucumis melo
celegans	6239	2759	Eukaryota	3659_0	3659	Cucumis sativus
celegans	6239	2759	Eukaryota	3661_0	3661	Cucurbita maxima
celegans	6239	2759	Eukaryota	3662_0	3662	Cucurbita moschata
celegans	6239	2759	Eukaryota	3664_0	3664	Cucurbita pepo subsp. pepo
celegans	6239	2759	Eukaryota	3673_0	3673	Momordica charantia
celegans	6239	2759	Eukaryota	3694_0	3694	Populus trichocarpa
