raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
6239.2L52.1a.1	6239.B0205.7.1			False	unmapped_A	161	0	148	0
6239.2L52.1a.1	6239.C24D10.6.1		WBGene00016057	False	unmapped_A	220	0	220	0
6239.2L52.1a.1	6239.C43E11.3a.1		WBGene00016603	False	unmapped_A	185	89	129	0
6239.2L52.1a.1	6239.R13F6.5.1		WBGene00020066	False	unmapped_A	167	0	167	0
6239.2L52.1a.1	6239.C13D9.3.1		WBGene00005659	False	unmapped_A	164	81	129	0
6239.2L52.1a.1	6239.C54C6.2.1			False	unmapped_A	163	0	163	0
6239.2L52.1a.1	6239.C47B2.3.3			False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.Y39H10A.3a.1			False	unmapped_A	165	0	166	0
6239.2L52.1a.1	6239.ZC302.2a.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.Y37E3.8a.1		WBGene00021350	False	unmapped_A	173	0	173	0
6239.2L52.1a.1	6239.Y39E4B.7.1		WBGene00012718	False	unmapped_A	167	0	167	0
6239.2L52.1a.1	6239.F54E12.4.1		WBGene00001932	False	unmapped_A	151	0	152	0
6239.2L52.1a.1	6239.F28D1.7a.2		WBGene00004492	False	unmapped_A	186	0	186	0
6239.2L52.1a.1	6239.Y110A7A.15a.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.F54C4.1.1			False	unmapped_A	191	0	191	0
6239.2L52.1a.1	6239.F23B2.5a.1		WBGene00001444	False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.F02E9.4b.1			False	unmapped_A	204	54	173	0
6239.2L52.1a.1	6239.C30G12.4.1		WBGene00016276	False	unmapped_A	175	0	175	0
6239.2L52.1a.1	6239.Y77E11A.11a.2		WBGene00000547	False	unmapped_A	177	58	163	0
6239.2L52.1a.1	6239.B0511.8.2		WBGene00044321	False	unmapped_A	191	0	191	0
6239.2L52.1a.1	6239.D2007.4.1			False	unmapped_A	191	0	191	0
6239.2L52.1a.1	6239.F44F1.6a.1		WBGene00009698	False	unmapped_A	157	72	129	0
6239.2L52.1a.1	6239.Y53H1B.6.1		WBGene00013184	False	unmapped_A	177	58	163	0
6239.2L52.1a.1	6239.ZK909.2n.2			False	unmapped_A	156	0	138	0
6239.2L52.1a.1	6239.W04D2.5.1		WBGene00012244	False	unmapped_A	203	50	196	0
6239.2L52.1a.1	6239.K07A1.12.1			False	unmapped_A	214	52	205	0
6239.2L52.1a.1	6239.K06H6.2.1		WBGene00019450	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.E02A10.2a.1		WBGene00001732	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.C08B11.2.1			False	unmapped_A	158	0	150	0
6239.2L52.1a.1	6239.F09B12.2.1		WBGene00008606	False	unmapped_A	167	0	167	0
6239.2L52.1a.1	6239.Y32B12B.2a.1		WBGene00012522	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.Y47G6A.17.1			False	unmapped_A	152	78	119	0
6239.2L52.1a.1	6239.F18E9.5b.1		WBGene00017571	False	unmapped_A	169	0	168	0
6239.2L52.1a.1	6239.F44F1.4.1		WBGene00009696	False	unmapped_A	157	72	129	0
6239.2L52.1a.1	6239.Y47G6A.21.1		WBGene00021646	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.R05G6.5.1		WBGene00019899	False	unmapped_A	230	0	180	100
6239.2L52.1a.1	6239.D1022.1a.1		WBGene00006703	False	unmapped_A	161	0	161	0
6239.2L52.1a.1	6239.C16C8.5.1		WBGene00015843	False	unmapped_A	150	0	151	0
6239.2L52.1a.1	6239.C25F6.2a.1		WBGene00001006	False	unmapped_A	167	0	167	0
6239.2L52.1a.1	6239.C14E2.4.1			False	unmapped_A	159	0	160	0
6239.2L52.1a.1	6239.W05H12.2.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.K11H3.6.1		WBGene00010783	False	unmapped_A	194	0	194	0
6239.2L52.1a.1	6239.F35B3.7.1		WBGene00018033	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.T16H12.5a.1			False	unmapped_A	261	183	133	0
6239.2L52.1a.1	6239.Y69A2AL.1.1		WBGene00001705	False	unmapped_A	161	0	161	0
6239.2L52.1a.1	6239.T14G8.3a.1		WBGene00011771	False	unmapped_A	151	0	152	0
6239.2L52.1a.1	6239.M70.5.1		WBGene00019787	False	unmapped_A	163	61	146	0
6239.2L52.1a.1	6239.Y47D3B.10.1			False	unmapped_A	159	0	160	0
6239.2L52.1a.1	6239.F43E2.8a.2			False	unmapped_A	153	0	152	0
6239.2L52.1a.1	6239.Y119C1B.4.1			False	unmapped_A	191	0	191	0
6239.2L52.1a.1	6239.F17E9.9.1		WBGene00001908	False	unmapped_A	151	0	152	0
6239.2L52.1a.1	6239.C29F7.4a.1		WBGene00001435	False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.F29C12.3b.1			False	unmapped_A	193	0	118	0
6239.2L52.1a.1	6239.F30F8.8.3			False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.Y57G11C.9b.1			False	unmapped_A	151	0	143	0
6239.2L52.1a.1	6239.ZK899.4.1		WBGene00006534	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.SSSD1.1.1			False	unmapped_A	162	77	130	0
6239.2L52.1a.1	6239.Y54F10AM.4a.1		WBGene00000464	False	unmapped_A	152	0	123	0
6239.2L52.1a.1	6239.K02D7.6.1		WBGene00001735	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.T01G6.1.1		WBGene00020151	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.T22E7.2.1		WBGene00020694	False	unmapped_A	167	0	167	0
6239.2L52.1a.1	6239.F39H11.2b.1			False	unmapped_A	160	0	144	0
6239.2L52.1a.1	6239.LLC1.1a.1			False	unmapped_A	177	58	163	0
6239.2L52.1a.1	6239.F28C6.7a.1			False	unmapped_A	177	0	178	0
6239.2L52.1a.1	6239.F37A4.8.1			False	unmapped_A	178	60	162	0
6239.2L52.1a.1	6239.K10G6.4.1		WBGene00019641	False	unmapped_A	168	61	151	0
6239.2L52.1a.1	6239.R12E2.12.1		WBGene00020037	False	unmapped_A	220	0	220	0
6239.2L52.1a.1	6239.C36E8.5.4		WBGene00006537	False	unmapped_A	163	0	163	0
6239.2L52.1a.1	6239.ZK742.1a.1			False	unmapped_A	153	0	135	0
6239.2L52.1a.1	6239.Y87G2A.15.1		WBGene00001704	False	unmapped_A	161	0	161	0
6239.2L52.1a.1	6239.M04C3.2a.1		WBGene00010851	False	unmapped_A	180	57	167	0
6239.2L52.1a.1	6239.Y54F10BM.12.1		WBGene00021866	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.T01G9.4.2		WBGene00003788	False	unmapped_A	158	0	159	0
6239.2L52.1a.1	6239.F07A11.3.1			False	unmapped_A	152	0	153	0
6239.2L52.1a.1	6239.F14D2.11.2			False	unmapped_A	150	0	151	0
6239.2L52.1a.1	6239.T04B2.7.1		WBGene00011425	False	unmapped_A	173	0	173	0
6239.2L52.1a.1	6239.F40H3.4b.2		WBGene00001440	False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.T20F5.3.2		WBGene00020625	False	unmapped_A	191	0	191	0
6239.2L52.1a.1	6239.F17A2.16.1			False	unmapped_A	186	57	172	0
6239.2L52.1a.1	6239.B0464.8.1			False	unmapped_A	156	0	156	0
6239.2L52.1a.1	6239.T28D6.2.1		WBGene00006533	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.F02A9.4.1			False	unmapped_A	192	0	191	0
6239.2L52.1a.1	6239.T12D8.7.2			False	unmapped_A	165	0	165	0
6239.2L52.1a.1	6239.C15H9.6a.5		WBGene00002007	False	unmapped_A	153	0	152	0
6239.2L52.1a.1	6239.F23H11.2.1		WBGene00017758	False	unmapped_A	152	67	129	0
6239.2L52.1a.1	6239.ZK616.4.2		WBGene00022774	False	unmapped_A	163	61	146	0
6239.2L52.1a.1	6239.K09B11.1a.2		WBGene00004029	False	unmapped_A	160	84	121	0
6239.2L52.1a.1	6239.Y104H12D.2.1		WBGene00022426	False	unmapped_A	191	86	152	0
6239.2L52.1a.1	6239.C24H11.9.1		WBGene00007704	False	unmapped_A	152	0	135	0
6239.2L52.1a.1	6239.C06E4.3.1		WBGene00015532	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.F26B1.7.1			False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.Y55F3AM.1.1			False	unmapped_A	186	0	186	0
6239.2L52.1a.1	6239.Y39B6A.39a.1		WBGene00012697	False	unmapped_A	218	0	218	0
6239.2L52.1a.1	6239.T01E8.6.1		WBGene00011334	False	unmapped_A	218	0	218	0
6239.2L52.1a.1	6239.T10C6.11.1			False	unmapped_A	151	0	152	0
6239.2L52.1a.1	6239.K07A1.11.1		WBGene00004312	False	unmapped_A	205	0	205	0
6239.2L52.1a.1	6239.ZC247.1.1		WBGene00013859	False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.ZK858.4b.1		WBGene00003209	False	unmapped_A	261	183	133	0
6239.2L52.1a.1	6239.Y2H9A.1.1			False	unmapped_A	175	92	129	0
6239.2L52.1a.1	6239.Y56A3A.28.1			False	unmapped_A	163	61	146	0
6239.2L52.1a.1	6239.F18E2.3.1		WBGene00004738	False	unmapped_A	199	0	199	0
6239.2L52.1a.1	6239.Y59A8B.14a.1			False	unmapped_A	150	72	122	0
6239.2L52.1a.1	6239.ZK131.9.1		WBGene00001889	False	unmapped_A	151	0	152	0
6239.2L52.1a.1	6239.F56D1.3.1			False	unmapped_A	233	60	218	0
6239.2L52.1a.1	6239.F33H2.7.1		WBGene00009370	False	unmapped_A	157	73	129	0
6239.2L52.1a.1	6239.Y41C4A.5.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.R06A4.7.1		WBGene00003220	False	unmapped_A	235	65	194	0
6239.2L52.1a.1	6239.F56D2.4.1			False	unmapped_A	179	0	180	0
6239.2L52.1a.1	6239.C01B7.4a.2			False	unmapped_A	196	0	178	0
6239.2L52.1a.1	6239.C05D11.10.1			False	unmapped_A	218	0	218	0
6239.2L52.1a.1	6239.C35B1.1.1			False	unmapped_A	161	0	161	0
6239.2L52.1a.1	6239.C02F4.2b.1		WBGene00006527	False	unmapped_A	161	0	143	0
6239.2L52.1a.1	6239.F33D11.12.1		WBGene00018009	False	unmapped_A	167	0	167	0
6239.2L52.1a.1	6239.C25F9.5.1		WBGene00007725	False	unmapped_A	180	57	167	0
