raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
229533.A0A098CYV1	229533.I1S1T6	FGRAMPH1_01G00009	FGRAMPH1_01G08743	True		310	94	0	270
229533.A0A098CYV1	229533.A0A1C3YIP4	FGRAMPH1_01G00009	FGRAMPH1_01G04971	True		244	245	0	0
229533.A0A098CYV1	229533.V6R2Z2	FGRAMPH1_01G00009	FGRAMPH1_01G02461	True		191	134	0	0
229533.A0A098CYV1	229533.I1RCF3	FGRAMPH1_01G00009	FGRAMPH1_01G03139	True		241	242	0	0
229533.A0A098CYV1	229533.A0A098D0Z4	FGRAMPH1_01G00009	FGRAMPH1_01G00561	True		230	126	66	0
229533.A0A098CYV1	229533.A0A098E2F0	FGRAMPH1_01G00009	FGRAMPH1_01G20989	True		216	0	0	0
229533.A0A098CYV1	229533.I1RYK0	FGRAMPH1_01G00009	FGRAMPH1_01G27043	True		472	105	0	0
229533.A0A098CYV1	229533.I1RUP6	FGRAMPH1_01G00009	FGRAMPH1_01G26047	True		171	0	0	0
229533.A0A098CYV1	229533.A0A1C3YJP4	FGRAMPH1_01G00009	FGRAMPH1_01G18111	True		261	93	0	0
229533.A0A098CYV1	229533.I1RH23	FGRAMPH1_01G00009	FGRAMPH1_01G11961	True		331	280	0	0
229533.A0A098CYV1	229533.A0A098DF57	FGRAMPH1_01G00009	FGRAMPH1_01G11561	True		202	147	0	0
229533.A0A098CYV1	229533.I1RY41	FGRAMPH1_01G00009	FGRAMPH1_01G27507	True		162	145	0	0
229533.A0A098CYV1	229533.A0A1C3YL82	FGRAMPH1_01G00009	FGRAMPH1_01G23611	True		271	0	0	0
229533.A0A098CYV1	229533.I1RF73	FGRAMPH1_01G00009	FGRAMPH1_01G05623	True		254	119	0	0
229533.A0A098CYV1	229533.I1RA62	FGRAMPH1_01G00009	FGRAMPH1_01G01013	True		872	756	0	0
229533.A0A098CYV1	229533.A0A1C3YHZ7	FGRAMPH1_01G00009	FGRAMPH1_01G01339	True		683	386	0	133
229533.A0A098CYV1	229533.Q4IBK5	FGRAMPH1_01G00009		False	unmapped_B	316	0	0	257
229533.A0A098CYV1	229533.I1RCR3	FGRAMPH1_01G00009	FGRAMPH1_01G03417	True		150	78	0	0
229533.A0A098CYV1	229533.I1RMJ3	FGRAMPH1_01G00009	FGRAMPH1_01G17301	True		253	98	0	0
229533.A0A098CYV1	229533.I1RKB2	FGRAMPH1_01G00009	FGRAMPH1_01G14975	True		458	69	0	0
229533.A0A098CYV1	229533.I1RKP3	FGRAMPH1_01G00009	FGRAMPH1_01G15335	True		644	352	136	335
229533.A0A098CYV1	229533.I1RI39	FGRAMPH1_01G00009	FGRAMPH1_01G12939	True		308	0	0	0
229533.A0A098CYV1	229533.Q4HVS2	FGRAMPH1_01G00009		False	unmapped_B	508	130	150	310
229533.A0A098CYV1	229533.I1RLZ4	FGRAMPH1_01G00009	FGRAMPH1_01G16761	True		275	224	0	0
229533.A0A098CYV1	229533.A0A1C3YKN4	FGRAMPH1_01G00009	FGRAMPH1_01G20743	True		177	73	0	0
229533.A0A098CYV1	229533.V6RZD4	FGRAMPH1_01G00009	FGRAMPH1_01G08671	True		191	134	0	0
229533.A0A098CYV1	229533.V6RUG6	FGRAMPH1_01G00009	FGRAMPH1_01G27969	True		570	285	0	324
229533.A0A098CYV1	229533.I1RVW1	FGRAMPH1_01G00009	FGRAMPH1_01G09879	True		162	145	0	0
229533.A0A098CYV1	229533.A0A1C3YJ56	FGRAMPH1_01G00009	FGRAMPH1_01G07031	True		245	146	0	0
229533.A0A098CYV1	229533.A0A098DH82	FGRAMPH1_01G00009	FGRAMPH1_01G11989	True		191	134	0	0
229533.A0A098CYV1	229533.I1RNG4	FGRAMPH1_01G00009	FGRAMPH1_01G18163	True		651	0	0	0
229533.A0A098CYV1	229533.V6RBG5	FGRAMPH1_01G00009	FGRAMPH1_01G19151	True		382	383	0	0
229533.A0A098CYV1	229533.I1RTT3	FGRAMPH1_01G00009	FGRAMPH1_01G25183	True		216	216	0	0
229533.A0A098CYV1	229533.A0A098D5S0	FGRAMPH1_01G00009	FGRAMPH1_01G02969	True		294	0	0	0
229533.A0A098CYV1	229533.I1RJL3	FGRAMPH1_01G00009	FGRAMPH1_01G14311	True		171	0	0	0
229533.A0A098CYV1	229533.I1S2X9	FGRAMPH1_01G00009	FGRAMPH1_01G21303	True		174	158	0	0
229533.A0A098CYV1	229533.I1RBS0	FGRAMPH1_01G00009	FGRAMPH1_01G02529	True		267	0	0	0
229533.A0A098CYV1	229533.I1RC31	FGRAMPH1_01G00009	FGRAMPH1_01G02817	True		691	434	0	0
229533.A0A098CYV1	229533.A0A1C3YKV2	FGRAMPH1_01G00009	FGRAMPH1_01G23763	True		153	149	0	0
229533.A0A098CYV1	229533.I1RY62	FGRAMPH1_01G00009	FGRAMPH1_01G27431	True		201	0	0	0
229533.A0A098CYV1	229533.V6R949	FGRAMPH1_01G00009	FGRAMPH1_01G11389	True		215	0	0	0
229533.A0A098CYV1	229533.A0A1C3YLL6	FGRAMPH1_01G00009	FGRAMPH1_01G25805	True		158	0	157	0
229533.A0A098CYV1	229533.I1S0A5	FGRAMPH1_01G00009	FGRAMPH1_01G07347	True		182	69	0	0
229533.A0A098CYV1	229533.I1RD59	FGRAMPH1_01G00009	FGRAMPH1_01G03777	True		156	149	0	0
229533.A0A098CYV1	229533.A0A1C3YIE7	FGRAMPH1_01G00009	FGRAMPH1_01G01953	True		316	0	0	257
229533.A0A098CYV1	229533.I1RR68	FGRAMPH1_01G00009	FGRAMPH1_01G22635	True		204	117	0	0
