raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
9606.ENSP00000000233	9606.ENSP00000356607	ENSG00000004059	ENSG00000116191	True		173	45	134	0
9606.ENSP00000000233	9606.ENSP00000427567	ENSG00000004059	ENSG00000137460	True		154	0	128	0
9606.ENSP00000000233	9606.ENSP00000253413	ENSG00000004059	ENSG00000131100	True		151	118	49	0
9606.ENSP00000000233	9606.ENSP00000493357	ENSG00000004059	ENSG00000105443	True		471	56	53	0
9606.ENSP00000000233	9606.ENSP00000324127	ENSG00000004059	ENSG00000156011	True		201	0	46	0
9606.ENSP00000000233	9606.ENSP00000325266	ENSG00000004059	ENSG00000162222	True		180	94	125	0
9606.ENSP00000000233	9606.ENSP00000320935	ENSG00000004059	ENSG00000181856	True		181	55	82	0
9606.ENSP00000000233	9606.ENSP00000371175	ENSG00000004059	ENSG00000100083	True		594	47	296	0
9606.ENSP00000000233	9606.ENSP00000480364	ENSG00000004059		False	unmapped_B	154	56	58	0
9606.ENSP00000000233	9606.ENSP00000388107	ENSG00000004059	ENSG00000221983	True		161	94	64	0
9606.ENSP00000000233	9606.ENSP00000461784	ENSG00000004059	ENSG00000108433	True		303	53	126	0
9606.ENSP00000000233	9606.ENSP00000381097	ENSG00000004059	ENSG00000154928	True		168	74	110	0
9606.ENSP00000000233	9606.ENSP00000234160	ENSG00000004059	ENSG00000115806	True		217	120	67	0
9606.ENSP00000000233	9606.ENSP00000241502	ENSG00000004059	ENSG00000122068	True		155	73	93	0
9606.ENSP00000000233	9606.ENSP00000317272	ENSG00000004059	ENSG00000105976	True		347	82	274	0
9606.ENSP00000000233	9606.ENSP00000487719	ENSG00000004059		False	unmapped_B	197	86	121	0
9606.ENSP00000000233	9606.ENSP00000354878	ENSG00000004059	ENSG00000139116	True		513	42	0	500
9606.ENSP00000000233	9606.ENSP00000479606	ENSG00000004059	ENSG00000141367	True		322	90	107	0
9606.ENSP00000000233	9606.ENSP00000369127	ENSG00000004059	ENSG00000086061	True		206	85	146	0
9606.ENSP00000000233	9606.ENSP00000493946	ENSG00000004059	ENSG00000103494	True		227	74	132	0
9606.ENSP00000000233	9606.ENSP00000383023	ENSG00000004059	ENSG00000215375	True		153	94	97	0
9606.ENSP00000000233	9606.ENSP00000266126	ENSG00000004059	ENSG00000119718	True		160	62	113	0
9606.ENSP00000000233	9606.ENSP00000262027	ENSG00000004059	ENSG00000166986	True		164	113	71	0
9606.ENSP00000000233	9606.ENSP00000271526	ENSG00000004059	ENSG00000143294	True		163	95	0	0
9606.ENSP00000000233	9606.ENSP00000364898	ENSG00000004059	ENSG00000165025	True		174	82	110	0
9606.ENSP00000000233	9606.ENSP00000325074	ENSG00000004059	ENSG00000221914	True		201	79	134	0
9606.ENSP00000000233	9606.ENSP00000310226	ENSG00000004059	ENSG00000174903	True		648	109	110	500
9606.ENSP00000000233	9606.ENSP00000006275	ENSG00000004059	ENSG00000007255	True		154	70	113	0
9606.ENSP00000000233	9606.ENSP00000369965	ENSG00000004059	ENSG00000145741	True		206	112	50	0
9606.ENSP00000000233	9606.ENSP00000258098	ENSG00000004059	ENSG00000135631	True		501	0	0	0
9606.ENSP00000000233	9606.ENSP00000265462	ENSG00000004059	ENSG00000126432	True		286	245	70	0
9606.ENSP00000000233	9606.ENSP00000347464	ENSG00000004059	ENSG00000139436	True		325	44	0	0
9606.ENSP00000000233	9606.ENSP00000330842	ENSG00000004059		False	unmapped_B	166	52	95	0
9606.ENSP00000000233	9606.ENSP00000358723	ENSG00000004059	ENSG00000116473	True		164	61	71	0
9606.ENSP00000000233	9606.ENSP00000363232	ENSG00000004059	ENSG00000136883	True		533	0	105	500
9606.ENSP00000000233	9606.ENSP00000498386	ENSG00000004059		False	unmapped_B	228	0	0	98
9606.ENSP00000000233	9606.ENSP00000225655	ENSG00000004059	ENSG00000108518	True		201	107	93	0
9606.ENSP00000000233	9606.ENSP00000351926	ENSG00000004059	ENSG00000196961	True		170	57	128	0
9606.ENSP00000000233	9606.ENSP00000447300	ENSG00000004059	ENSG00000127328	True		210	0	112	0
9606.ENSP00000000233	9606.ENSP00000264335	ENSG00000004059	ENSG00000108953	True		204	107	91	0
9606.ENSP00000000233	9606.ENSP00000482829	ENSG00000004059		False	unmapped_B	150	65	107	0
9606.ENSP00000000233	9606.ENSP00000387549	ENSG00000004059	ENSG00000036565	True		224	0	225	0
9606.ENSP00000000233	9606.ENSP00000386857	ENSG00000004059	ENSG00000163017	True		178	107	70	0
9606.ENSP00000000233	9606.ENSP00000271889	ENSG00000004059	ENSG00000143578	True		172	0	0	0
9606.ENSP00000000233	9606.ENSP00000377769	ENSG00000004059	ENSG00000169379	True		217	0	162	0
9606.ENSP00000000233	9606.ENSP00000489407	ENSG00000004059		False	unmapped_B	322	46	308	0
9606.ENSP00000000233	9606.ENSP00000341885	ENSG00000004059	ENSG00000140988	True		233	111	126	0
9606.ENSP00000000233	9606.ENSP00000307939	ENSG00000004059	ENSG00000135968	True		271	55	95	0
9606.ENSP00000000233	9606.ENSP00000297532	ENSG00000004059	ENSG00000164896	True		162	163	0	0
9606.ENSP00000000233	9606.ENSP00000222803	ENSG00000004059	ENSG00000106080	True		152	67	0	0
9606.ENSP00000000233	9606.ENSP00000347055	ENSG00000004059	ENSG00000198336	True		159	74	97	0
9606.ENSP00000000233	9606.ENSP00000378402	ENSG00000004059	ENSG00000169375	True		192	132	95	0
9606.ENSP00000000233	9606.ENSP00000258301	ENSG00000004059	ENSG00000135823	True		186	53	71	0
9606.ENSP00000000233	9606.ENSP00000232905	ENSG00000004059	ENSG00000114784	True		164	90	96	0
9606.ENSP00000000233	9606.ENSP00000323879	ENSG00000004059	ENSG00000180233	True		156	0	0	0
