raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
7227.FBpp0070001	7227.FBpp0082651	FBgn0031085	FBgn0038357	True		375	375	0	0
7227.FBpp0070001	7227.FBpp0078514	FBgn0031085	FBgn0037283	True		379	379	0	0
7227.FBpp0070001	7227.FBpp0083155	FBgn0031085	FBgn0038694	True		384	384	0	0
7227.FBpp0070001	7227.FBpp0304379	FBgn0031085	FBgn0036221	True		242	243	0	0
7227.FBpp0070001	7227.FBpp0076311	FBgn0031085	FBgn0052026	True		173	174	0	0
7227.FBpp0070001	7227.FBpp0074378	FBgn0031085		False	unmapped_B	228	229	0	0
7227.FBpp0070001	7227.FBpp0112922	FBgn0031085	FBgn0036807	True		175	175	0	0
7227.FBpp0070001	7227.FBpp0077612	FBgn0031085	FBgn0031333	True		238	239	0	0
7227.FBpp0070001	7227.FBpp0078165	FBgn0031085	FBgn0037169	True		250	250	0	0
7227.FBpp0070001	7227.FBpp0074716	FBgn0031085	FBgn0036895	True		222	222	0	0
7227.FBpp0070001	7227.FBpp0082639	FBgn0031085	FBgn0038377	True		487	487	0	0
7227.FBpp0070001	7227.FBpp0310567	FBgn0031085	FBgn0025378	True		173	174	0	0
7227.FBpp0070001	7227.FBpp0110084	FBgn0031085		False	unmapped_B	208	208	0	0
7227.FBpp0070001	7227.FBpp0085601	FBgn0031085	FBgn0042198	True		246	247	0	0
7227.FBpp0070001	7227.FBpp0079149	FBgn0031085	FBgn0031954	True		317	318	0	0
7227.FBpp0070001	7227.FBpp0086537	FBgn0031085		False	unmapped_B	218	218	0	0
7227.FBpp0070001	7227.FBpp0076303	FBgn0031085	FBgn0035924	True		221	221	0	0
7227.FBpp0070001	7227.FBpp0081122	FBgn0031085	FBgn0250845	True		457	457	0	0
7227.FBpp0070001	7227.FBpp0293284	FBgn0031085	FBgn0013810	True		150	151	0	0
7227.FBpp0070001	7227.FBpp0078520	FBgn0031085	FBgn0037276	True		175	175	0	0
7227.FBpp0070001	7227.FBpp0289840	FBgn0031085	FBgn0028857	True		225	226	0	0
7227.FBpp0070001	7227.FBpp0081988	FBgn0031085	FBgn0037962	True		177	178	0	0
7227.FBpp0070001	7227.FBpp0082166	FBgn0031085	FBgn0038109	True		177	178	0	0
7227.FBpp0070001	7227.FBpp0290914	FBgn0031085		False	unmapped_B	212	212	0	0
7227.FBpp0070001	7227.FBpp0075605	FBgn0031085	FBgn0036328	True		439	439	0	0
