raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
7227.FBpp0070001	39	FBgn0031085(Ensembl_flybase_gene_id); FBgn0031085(Ensembl_gene); FBgn0031085(UniProt_DR_FlyBase)	FBgn0031085	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070002	37			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070005	68	FBgn0031089(Ensembl_flybase_gene_id); FBgn0031089(Ensembl_gene); FBgn0031089(UniProt_DR_FlyBase)	FBgn0031089	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070006	43	FBgn0031092(Ensembl_flybase_gene_id); FBgn0031092(Ensembl_gene); FBgn0031092(UniProt_DR_FlyBase)	FBgn0031092	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; KEGG_EC; Ensembl_STRING
7227.FBpp0070007	41	FBgn0031094(Ensembl_flybase_gene_id); FBgn0031094(Ensembl_gene); FBgn0031094(UniProt_DR_FlyBase)	FBgn0031094	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070025	43	FBgn0031093(Ensembl_flybase_gene_id); FBgn0031093(Ensembl_gene); FBgn0031093(UniProt_DR_FlyBase)	FBgn0031093	mapped	alias_match	KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0070028	37			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070031	50			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070034	45	FBgn0031082(Ensembl_flybase_gene_id); FBgn0031082(Ensembl_gene); FBgn0031082(UniProt_DR_FlyBase)	FBgn0031082	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0070035	41			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_FlyBaseName_gene
7227.FBpp0070037	56			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070044	40	FBgn0053217(Ensembl_flybase_gene_id); FBgn0053217(Ensembl_gene); FBgn0053217(UniProt_DR_FlyBase)	FBgn0053217	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070045	44			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070049	83			unmapped		Ensembl_EntrezGene; UniProt_DR_GeneID; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0070051	62			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_EntrezGene; UniProt_DR_GeneID
7227.FBpp0070052	58			unmapped		Ensembl_EntrezGene; Ensembl_EntrezGene; Ensembl_EntrezGene; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070054	36			unmapped		Ensembl_EntrezGene; Ensembl_EntrezGene; Ensembl_EntrezGene; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0070056	69			unmapped		Ensembl_EntrezGene; Ensembl_EntrezGene; Ensembl_EntrezGene; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0070060	104			unmapped		UniProt_DE_SubName_EC; KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0070064	73	FBgn0000316(Ensembl_flybase_gene_id); FBgn0000316(Ensembl_gene); FBgn0000316(UniProt_DR_FlyBase)	FBgn0000316	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene
7227.FBpp0070068	44	FBgn0040371(Ensembl_flybase_gene_id); FBgn0040371(Ensembl_gene); FBgn0040371(UniProt_DR_FlyBase)	FBgn0040371	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
