raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
4932.Q0010	4932.YMR207C		S000004820	False	unmapped_A	333	95	0	245
4932.Q0010	4932.YCR051W		S000000647	False	unmapped_A	205	0	180	0
4932.Q0010	4932.YPR002W		S000006206	False	unmapped_A	195	52	116	0
4932.Q0010	4932.YGR117C		S000003349	False	unmapped_A	166	52	151	0
4932.Q0010	4932.YML056C		S000004520	False	unmapped_A	152	0	134	0
4932.Q0010	4932.YMR164C		S000004774	False	unmapped_A	202	49	180	0
4932.Q0010	4932.YMR213W		S000004826	False	unmapped_A	218	44	73	0
4932.Q0010	4932.YHR150W		S000001193	False	unmapped_A	313	91	54	245
4932.Q0010	4932.YJL052W		S000003588	False	unmapped_A	219	178	61	0
4932.Q0010	4932.YPR022C		S000006226	False	unmapped_A	186	0	186	0
4932.Q0010	4932.YML007W		S000004466	False	unmapped_A	187	0	57	155
4932.Q0010	4932.YKL203C		S000001686	False	unmapped_A	288	0	181	0
4932.Q0010	4932.YFL049W		S000001845	False	unmapped_A	167	0	168	0
4932.Q0010	4932.YML099C		S000004565	False	unmapped_A	309	68	89	240
4932.Q0010	4932.YJR032W		S000003793	False	unmapped_A	207	47	191	0
4932.Q0010	4932.YBR265W		S000000469	False	unmapped_A	543	50	159	0
4932.Q0010	4932.YFL030W		S000001864	False	unmapped_A	330	66	58	275
4932.Q0010	4932.YOR241W		S000005767	False	unmapped_A	275	49	0	263
4932.Q0010	4932.YPL231W		S000006152	False	unmapped_A	249	0	59	0
4932.Q0010	4932.YLR375W		S000004367	False	unmapped_A	186	0	186	0
4932.Q0010	4932.YLR432W		S000004424	False	unmapped_A	152	0	134	0
4932.Q0010	4932.YPR183W		S000006387	False	unmapped_A	198	47	128	81
4932.Q0010	4932.YGL048C		S000003016	False	unmapped_A	276	0	54	253
4932.Q0010	4932.YHR039C-A			False	unmapped_A	326	48	0	0
4932.Q0010	4932.YHR216W			False	unmapped_A	152	0	134	0
4932.Q0010	4932.YML028W		S000004490	False	unmapped_A	150	49	117	0
4932.Q0010	4932.YIL160C		S000001422	False	unmapped_A	471	57	94	267
4932.Q0010	4932.YGR270W		S000003502	False	unmapped_A	283	51	54	253
4932.Q0010	4932.YHL002W		S000000994	False	unmapped_A	213	60	182	0
4932.Q0010	4932.YNL176C		S000005120	False	unmapped_A	208	56	189	0
4932.Q0010	4932.YLL041C		S000003964	False	unmapped_A	171	90	73	0
4932.Q0010	4932.YDL063C		S000002221	False	unmapped_A	167	48	142	0
4932.Q0010	4932.YDR443C		S000002851	False	unmapped_A	167	0	168	0
4932.Q0010	4932.YLR071C		S000004061	False	unmapped_A	279	0	275	0
4932.Q0010	4932.YDL131W		S000002289	False	unmapped_A	282	51	0	259
4932.Q0010	4932.YOR009W		S000005535	False	unmapped_A	166	52	151	0
4932.Q0010	4932.YNL307C		S000005251	False	unmapped_A	205	0	189	0
4932.Q0010	4932.YIL119C		S000001381	False	unmapped_A	167	0	168	0
4932.Q0010	4932.YCR036W		S000000632	False	unmapped_A	355	78	58	259
4932.Q0010	4932.YDR273W		S000002681	False	unmapped_A	185	0	180	0
4932.Q0010	4932.YDR227W		S000002635	False	unmapped_A	167	0	168	0
4932.Q0010	4932.YOL088C		S000005448	False	unmapped_A	167	55	142	0
4932.Q0010	4932.YLR414C		S000004406	False	unmapped_A	240	0	156	0
4932.Q0010	4932.YJR159W			False	unmapped_A	286	55	0	257
4932.Q0010	4932.YHR190W		S000001233	False	unmapped_A	231	138	68	0
4932.Q0010	4932.YOR042W		S000005568	False	unmapped_A	185	0	180	0
4932.Q0010	4932.YIL065C		S000001327	False	unmapped_A	170	55	0	0
4932.Q0010	4932.YDR348C		S000002756	False	unmapped_A	167	0	168	0
4932.Q0010	4932.YOL155C		S000005515	False	unmapped_A	167	0	168	0
4932.Q0010	4932.YFR012W		S000001908	False	unmapped_A	167	0	168	0
4932.Q0010	4932.YOL023W		S000005383	False	unmapped_A	178	49	156	0
4932.Q0010	4932.YNL104C		S000005048	False	unmapped_A	282	51	0	259
4932.Q0010	4932.YDR096W		S000002503	False	unmapped_A	191	0	186	0
4932.Q0010	4932.YKL140W		S000001623	False	unmapped_A	212	53	95	100
4932.Q0010	4932.YPR013C		S000006217	False	unmapped_A	186	0	186	0
4932.Q0010	4932.YGR253C		S000003485	False	unmapped_A	406	0	60	0
4932.Q0010	4932.YEL021W			False	unmapped_A	176	63	141	0
4932.Q0010	4932.YDL057W		S000002215	False	unmapped_A	170	53	95	100
4932.Q0010	4932.YOR215C		S000005741	False	unmapped_A	195	52	116	0
4932.Q0010	4932.YOR113W		S000005639	False	unmapped_A	186	0	186	0
4932.Q0010	4932.YLL066C			False	unmapped_A	167	0	168	0
4932.Q0010	4932.YGR232W		S000003464	False	unmapped_A	197	55	180	0
