raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
4932.Q0010	17			unmapped		Ensembl_STRING; Ensembl_EMBL; SGD_ID; SGD_SYNONYM; UniProt_GN_ORFNames
4932.Q0017	17			unmapped		Ensembl_STRING; Ensembl_EMBL; SGD_ID; SGD_SYNONYM; UniProt_GN_ORFNames
4932.Q0032	17			unmapped		Ensembl_STRING; Ensembl_EMBL; SGD_ID; SGD_SYNONYM; UniProt_GN_ORFNames
4932.Q0045	49	S000007260(SGD_ID); S000007260(UniProt_DR_SGD)	S000007260	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_STRING; UniProt_DR_PDB; UniProt_DR_PDB; KEGG_EC
4932.Q0050	38	S000007261(SGD_ID); S000007261(UniProt_DR_SGD)	S000007261	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; UniProt_AC
4932.Q0055	37	S000007262(SGD_ID); S000007262(UniProt_DR_SGD)	S000007262	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; UniProt_AC
4932.Q0060	48	S000007263(SGD_ID); S000007263(UniProt_DR_SGD)	S000007263	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
4932.Q0065	50	S000007264(SGD_ID); S000007264(UniProt_DR_SGD)	S000007264	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
4932.Q0070	42	S000007265(SGD_ID); S000007265(UniProt_DR_SGD)	S000007265	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
4932.Q0075	36	S000007266(SGD_ID); S000007266(UniProt_DR_SGD)	S000007266	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
4932.Q0080	62	S000007267(SGD_ID); S000007267(UniProt_DR_SGD)	S000007267	mapped	alias_match	Ensembl_EntrezGene; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB
4932.Q0085	64	S000007268(SGD_ID); S000007268(UniProt_DR_SGD)	S000007268	mapped	alias_match	Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB; UniProt_DR_PDB
4932.Q0092	19			unmapped		Ensembl_STRING; Ensembl_protein_id; Ensembl_EMBL; SGD_ID; SGD_SYNONYM
