gene_id	gene_id_source	gene_symbol	species	label_binary	label_text	label_source_project	label_source_file	evidence_note	included_in_final	exclusion_reason
FGRAMPH1_01G00001	Ensembl/Original	FGRAMPH1_01G00001	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00003	Ensembl/Original	FGRAMPH1_01G00003	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00005	Ensembl/Original	FGRAMPH1_01G00005	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00007	Ensembl/Original	FGRAMPH1_01G00007	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00009	Ensembl/Original	FGRAMPH1_01G00009	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00011	Ensembl/Original	FGRAMPH1_01G00011	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00013	Ensembl/Original	FGRAMPH1_01G00013	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00015	Ensembl/Original	FGRAMPH1_01G00015	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00017	Ensembl/Original	FGRAMPH1_01G00017	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00019	Ensembl/Original	FGRAMPH1_01G00019	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00021	Ensembl/Original	FGRAMPH1_01G00021	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00023	Ensembl/Original	FGRAMPH1_01G00023	fgraminearum	1	essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00025	Ensembl/Original	FGRAMPH1_01G00025	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00027	Ensembl/Original	FGRAMPH1_01G00027	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00029	Ensembl/Original	FGRAMPH1_01G00029	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00031	Ensembl/Original	FGRAMPH1_01G00031	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00033	Ensembl/Original	FGRAMPH1_01G00033	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00035	Ensembl/Original	FGRAMPH1_01G00035	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00037	Ensembl/Original	FGRAMPH1_01G00037	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00039	Ensembl/Original	FGRAMPH1_01G00039	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00041	Ensembl/Original	FGRAMPH1_01G00041	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00043	Ensembl/Original	FGRAMPH1_01G00043	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00045	Ensembl/Original	FGRAMPH1_01G00045	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00047	Ensembl/Original	FGRAMPH1_01G00047	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00049	Ensembl/Original	FGRAMPH1_01G00049	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00051	Ensembl/Original	FGRAMPH1_01G00051	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00053	Ensembl/Original	FGRAMPH1_01G00053	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00055	Ensembl/Original	FGRAMPH1_01G00055	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00057	Ensembl/Original	FGRAMPH1_01G00057	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00059	Ensembl/Original	FGRAMPH1_01G00059	fgraminearum	1	essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00061	Ensembl/Original	FGRAMPH1_01G00061	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00063	Ensembl/Original	FGRAMPH1_01G00063	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00065	Ensembl/Original	FGRAMPH1_01G00065	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00067	Ensembl/Original	FGRAMPH1_01G00067	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00069	Ensembl/Original	FGRAMPH1_01G00069	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00071	Ensembl/Original	FGRAMPH1_01G00071	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00073	Ensembl/Original	FGRAMPH1_01G00073	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00075	Ensembl/Original	FGRAMPH1_01G00075	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00077	Ensembl/Original	FGRAMPH1_01G00077	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00079	Ensembl/Original	FGRAMPH1_01G00079	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00081	Ensembl/Original	FGRAMPH1_01G00081	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00083	Ensembl/Original	FGRAMPH1_01G00083	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00085	Ensembl/Original	FGRAMPH1_01G00085	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00087	Ensembl/Original	FGRAMPH1_01G00087	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00089	Ensembl/Original	FGRAMPH1_01G00089	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00091	Ensembl/Original	FGRAMPH1_01G00091	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00093	Ensembl/Original	FGRAMPH1_01G00093	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00095	Ensembl/Original	FGRAMPH1_01G00095	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00097	Ensembl/Original	FGRAMPH1_01G00097	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00099	Ensembl/Original	FGRAMPH1_01G00099	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00101	Ensembl/Original	FGRAMPH1_01G00101	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00103	Ensembl/Original	FGRAMPH1_01G00103	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00105	Ensembl/Original	FGRAMPH1_01G00105	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00107	Ensembl/Original	FGRAMPH1_01G00107	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
FGRAMPH1_01G00109	Ensembl/Original	FGRAMPH1_01G00109	fgraminearum	0	non-essential	merged	bingo:fgraminearum/orig_sample_list/gene_list.txt|epgat:fgraminearum/EssentialGenes/ogee.csv		TRUE	
