canonical_gene_id	graph_gene_id	label	label_text	regime	construction_bucket	source_manifest	source_gene_id	mapping_rule	mapping_source	construction_note
fgraminearum::FGRAMPH1_01G00023	FGRAMPH1_01G00023	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00023	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00059	FGRAMPH1_01G00059	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00059	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00197	FGRAMPH1_01G00197	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00197	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00199	FGRAMPH1_01G00199	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00199	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00201	FGRAMPH1_01G00201	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00201	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00391	FGRAMPH1_01G00391	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00391	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00393	FGRAMPH1_01G00393	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00393	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00399	FGRAMPH1_01G00399	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00399	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00521	FGRAMPH1_01G00521	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00521	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00781	FGRAMPH1_01G00781	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00781	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00807	FGRAMPH1_01G00807	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00807	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00811	FGRAMPH1_01G00811	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00811	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00855	FGRAMPH1_01G00855	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00855	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G00987	FGRAMPH1_01G00987	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G00987	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G01009	FGRAMPH1_01G01009	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G01009	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G01069	FGRAMPH1_01G01069	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G01069	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G01085	FGRAMPH1_01G01085	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G01085	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G01213	FGRAMPH1_01G01213	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G01213	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G01227	FGRAMPH1_01G01227	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G01227	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
fgraminearum::FGRAMPH1_01G01289	FGRAMPH1_01G01289	1	essential	oldlabel	historical_old440_positive_replay	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	FGRAMPH1_01G01289	raw_gene_exact_match	gene_list.txt -> raw_gene_id -> canonical_gene_id	Included because the historical old440 `gene_list.txt` replay mapped this source gene to a canonical Fusarium gene with target label 1.
