gene_id	gene_id_source	gene_symbol	species	label_binary	label_text	label_source_project	label_source_file	evidence_note	included_in_final	exclusion_reason
FBgn0000022	Ensembl/Original	FBgn0000022	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000032	Ensembl/Original	FBgn0000032	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000036	Ensembl/Original	FBgn0000036	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000037	Ensembl/Original	FBgn0000037	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000044	Ensembl/Original	FBgn0000044	melanogaster	1	essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt		True	
FBgn0000075	Ensembl/Original	FBgn0000075	melanogaster	1	essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt		True	
FBgn0000084	Ensembl/Original	FBgn0000084	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000092	Ensembl/Original	FBgn0000092	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000094	Ensembl/Original	FBgn0000094	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000100	Ensembl/Original	FBgn0000100	melanogaster	1	essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt		True	
FBgn0000120	Ensembl/Original	FBgn0000120	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000121	Ensembl/Original	FBgn0000121	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000139	Ensembl/Original	FBgn0000139	melanogaster	1	essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt		True	
FBgn0000152	Ensembl/Original	FBgn0000152	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000158	Ensembl/Original	FBgn0000158	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000181	Ensembl/Original	FBgn0000181	melanogaster	1	essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt		True	
FBgn0000206	Ensembl/Original	FBgn0000206	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000216	Ensembl/Original	FBgn0000216	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000241	Ensembl/Original	FBgn0000241	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000244	Ensembl/Original	FBgn0000244	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000246	Ensembl/Original	FBgn0000246	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000247	Ensembl/Original	FBgn0000247	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000259	Ensembl/Original	FBgn0000259	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000278	Ensembl/Original	FBgn0000278	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000286	Ensembl/Original	FBgn0000286	melanogaster	0	non-essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/NEssential_NR_list.txt		True	
FBgn0000299	Ensembl/Original	FBgn0000299	melanogaster	1	essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt		True	
FBgn0000316	Ensembl/Original	FBgn0000316	melanogaster	1	essential	merged	bingo:melanogaster/orig_sample_list/gene_list.txt|epgat:melanogaster/EssentialGenes/Essential_NR_list.txt		True	
