gene_id	gene_id_source	gene_symbol	species	label_binary	label_text	label_source_project	label_source_file	evidence_note	included_in_final	exclusion_reason
S000004262	Ensembl/Original	S000004262	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000006052	Ensembl/Original	S000006052	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000002394	Ensembl/Original	S000002394	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000004754	Ensembl/Original	S000004754	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000003556	Ensembl/Original	S000003556	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000002260	Ensembl/Original	S000002260	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000002802	Ensembl/Original	S000002802	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000004347	Ensembl/Original	S000004347	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000005234	Ensembl/Original	S000005234	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000002218	Ensembl/Original	S000002218	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000005783	Ensembl/Original	S000005783	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000002489	Ensembl/Original	S000002489	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000005122	Ensembl/Original	S000005122	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000005686	Ensembl/Original	S000005686	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000001110	Ensembl/Original	S000001110	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000002644	Ensembl/Original	S000002644	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000003327	Ensembl/Original	S000003327	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000003137	Ensembl/Original	S000003137	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000003710	Ensembl/Original	S000003710	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000004778	Ensembl/Original	S000004778	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000001125	Ensembl/Original	S000001125	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
S000003803	Ensembl/Original	S000003803	scerevisiae	1	essential	bingo	scerevisiae/orig_sample_list/gene_list.txt	EPGAT used a different ID namespace. Using Bingo as primary.	True	
