figure_panel	panel_title	stage_order	stage	source_category	subgroup	metric	count_value	regime	source_file	notes
2a_source_composition	Newlabel positive-source composition	1	positive_union	positive_source	lethal_only	genes	52	newlabel	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv	PHI-supported lethal genes not supported by protocolized high-confidence yeast transfer.
2a_source_composition	Newlabel positive-source composition	1	positive_union	positive_source	lethal_plus_transfer_overlap	genes	25	newlabel	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv;data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	Genes supported by both the lethal table and the protocolized high-confidence transfer component.
2a_source_composition	Newlabel positive-source composition	1	positive_union	positive_source	transfer_only	genes	1020	newlabel	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	High-confidence yeast-transfer-supported genes after subtracting overlap with the lethal set.
2a_source_composition	Newlabel positive-source composition	2	positive_union	output	final_positive_total	genes	1097	newlabel	data/processed/essential_gene/fgraminearum/newlabel/positive_genes.tsv	Final positive set size.
2a_source_composition	Newlabel positive-source composition	3	negative_output	output	final_negative_total	genes	10868	newlabel	data/processed/essential_gene/fgraminearum/newlabel/negative_genes.tsv	Final negative set size shown for context.
2b_pipeline	Label construction and filtering pipeline	1	yeast_transfer_input	transfer_input	high_confidence_rows	rows	1056	newlabel	data/derived_labels/ph1_yeast_essential_ortholog_labels.tsv	Rows with weak_positive_confidence == high before bridge filtering.
2b_pipeline	Label construction and filtering pipeline	2	protocolized_bridge	transfer_bridge	resolved_high_rows	rows	1048	newlabel	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	High-confidence rows with bridge_status == resolved.
2b_pipeline	Label construction and filtering pipeline	3	protocolized_bridge	transfer_bridge	unique_high_genes	genes	1045	newlabel	data/processed/essential_gene/fgraminearum/bridge/high_confidence_yeast_transfer_candidates.tsv	Unique canonical genes retained after deduplication.
2b_pipeline	Label construction and filtering pipeline	3	protocolized_bridge	transfer_bridge	unresolved_high_rows	rows	8	newlabel	data/processed/essential_gene/fgraminearum/bridge/unresolved_high_confidence_ids.tsv	High-confidence transfer rows excluded because the XP-to-canonical bridge remained unresolved.
2b_pipeline	Label construction and filtering pipeline	4	phi_lethal_input	lethal_source	lethal_positive_genes	genes	77	newlabel	data/interim/protocol_refactor/fgraminearum_label_materialization/lethal_positive_gene_list.tsv	PHI-supported lethal genes with resolved canonical IDs.
2b_pipeline	Label construction and filtering pipeline	5	positive_union	positive_merge	positive_overlap_genes	genes	25	newlabel	data/processed/essential_gene/fgraminearum/newlabel/summary.tsv	Overlap between lethal and high-confidence transfer components.
2b_pipeline	Label construction and filtering pipeline	5	positive_union	positive_merge	final_positive_genes	genes	1097	newlabel	data/processed/essential_gene/fgraminearum/newlabel/positive_genes.tsv	Final union of lethal and high-confidence transfer positives.
2b_pipeline	Label construction and filtering pipeline	6	negative_seed	negative_seed	none_resolved_unique_genes	genes	11506	newlabel	data/derived_labels/ph1_yeast_essential_ortholog_labels.tsv;data/processed/essential_gene/fgraminearum/bridge/protein_to_canonical_bridge.tsv	Bridged weak_positive_confidence == none gene pool before biological exclusions.
2b_pipeline	Label construction and filtering pipeline	7	negative_filter	negative_filter	virulence_excluded_genes	genes	595	newlabel	data/interim/protocol_refactor/master_evidence_table.preliminary.tsv	Genes removed because they carried virulence/pathogenicity evidence.
2b_pipeline	Label construction and filtering pipeline	7	negative_filter	negative_filter	positive_excluded_genes	genes	43	newlabel	data/processed/essential_gene/fgraminearum/newlabel/positive_genes.tsv	Genes removed from the none pool because they were retained in the final positive set.
2b_pipeline	Label construction and filtering pipeline	8	negative_output	output	final_negative_genes	genes	10868	newlabel	data/processed/essential_gene/fgraminearum/newlabel/negative_genes.tsv	Final negative set after virulence and positive exclusion.
2b_pipeline	Label construction and filtering pipeline	9	oldlabel_replay	oldlabel_replay	oldlabel_positive_genes	genes	439	oldlabel	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_mapping_audit.tsv	Historical old440 replay positive set.
2b_pipeline	Label construction and filtering pipeline	9	oldlabel_replay	oldlabel_replay	oldlabel_negative_overlap_removed	genes	118	oldlabel	data/interim/protocol_refactor/fgraminearum_label_materialization/old440_label_summary.tsv	Overlap removed from the shared negative pool during oldlabel replay.
2c_regime_outcome	Label regime comparison and modeling consequence	1	regime_size	label_regime	oldlabel_positive_count	genes	439	oldlabel	data/processed/essential_gene/fgraminearum/oldlabel/summary.tsv	Processed oldlabel positive size.
