model	family	workflow	entrypoint	feature_setting	protocol_scope	split_source	output_root	aggregation_style	parity_status	notes
MLP	tabular	classical_pre_refactor	src.train.run_classical_baseline_single	ORT;EXP;SUB;ORT_EXP;ORT_SUB;EXP_SUB;ORT_EXP_SUB	human;celegans;scerevisiae;fgraminearum	ad hoc build_epgat_legacy_dataset split; Fusarium new_label generated by prepare_phase2b_new_labels	outputs/classical_baseline_benchmark	species/method/feature/run_id aggregated by src.eval.aggregate_classical_baselines	inconsistent_benchmark_breaking	Legacy 4-species scope, implicit Fusarium regime, 3 run_ids, legacy config.
MLP	tabular	frozen_protocol	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Uses frozen loader, explicit protocol, frozen summary schema.
MLP	tabular	classical_post_refactor	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/classical_baseline_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	identical	Classical now delegates to frozen implementation and differs only by subset output root.
RF	tabular	classical_pre_refactor	src.train.run_classical_baseline_single	ORT_EXP_SUB	human;celegans;scerevisiae;fgraminearum	ad hoc build_epgat_legacy_dataset split; Fusarium new_label generated by prepare_phase2b_new_labels	outputs/classical_baseline_benchmark	species/method/feature/run_id aggregated by src.eval.aggregate_classical_baselines	inconsistent_benchmark_breaking	Legacy 4-species scope, implicit Fusarium regime, 3 run_ids, legacy config.
RF	tabular	frozen_protocol	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Uses frozen loader, explicit protocol, frozen summary schema.
RF	tabular	classical_post_refactor	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/classical_baseline_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	identical	Classical now delegates to frozen implementation and differs only by subset output root.
SVM	tabular	classical_pre_refactor	src.train.run_classical_baseline_single	ORT_EXP_SUB	human;celegans;scerevisiae;fgraminearum	ad hoc build_epgat_legacy_dataset split; Fusarium new_label generated by prepare_phase2b_new_labels	outputs/classical_baseline_benchmark	species/method/feature/run_id aggregated by src.eval.aggregate_classical_baselines	inconsistent_benchmark_breaking	Legacy 4-species scope, implicit Fusarium regime, 3 run_ids, legacy config.
SVM	tabular	frozen_protocol	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/frozen_protocol_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	authoritative	Uses frozen loader, explicit protocol, frozen summary schema.
SVM	tabular	classical_post_refactor	src.train.run_frozen_protocol_model	ORT_EXP_SUB	human;celegans;scerevisiae;dmelanogaster;fgraminearum_oldlabel;fgraminearum_newlabel	results/frozen_protocol/splits/*.tsv	outputs/classical_baseline_benchmark_v2	protocol/model/feature/run_seed aggregated by src.eval.aggregate_frozen_protocol_runs	identical	Classical now delegates to frozen implementation and differs only by subset output root.
NB	tabular	classical_pre_refactor	src.train.run_classical_baseline_single	ORT_EXP_SUB	human;celegans;scerevisiae;fgraminearum	ad hoc build_epgat_legacy_dataset split; Fusarium new_label generated by prepare_phase2b_new_labels	outputs/classical_baseline_benchmark	species/method/feature/run_id aggregated by src.eval.aggregate_classical_baselines	inconsistent_benchmark_breaking	Legacy 4-species scope, implicit Fusarium regime, 3 run_ids, legacy config.
