Target	Species	Regime	Model	Feature_Setting	ESM2_Dim	Label_Regime	Split_Version	Runs	Seed_List	AUROC_mean	AUROC_std	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	F1_mean	F1_std	Precision_mean	Precision_std	Recall_mean	Recall_std	Specificity_mean	Specificity_std
celegans	celegans	standard	CC	NETWORK		standard	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.5002614821928981	0.0	0.0380701224733014	0.0	-0.0366519975447574	0.0	0.0084033613445378	0.0	0.0081967213114754	0.0	0.0086206896551724	0.0	0.9538344143456696	0.0
celegans	celegans	standard	DC	NETWORK		standard	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.7721700719651622	0.0	0.1017765048755045	0.0	0.0463372122470322	0.0	0.0865800865800865	0.0	0.0869565217391304	0.0	0.0862068965517241	0.0	0.959938954597482	0.0
celegans	celegans	standard	GAT	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.6764179241931877	0.19384677879032552	0.13900970190193135	0.06635876116215896	0.10635735245966826	0.08586427007987578	0.11430357583144568	0.0719099557475828	0.09177512332857075	0.08524979306171493	0.5775862068965518	0.41768998397263285	0.6115986264784432	0.36229824428058005
celegans	celegans	standard	GCN	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8897202962807036	0.0017346369320321536	0.4186741105386053	0.00402146039197916	0.2853921823595278	0.007940633801013567	0.24033106154311615	0.007581502795501102	0.139931053349783	0.0051597745990496725	0.8517241379310345	0.0034482758620689503	0.7679511636779854	0.009770244680759536
celegans	celegans	standard	GIN	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.9036804852056992	0.002790462668786678	0.5047049826600741	0.011554914207883828	0.36903022726962814	0.028806572980939957	0.33392302050634	0.03499375249118649	0.2109279474659344	0.028845939580173584	0.8172413793103448	0.02207973874976843	0.8608927890118275	0.02711263878396447
celegans	celegans	standard	GraphSAGE	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.9185109658066809	0.003248936383093261	0.4851265719283745	0.012588981034372934	0.4035053543185225	0.007119421859501491	0.3763821425069445	0.009264557375864966	0.24653729550972497	0.008665607168832978	0.7965517241379311	0.012902266850944604	0.8920259442960703	0.006361439145567742
celegans	celegans	standard	MLP	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8594610506650529	0.019422375666383884	0.31681065815199955	0.0397691441820421	0.28554604334081707	0.02548861655854058	0.2691511407047688	0.016859745983822158	0.1671619594078868	0.010116113021204388	0.6913793103448276	0.0549023563037609	0.8476154139641358	0.00672452585635048
celegans	celegans	standard	N2V_MLP	N2V		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8664677867094687	0.016068325151734335	0.28034096923852614	0.021776895427090933	0.2741973868770834	0.05492896768454509	0.23756920159104372	0.04791649342650858	0.13984595863470858	0.03139584031405211	0.8293103448275861	0.023387344769397453	0.7518504387638306	0.1002052077524101
celegans	celegans	standard	NB	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.6324935205041509	0.00016988557623895091	0.09601460930710351	0.0009422659778767854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
celegans	celegans	standard	SVM	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8557716849320476	6.578168374904436e-07	0.2983935361536204	0.0005747126436781437	0.08495572771434154	0.01325194826242758	0.03011251958410478	0.006582577563727352	0.5333333333333333	0.06666666666666667	0.01551724137931032	0.0034482758620689603	0.9993895459748188	0.0001869126091403062
dmelanogaster	dmelanogaster	standard	CC	NETWORK		standard	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.4252748371335504	0.0	0.0497154648874939	0.0	-0.039686296077353	0.0	0.0246913580246913	0.0	0.024390243902439	0.0	0.025	0.0	0.9348534201954396	0.0
dmelanogaster	dmelanogaster	standard	DC	NETWORK		standard	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.654906351791531	0.0	0.1307153373714337	0.0	0.1527453161165949	0.0	0.206060606060606	0.0	0.2	0.0	0.2125	0.0	0.9446254071661238	0.0
dmelanogaster	dmelanogaster	standard	GAT	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7038904723127036	0.02380054862169196	0.2141924484338586	0.036731700581232145	0.14251012261544252	0.07020303218095161	0.18563658797657231	0.055578940220021134	0.11105409457381651	0.04137607473993915	0.7474999999999999	0.1677796173556252	0.5037459283387622	0.288018897753213
dmelanogaster	dmelanogaster	standard	GCN	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7368485342019545	0.0053265009494590215	0.3114299422497937	0.0030586298708762997	0.16188802435352184	0.003265927452255515	0.18594406380135656	0.003178942630158584	0.1064161078174867	0.0024608396541116323	0.7375	0.020916500663351895	0.5960912052117264	0.02016520801209279
dmelanogaster	dmelanogaster	standard	GIN	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7465940553745929	0.006604802452315699	0.2901468938003703	0.01323314276356319	0.19028356719009365	0.01479955199893146	0.20955131266994384	0.01570920332395935	0.1236126330460929	0.012644543343227262	0.7125	0.07786205751198719	0.6631921824104234	0.07307895810062467
dmelanogaster	dmelanogaster	standard	GraphSAGE	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7252524429967427	0.0022006133072032747	0.28825900657392656	0.009754624029408167	0.17183617203582466	0.01175198869110897	0.20302062159344825	0.012331721519070568	0.12095404818437014	0.0098143488142146	0.6425	0.04513867521316946	0.6915309446254072	0.051783847995072706
dmelanogaster	dmelanogaster	standard	MLP	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.6905394951140064	0.015368926940210609	0.2489404613163626	0.02429187038005296	0.13506998419448782	0.027993913081836373	0.1806237018638746	0.024233114327597085	0.10713843011817917	0.019133415802717584	0.6075	0.05338539126015656	0.655700325732899	0.08205527884222752
dmelanogaster	dmelanogaster	standard	N2V_MLP	N2V		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7083631921824104	0.014586585878699876	0.18136812725421653	0.026080143159933008	0.1411182928564733	0.018760379223038158	0.17968523236996273	0.01313015340672367	0.1045324142219819	0.009452290844190482	0.6525	0.066332495807108	0.6314332247557003	0.06007895861036338
dmelanogaster	dmelanogaster	standard	NB	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.6418159609120521	0.0025780903232273476	0.10313689523940991	0.0017858479719031755	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
dmelanogaster	dmelanogaster	standard	SVM	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.726457654723127	5.439897889204052e-05	0.17318319548932098	2.0240976579300492e-05	-0.0076456922663824586	0.00117127674523992	0.0	0.0	0.0	0.0	0.0	0.0	0.9990228013029316	0.0003257328990228014
fgraminearum_newlabel	fgraminearum	newlabel	CC	NETWORK		newlabel	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.6046636673345852	0.0	0.1029228285786746	0.0	-0.0611958861305499	0.0	0.0363636363636363	0.0	0.0361990950226244	0.0	0.0365296803652968	0.0	0.9020239190432384	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK		newlabel	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.8032381444468248	0.0	0.3646748255008892	0.0	0.3209298346582195	0.0	0.3824884792626728	0.0	0.386046511627907	0.0	0.3789954337899543	0.0	0.9392824287028518	0.0
fgraminearum_newlabel	fgraminearum	newlabel	GAT	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7012146454781079	0.10770233193702636	0.19079135031430655	0.0805775549051599	0.19601672379233331	0.09468178092655592	0.25934904851395896	0.07530548577992212	0.18190451361807272	0.04656342058799913	0.6255707762557077	0.2503016257625702	0.6770929162833486	0.19279277044625562
fgraminearum_newlabel	fgraminearum	newlabel	GCN	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8511982625717802	0.0019260376027305003	0.42415531215614954	0.006342603987727586	0.3240635975964549	0.004531617625739046	0.3514571248365848	0.003020951112052254	0.22427336117372038	0.002031474986268437	0.8118721461187215	0.00671093080214569	0.7171113155473781	0.0019944326944506836
fgraminearum_newlabel	fgraminearum	newlabel	GIN	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8593657714878619	0.006417562085953139	0.46552194516564327	0.013664445001691302	0.40405024135551704	0.017198863431088975	0.4345319330371183	0.021798414380267868	0.30378671669298163	0.02708274035409835	0.7726027397260274	0.03541683914094121	0.8187672493100276	0.028998547642826934
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8791369989036054	0.004288039273020773	0.5044003030236237	0.012993163474179238	0.44248609941210953	0.016901067869212014	0.47591698000862903	0.018517029478749104	0.3479280372424189	0.021531989049524032	0.7561643835616438	0.016987283322135387	0.8561177552897885	0.017038950362892703
fgraminearum_newlabel	fgraminearum	newlabel	MLP	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8389871163144342	0.0019714949853475647	0.46708240884920044	0.00811276472822251	0.34852461315219446	0.002525385261619664	0.3927466260057468	0.0024242989390265693	0.27288764757150863	0.002559855638134943	0.7004566210045662	0.004656638825198898	0.8119595216191353	0.003152132787306674
fgraminearum_newlabel	fgraminearum	newlabel	N2V_MLP	N2V		newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7687044481691052	0.013232836522828124	0.23626247410888515	0.006383806514463657	0.2689016347213553	0.022865770106047564	0.31405293511578286	0.021225867056009304	0.19966342539724796	0.017870592655846843	0.7461187214611872	0.05138558866350758	0.6939282428702852	0.05534830751059114
fgraminearum_newlabel	fgraminearum	newlabel	NB	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.5746984915123943	0.07541519903151794	0.11796083581613906	0.03948020085243779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	SVM	ORT_EXP_SUB		newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8379785173889849	7.4674080287018004e-06	0.42959661901755386	4.26649089509262e-06	0.3000952583090111	0.004637157785955962	0.26754078666833514	0.0013134102983844563	0.6427193788093846	0.015213989873647388	0.1689497716894977	0.0	0.990524379024839	0.000623949400471474
fgraminearum_oldlabel	fgraminearum	oldlabel	CC	NETWORK		oldlabel	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.574696088794926	0.0	0.041700396248803	0.0	-0.0268955674204265	0.0	0.0118343195266272	0.0	0.0123456790123456	0.0	0.0113636363636363	0.0	0.9627906976744186	0.0
fgraminearum_oldlabel	fgraminearum	oldlabel	DC	NETWORK		oldlabel	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.6793102536997886	0.0	0.0622332807023364	0.0	0.0165501864543271	0.0	0.0558659217877094	0.0	0.0549450549450549	0.0	0.0568181818181818	0.0	0.96	0.0
fgraminearum_oldlabel	fgraminearum	oldlabel	GAT	ORT_EXP_SUB		oldlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.6912986257928119	0.09149432070600441	0.099679424072694	0.05011658486014995	0.12534189300522708	0.04450447476384404	0.1295735289530513	0.024618566476022067	0.07362001794122804	0.013799110277947746	0.6477272727272727	0.20693053891072796	0.6514418604651163	0.145392581324373
fgraminearum_oldlabel	fgraminearum	oldlabel	GCN	ORT_EXP_SUB		oldlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7987822410147991	0.0056633833392680565	0.19609122301759063	0.016229636277232853	0.18086095635482466	0.004966182618584773	0.16596237201732625	0.005475452521803265	0.09422537773677975	0.0037942382388862117	0.6977272727272726	0.017007533576245213	0.7247441860465116	0.01803883797533173
fgraminearum_oldlabel	fgraminearum	oldlabel	GIN	ORT_EXP_SUB		oldlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.6723662790697673	0.05461153920975087	0.1452464143841418	0.020195801346323337	0.146260801415798	0.025552203058978734	0.15760443615637226	0.02204045585037785	0.19596508029203233	0.06287346028984142	0.22727272727272724	0.2020044185753543	0.9412093023255815	0.074090906406351
fgraminearum_oldlabel	fgraminearum	oldlabel	GraphSAGE	ORT_EXP_SUB		oldlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7262336152219874	0.019904349076471022	0.14880647196466149	0.008825936605386962	0.1595546188747722	0.009805911728981062	0.1685705659791363	0.010219722691417434	0.10062232808771499	0.00772628804340288	0.525	0.024266086936434814	0.8058604651162791	0.026861985258504695
