protocol	species	regime	model	model_variant	feature_setting	label_regime	run_id	seed	is_deterministic	split_version	graph_source	graph_contract	threshold_strategy	evaluation_contract	feature_contract_group	label_manifest	split_manifest	config_used	val_auroc	val_auprc	val_mcc	val_f1	val_precision	val_recall	val_accuracy	val_specificity	test_auroc	test_auprc	test_mcc	test_f1	test_precision	test_recall	test_accuracy	test_specificity	train_count	val_count	test_count	feature_dim	node_count	edge_count	require_true_node2vec	embedding_method	embedding_backend	fallback_used	esm2_cache_path	fusion_mode	fusion_hidden_dim	fusion_dropout	loss_type	pos_weight_mode	pos_weight_scale	best_checkpoint	target	train_fraction_tag	train_fraction	metrics_path	best_epoch	best_val_score	pos_weight	esm2_dim
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1029	1029	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1029	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1029.tsv	configs/frozen_protocol.yaml	0.6513761467889908	0.1261157216775683	-0.1200698791731956	0.0	0.0	0.0	0.7833333333333333	0.8623853211009175	0.6046636673345852	0.1029228285786746	-0.052241753177099	0.0451467268623024	0.0446428571428571	0.045662100456621	0.8232344337651484	0.9015639374425024	837	120	2393	0	10944	724046	True								balanced_bce				fgraminearum	10	0.1	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_10/CC/NETWORK/run_1029/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1030	1030	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1030	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1030.tsv	configs/frozen_protocol.yaml	0.6655546288573811	0.1429229950403272	0.0441540578464404	0.1111111111111111	0.1428571428571428	0.0909090909090909	0.8666666666666667	0.944954128440367	0.6046636673345852	0.1029228285786746	-0.0598530034370951	0.036697247706422	0.0368663594470046	0.0365296803652968	0.8244880902632679	0.903863845446182	837	120	2393	0	10934	724046	True								balanced_bce				fgraminearum	10	0.1	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_10/CC/NETWORK/run_1030/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1031	1031	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1031	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1031.tsv	configs/frozen_protocol.yaml	0.5629691409507923	0.1038047200077413	-0.1009174311926605	0.0	0.0	0.0	0.8166666666666667	0.8990825688073395	0.6046636673345852	0.1029228285786746	-0.0591755019347823	0.0368663594470046	0.0372093023255813	0.0365296803652968	0.8253238612620142	0.904783808647654	837	120	2393	0	10934	724046	True								balanced_bce				fgraminearum	10	0.1	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_10/CC/NETWORK/run_1031/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1032	1032	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1032	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1032.tsv	configs/frozen_protocol.yaml	0.603836530442035	0.1186550803859204	-0.1154500642153677	0.0	0.0	0.0	0.7916666666666666	0.8715596330275229	0.6046636673345852	0.1029228285786746	-0.0601902236550486	0.0366132723112128	0.036697247706422	0.0365296803652968	0.8240702047638947	0.903403863845446	837	120	2393	0	10930	724046	True								balanced_bce				fgraminearum	10	0.1	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_10/CC/NETWORK/run_1032/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1033	1033	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train10_seed1033	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_10/split_seed_1033.tsv	configs/frozen_protocol.yaml	0.6588824020016681	0.1394475816737146	-0.0589907740281187	0.0	0.0	0.0	0.875	0.963302752293578	0.6046636673345852	0.1029228285786746	-0.0518904330393747	0.0452488687782805	0.0448430493273542	0.045662100456621	0.8236523192645215	0.9020239190432384	837	120	2393	0	10952	724046	True								balanced_bce				fgraminearum	10	0.1	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_10/CC/NETWORK/run_1033/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1029	1029	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1029	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1029.tsv	configs/frozen_protocol.yaml	0.5610925771476231	0.1162940561175711	0.0969366777255266	0.1621621621621621	0.2	0.1363636363636363	0.8708333333333333	0.944954128440367	0.6046636673345852	0.1029228285786746	-0.0581514368813659	0.037122969837587	0.0377358490566037	0.0365296803652968	0.8265775177601338	0.906163753449862	1674	240	2393	0	11185	724046	True								balanced_bce				fgraminearum	20	0.2	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_20/CC/NETWORK/run_1029/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1030	1030	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1030	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1030.tsv	configs/frozen_protocol.yaml	0.5726647206005004	0.1035579273845988	-0.0096265163709651	0.0869565217391304	0.0833333333333333	0.0909090909090909	0.825	0.8990825688073395	0.6046636673345852	0.1029228285786746	-0.0584938481044762	0.037037037037037	0.0375586854460093	0.0365296803652968	0.8261596322607605	0.905703771849126	1674	240	2393	0	11152	724046	True								balanced_bce				fgraminearum	20	0.2	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_20/CC/NETWORK/run_1030/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1031	1031	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1031	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1031.tsv	configs/frozen_protocol.yaml	0.6984987489574646	0.1375312129964196	-0.0931459029845538	0.0	0.0	0.0	0.8291666666666667	0.9128440366972476	0.6046636673345852	0.1029228285786746	-0.0625855643547776	0.0326340326340326	0.0333333333333333	0.0319634703196347	0.8265775177601338	0.906623735050598	1674	240	2393	0	11179	724046	True								balanced_bce				fgraminearum	20	0.2	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_20/CC/NETWORK/run_1031/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1032	1032	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1032	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1032.tsv	configs/frozen_protocol.yaml	0.6354253544620518	0.1196089074662486	-0.0435375584191432	0.0476190476190476	0.05	0.0454545454545454	0.8333333333333334	0.9128440366972476	0.6046636673345852	0.1029228285786746	-0.0518904330393747	0.0452488687782805	0.0448430493273542	0.045662100456621	0.8236523192645215	0.9020239190432384	1674	240	2393	0	11146	724046	True								balanced_bce				fgraminearum	20	0.2	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_20/CC/NETWORK/run_1032/metrics.tsv				
fgraminearum_newlabel	fgraminearum	newlabel	CC	CC	NETWORK	newlabel	seed_1033	1033	True	frozen_protocol_v1_seed20260409_test20_val10_label_scarcity_train20_seed1033	data/processed/PPI/fgraminearum/string.csv	undirected_symmetrized	top_k_labeled_positive_count	auroc_auprc_mcc_specificity_top_k	topology_embedding_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	/home/jiehuang/software/fungi/ProGATE_v2/results/Figure2_label_scarcity/splits/fgraminearum_newlabel/train_fraction_20/split_seed_1033.tsv	configs/frozen_protocol.yaml	0.6343828190158466	0.1181731184061457	-0.0472695733526244	0.0465116279069767	0.0476190476190476	0.0454545454545454	0.8291666666666667	0.908256880733945	0.6046636673345852	0.1029228285786746	-0.0611958861305499	0.0363636363636363	0.0361990950226244	0.0365296803652968	0.8228165482657752	0.9020239190432384	1674	240	2393	0	11179	724046	True								balanced_bce				fgraminearum	20	0.2	outputs/Figure2_label_scarcity/fgraminearum_newlabel/train_fraction_20/CC/NETWORK/run_1033/metrics.tsv				
