Target	Species	Regime	Model	Feature_Setting	ESM2_Dim	Label_Regime	Split_Version	Runs	Seed_List	AUROC_mean	AUROC_std	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	F1_mean	F1_std	Precision_mean	Precision_std	Recall_mean	Recall_std	Specificity_mean	Specificity_std
fgraminearum	fgraminearum	oldlabel	GraphSAGE	ORT		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.693977801268499	0.021350871090637984	0.17503052284436865	0.04848817777453291	0.13046382951804802	0.016250848104926587	0.14118323662814358	0.01567711024873446	0.081191363485587	0.010981599137124173	0.575	0.08761061485180177	0.7204651162790697	0.09646605816857565
fgraminearum	fgraminearum	newlabel	GraphSAGE	ORT		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8513272254497949	0.0025516152515206864	0.4323969918864929	0.009041039384677691	0.39890713307881687	0.009555261965485767	0.43299435214576737	0.009696293822229834	0.303953430251883	0.010122009002731453	0.7534246575342467	0.01190721900493636	0.8258509659613615	0.010122103895785996
fgraminearum	fgraminearum	oldlabel	GraphSAGE	EXP		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7294883720930233	0.007106724839891487	0.11333622065088429	0.005726374936403764	0.15701706240079608	0.007062184944387053	0.15706549515563933	0.003910326174645948	0.09021529834823919	0.002282880710769205	0.6068181818181818	0.019813177016093954	0.7494883720930232	0.006814231282534856
fgraminearum	fgraminearum	newlabel	GraphSAGE	EXP		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.873533624865051	0.009647642074618242	0.4932485079149632	0.02025641576345051	0.394320632716756	0.025748792723780382	0.4215593349039226	0.021211960860459955	0.28723689862491303	0.0169250798016322	0.7926940639269406	0.024265443389198952	0.8012879484820606	0.012096729032990973
fgraminearum	fgraminearum	oldlabel	GraphSAGE	SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7553324524312897	0.007254110470898003	0.16371048932949975	0.008916308268822776	0.14323102851278618	0.010607518914688894	0.14711895027417143	0.006918964121016606	0.0838634766587119	0.004304203675277367	0.6000000000000001	0.022034908442801475	0.7311627906976744	0.014898248723764638
fgraminearum	fgraminearum	newlabel	GraphSAGE	SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8661218300126443	0.003271791446231472	0.4420958778543704	0.005792663583244433	0.3754822599208333	0.00626586451807137	0.4111530069401672	0.004467962397864712	0.2836370689082024	0.0030606678384378382	0.7470319634703196	0.010650140447206025	0.809935602575897	0.002223191531480158
fgraminearum	fgraminearum	oldlabel	GraphSAGE	ORT_EXP		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7043076109936575	0.013064923321353466	0.18475208002816873	0.011609255347278174	0.14196677830339907	0.004766639996823297	0.158586682966616	0.0043588542372660355	0.09525953912830476	0.003503448040050923	0.475	0.019550739243278697	0.8148837209302325	0.013566733085743026
fgraminearum	fgraminearum	newlabel	GraphSAGE	ORT_EXP		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8740973648725283	0.0026593205669923656	0.4962440212700159	0.00793419837131523	0.43017670612187364	0.010042609622688435	0.46403061642222526	0.011380734878465346	0.3356170258779047	0.014134002657184903	0.7534246575342466	0.015551951019110893	0.8492180312787487	0.011782713999326861
fgraminearum	fgraminearum	oldlabel	GraphSAGE	ORT_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7551897463002114	0.002694527016665961	0.18108079708358482	0.011255542107687233	0.1477775941177944	0.007436210429690823	0.1479162121278728	0.005619902239398947	0.08386435881846695	0.003636826376809626	0.6272727272727272	0.008503766788122586	0.7189767441860464	0.013362362485955
fgraminearum	fgraminearum	newlabel	GraphSAGE	ORT_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8621017168445683	0.0047338071613473075	0.45488404709954944	0.020140497898990507	0.39319569297260426	0.017733170626566996	0.43084486940205097	0.016486724050470684	0.3052074732779307	0.015618823266132356	0.7333333333333334	0.0074192131549186795	0.8312787488500459	0.011354746204684713
fgraminearum	fgraminearum	oldlabel	GraphSAGE	EXP_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7629450317124735	0.0037428159459016023	0.1463395432684841	0.005887617819277704	0.1506715181628042	0.005116174773079894	0.15229980285126538	0.0026211862656257347	0.0871300958619322	0.001494083745444163	0.6045454545454546	0.016701066428067107	0.7407441860465116	0.00606151983540276
fgraminearum	fgraminearum	newlabel	GraphSAGE	EXP_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8883971216493805	0.004438123081527553	0.5055624311943065	0.010365205155399758	0.41984840729637246	0.01852335063190054	0.44749409678818325	0.017914081563616846	0.31255259828479354	0.01719501867027281	0.7890410958904109	0.007856004810084579	0.8244710211591535	0.013125524803688539
fgraminearum	fgraminearum	oldlabel	GraphSAGE	ORT_EXP_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7262336152219874	0.019904349076471022	0.14880647196466149	0.008825936605386962	0.1595546188747722	0.009805911728981062	0.1685705659791363	0.010219722691417434	0.10062232808771499	0.00772628804340288	0.525	0.024266086936434814	0.8058604651162791	0.026861985258504695
fgraminearum	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8791369989036054	0.004288039273020773	0.5044003030236236	0.012993163474179262	0.44248609941210953	0.016901067869212014	0.47591698000862903	0.018517029478749114	0.3479280372424189	0.021531989049524032	0.7561643835616438	0.016987283322135387	0.8561177552897885	0.017038950362892703
