model	feature_setting	old440_test_auprc_mean	new_label_test_auprc_mean	old440_test_auroc_mean	new_label_test_auroc_mean	old440_test_f1_mean	new_label_test_f1_mean	old440_test_mcc_mean	new_label_test_mcc_mean	delta_test_auroc_mean_new_minus_old	delta_test_auprc_mean_new_minus_old	delta_test_mcc_mean_new_minus_old	delta_test_f1_mean_new_minus_old
GraphSAGE	ORT	0.17503052284436865	0.4323969918864929	0.693977801268499	0.8513272254497949	0.14118323662814358	0.43299435214576737	0.13046382951804802	0.39890713307881687	0.15734942418129594	0.25736646904212424	0.26844330356076884	0.2918111155176238
GraphSAGE	EXP	0.11333622065088429	0.4932485079149632	0.7294883720930233	0.873533624865051	0.15706549515563933	0.4215593349039226	0.15701706240079608	0.394320632716756	0.14404525277202773	0.37991228726407894	0.23730357031595992	0.2644938397482833
GraphSAGE	SUB	0.16371048932949975	0.4420958778543704	0.7553324524312897	0.8661218300126443	0.14711895027417143	0.4111530069401672	0.14323102851278618	0.3754822599208333	0.11078937758135465	0.2783853885248706	0.2322512314080471	0.2640340566659958
GraphSAGE	ORT_EXP	0.18475208002816873	0.4962440212700159	0.7043076109936575	0.8740973648725283	0.158586682966616	0.46403061642222526	0.14196677830339907	0.43017670612187364	0.16978975387887085	0.31149194124184715	0.28820992781847454	0.3054439334556093
GraphSAGE	ORT_SUB	0.18108079708358482	0.45488404709954944	0.7551897463002114	0.8621017168445683	0.1479162121278728	0.43084486940205097	0.1477775941177944	0.39319569297260426	0.10691197054435686	0.2738032500159646	0.24541809885480986	0.28292865727417815
GraphSAGE	EXP_SUB	0.1463395432684841	0.5055624311943065	0.7629450317124735	0.8883971216493805	0.15229980285126538	0.44749409678818325	0.1506715181628042	0.41984840729637246	0.12545208993690693	0.35922288792582246	0.2691768891335683	0.2951942939369179
GraphSAGE	ORT_EXP_SUB	0.14880647196466149	0.5044003030236236	0.7262336152219874	0.8791369989036054	0.1685705659791363	0.47591698000862903	0.1595546188747722	0.44248609941210953	0.15290338368161804	0.35559383105896214	0.2829314805373373	0.3073464140294927
GCN	ORT	0.20831871018078352	0.3664240875294136	0.7755687103594081	0.8055773294182389	0.15679626810120106	0.346758168814298	0.16598663969686317	0.3120914376936167	0.030008619058830788	0.15810537734863006	0.14610479799675352	0.18996190071309693
GCN	EXP	0.07061603355621507	0.40100236352668095	0.694838266384778	0.8240055785896419	0.1173459067086832	0.30478102784776	0.12053775879655666	0.27296704077066486	0.12916731220486388	0.3303863299704659	0.1524292819741082	0.18743512113907682
GCN	SUB	0.14758908355189665	0.3965749526916421	0.7782891120507399	0.8046237602550692	0.1510023465014047	0.2653835155472845	0.16526921114097987	0.22042708222084806	0.026334648204329292	0.24898586913974546	0.05515787107986819	0.1143811690458798
GCN	ORT_EXP	0.18780700373898726	0.3961230015660965	0.7844080338266385	0.8367464388182464	0.15263702772182106	0.34533444257725304	0.1633995736079325	0.3160155692937986	0.05233840499160791	0.20831599782710922	0.1526159956858661	0.192697414855432
GCN	ORT_SUB	0.20507726423537953	0.36470104386908064	0.7972457716701904	0.8268889701032963	0.16653489781166658	0.3064207457116949	0.17832992330127587	0.2754715351891507	0.02964319843310592	0.1596237796337011	0.09714161188787482	0.13988584790002834
GCN	EXP_SUB	0.13183170609123426	0.43590754196980736	0.7709038054968287	0.8456301747930084	0.146131794236731	0.3450269806757651	0.16106231622822934	0.32068047629152757	0.0747263692961797	0.3040758358785731	0.15961816006329824	0.1988951864390341
GCN	ORT_EXP_SUB	0.19609122301759066	0.42415531215614954	0.7987822410147991	0.8511982625717802	0.16596237201732625	0.3514571248365848	0.18086095635482466	0.3240635975964549	0.05241602155698111	0.22806408913855888	0.14320264124163026	0.18549475281925856
GAT	ORT	0.0946776895521089	0.21067173940139816	0.707683932346723	0.7523677500388569	0.11949212530976157	0.2830997701338018	0.11209647733037728	0.2294006372482687	0.04468381769213392	0.11599404984928927	0.11730415991789142	0.16360764482404022
GAT	EXP	0.08299941498468615	0.21287496689879584	0.7224947145877378	0.7409568457444351	0.1258600576772039	0.2801160744243025	0.13305032734397568	0.22472768678093877	0.01846213115669726	0.1298755519141097	0.09167735943696309	0.15425601674709857
GAT	SUB	0.18076569132379955	0.3264594262326778	0.7906855179704018	0.854180161560661	0.1537299156984951	0.3691901895042228	0.16833198788259587	0.3459548798139726	0.06349464359025925	0.14569373490887827	0.17762289193137673	0.2154602738057277
GAT	ORT_EXP	0.12046778142068011	0.20845927972793335	0.711977801268499	0.7115079415088237	0.12944960984947035	0.25791248636273284	0.12035748396894785	0.20467924510076446	-0.00046985975967528404	0.08799149830725324	0.08432176113181661	0.1284628765132625
GAT	ORT_SUB	0.12553705657906472	0.22903542902328988	0.732933932346723	0.74998970817423	0.14442377739192272	0.27874008821825313	0.14007450432895202	0.2326095167148406	0.017055775827507058	0.10349837244422516	0.09253501238588857	0.13431631082633042
GAT	EXP_SUB	0.12907815036095444	0.2908921229950523	0.7544978858350951	0.842514482069119	0.1453120570673187	0.35742685267370133	0.1555788011712851	0.3310405618016496	0.08801659623402391	0.16181397263409786	0.17546176063036448	0.21211479560638263
GAT	ORT_EXP_SUB	0.099679424072694	0.19079135031430655	0.6912986257928119	0.7012146454781079	0.1295735289530513	0.25934904851395896	0.12534189300522708	0.19601672379233331	0.009916019685295985	0.09111192624161255	0.07067483078710624	0.12977551956090766
GIN	ORT	0.15944497302482033	0.4558747250377581	0.750247357293869	0.8563498464627625	0.1860929195348774	0.45825513211255886	0.1770170291651904	0.4200763157986655	0.10610248916889342	0.29642975201293775	0.2430592866334751	0.2721622125776815
GIN	EXP	0.10932427608935402	0.44129559737098056	0.7489154334038055	0.8480810995870668	0.14878848586032603	0.4313758248200502	0.14371567440685148	0.390151611406817	0.09916566618326128	0.33197132128162654	0.2464359369999655	0.2825873389597242
GIN	SUB	0.17092168330563837	0.47640005580381384	0.7615697674418606	0.8559413239908759	0.20437448875701475	0.4675061347432317	0.19855545486703577	0.43196246661221505	0.0943715565490153	0.30547837249817544	0.23340701174517928	0.26313164598621697
GIN	ORT_EXP	0.17385723452883628	0.4605551856330951	0.7838905919661734	0.8555388925995471	0.21317393767491982	0.4456458060270062	0.20525477298947678	0.40862227444709776	0.07164830063337368	0.28669795110425883	0.20336750145762097	0.23247186835208639
GIN	ORT_SUB	0.16791294718726338	0.46273640026291574	0.780784355179704	0.8588957080986166	0.19500127290408864	0.44995271714730345	0.19402787128775623	0.41842304334329317	0.07811135291891258	0.2948234530756524	0.22439517205553694	0.2549514442432148
GIN	EXP_SUB	0.12523000592081615	0.4577676287053306	0.7071754756871036	0.8509878052366489	0.13059268669744656	0.4291384907798963	0.11542576877606456	0.39612987006893496	0.14381232954954526	0.3325376227845145	0.2807041012928704	0.29854580408244974
GIN	ORT_EXP_SUB	0.1452464143841418	0.4655219451656434	0.6723662790697673	0.8593657714878619	0.15760443615637226	0.4345319330371183	0.146260801415798	0.40405024135551704	0.18699949241809455	0.3202755307815016	0.25778943993971903	0.276927496880746
