comparison	feature_setting	protocol	run_id	seed	metrics_path	predictions_path	split	brier_score	ece_10bin	nonempty_bins
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/predictions.tsv	test	0.08062142107035207	0.07646516775656179	10
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/predictions.tsv	test	0.0827134504145878	0.0797224399888772	10
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/predictions.tsv	test	0.09217640937762189	0.0975829849028193	10
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/predictions.tsv	test	0.06794307092490129	0.057645831978875926	10
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/predictions.tsv	test	0.0782249436817929	0.07282966824387958	10
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/predictions.tsv	test	0.10524224758667498	0.13239064567548162	10
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1030/predictions.tsv	test	0.09240726213749545	0.10027782244472612	10
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1031/predictions.tsv	test	0.09951850061423886	0.11031960402110785	10
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1032/predictions.tsv	test	0.10111242133106223	0.11458183598348673	10
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1033/predictions.tsv	test	0.10368844699467028	0.11321362685372642	10
