comparison	feature_setting	protocol	run_id	seed	metrics_path	predictions_path	split	mean	std	min	max	positive_class_mean_score	negative_class_mean_score
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/predictions.tsv	test	0.14999439371424547	0.2960858754738703	0.0	0.9976227879524232	0.6614113615389023	0.09847630909897416
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/predictions.tsv	test	0.1599751823573433	0.3021804086802763	1.058560739062014e-25	0.9964553117752076	0.6868048351927718	0.10690448595855817
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/predictions.tsv	test	0.18441205550961406	0.31265820273387446	5.828845080429447e-27	0.9982457160949708	0.7162799332041333	0.13083382863974297
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/predictions.tsv	test	0.1135882960659045	0.26951448375322984	0.0	0.9992570281028748	0.5961422554000939	0.06497775462423591
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/predictions.tsv	test	0.14409514226031642	0.2928101258464128	0.0	0.9973968267440796	0.6544863768987034	0.09268038587310079
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/predictions.tsv	test	0.22390757003820627	0.3126506293572835	2.01761067728512e-05	0.979172945022583	0.7329774993433528	0.1726259166261423
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1030/predictions.tsv	test	0.18349104806150873	0.31676646893526333	9.175936455108058e-09	0.9902987480163574	0.7272951080503945	0.12871041828341948
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1031/predictions.tsv	test	0.19349670385517462	0.32563900062828155	9.000108747159176e-08	0.9889224767684937	0.7401918160214677	0.13842484113005127
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1032/predictions.tsv	test	0.19744394709020122	0.3266226597004301	3.0085823254921706e-07	0.989324986934662	0.7434197447714163	0.14244454520787092
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1033/predictions.tsv	test	0.20145044055955943	0.3294717359526676	1.6626258059204704e-07	0.9775246381759644	0.7482899098450516	0.14636403587992614
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1029/predictions.tsv	test	0.14747065094171405	0.2428422932251285	1.0581061360426249e-05	0.8981255888938904	0.5720391251161677	0.10470133362607219
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1030/predictions.tsv	test	0.13235360039909097	0.2518497107687809	2.0206138984235625e-08	0.9265398383140564	0.583945926902217	0.08686200909081837
old gated + WBCE	ORT_EXP_SUB_ESM2_OLD_GATED_WBCE	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cC/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_OLD_GATED_WBCE/run_1031/predictions.tsv	test	0.11815682939046196	0.24255810420922075	2.1174356490405444e-08	0.933601975440979	0.5503762789071752	0.07461678364797794
