comparison	feature_setting	protocol	run_id	seed	metrics_path	predictions_path	best_threshold	best_threshold_by_mcc	best_threshold_by_f1	val_auroc	val_auprc	test_auroc	test_auprc	val_mcc_at_best_threshold	val_f1_at_best_threshold	val_precision_at_best_threshold	val_recall_at_best_threshold	test_mcc_at_best_threshold	test_f1_at_best_threshold	test_precision_at_best_threshold	test_recall_at_best_threshold	test_specificity_at_best_threshold
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/predictions.tsv	0.580690979958	0.580690979958	0.580690979958	0.9367818014552145	0.6537168745790304	0.9158086644570747	0.5388437611958251	0.5735499494338967	0.608058608058608	0.50920245398773	0.7545454545454545	0.4929633470961495	0.5374771480804388	0.4481707317073171	0.6712328767123288	0.9167433302667893
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/predictions.tsv	0.815592288971	0.815592288971	0.815592288971	0.938111566446433	0.6636801417344583	0.9172495200648594	0.5436111341873469	0.5663059659280216	0.6063348416289593	0.6036036036036037	0.6090909090909091	0.4592396620124623	0.5059665871121717	0.53	0.4840182648401826	0.9567617295308187
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/predictions.tsv	0.639546751976	0.639546751976	0.817048728466	0.9400183992640294	0.6575600084254473	0.9162644453125983	0.529392323093059	0.5660329844861536	0.5945945945945946	0.4731182795698925	0.8	0.5057529489355077	0.5451388888888888	0.43977591036414565	0.7168949771689498	0.9080036798528058
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/predictions.tsv	0.34374165535	0.34374165535	0.34374165535	0.9394664213431463	0.6815761173062176	0.9211541127395999	0.5947429299544171	0.5842701894027627	0.6176470588235293	0.5185185185185185	0.7636363636363637	0.5204313862194644	0.5623836126629422	0.4748427672955975	0.6894977168949772	0.9231830726770929
baseline concat	ORT_EXP_SUB_ESM2	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/predictions.tsv	0.910265386105	0.910265386105	0.72822201252	0.9414317972735635	0.6785403931156282	0.9179573456331152	0.5423660340273653	0.5835925043977617	0.6010928961748635	0.7534246575342466	0.5	0.43839207068521246	0.4542772861356932	0.6416666666666667	0.3515981735159817	0.9802207911683533
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1029	1029	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1029/predictions.tsv	0.865200698376	0.865200698376	0.865200698376	0.9298569875386802	0.6530249830843123	0.9104086064867907	0.5477655603958378	0.5538439987769042	0.5846153846153846	0.6705882352941176	0.5181818181818182	0.44171483320286964	0.4659090909090909	0.6165413533834586	0.3744292237442922	0.9765409383624655
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1030	1030	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1030/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1030/predictions.tsv	0.849126160145	0.849126160145	0.849126160145	0.9344484402442085	0.6515982274766458	0.915317177267247	0.5804543639596655	0.5795433637199967	0.6181818181818182	0.6181818181818182	0.6181818181818182	0.4628119413178333	0.5105386416861827	0.5240384615384616	0.4977168949771689	0.9544618215271389
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1031	1031	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1031/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1031/predictions.tsv	0.910452127457	0.910452127457	0.874858260155	0.9320481726185498	0.6464288235397283	0.91366208365364	0.5670628277463984	0.5649129224363721	0.588235294117647	0.7142857142857143	0.5	0.4502159930633259	0.47293447293447294	0.6287878787878788	0.3789954337899543	0.9774609015639374
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1032	1032	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1032/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1032/predictions.tsv	0.826751351357	0.826751351357	0.826751351357	0.9322238019570126	0.6385426242748315	0.913615875456306	0.570838701338068	0.5693657187407637	0.6101694915254237	0.5714285714285714	0.6545454545454545	0.5034863984773362	0.5507246376811594	0.5037878787878788	0.6073059360730594	0.9397424103035878
old gated	ORT_EXP_SUB_ESM2_GATED	fgraminearum_newlabel	seed_1033	1033	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1033/metrics.tsv	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3cB/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2_GATED/run_1033/predictions.tsv	0.689001381397	0.689001381397	0.800818860531	0.9289621142427029	0.6149965587325872	0.912298941832281	0.5491950829902347	0.5488165571205736	0.5770491803278689	0.4512820512820513	0.8	0.5267836070860084	0.5566343042071198	0.43107769423558895	0.7853881278538812	0.8955841766329347
