raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00009	ph1_gene_id	FGRAMPH1_01G00009	fgraminearum::FGRAMPH1_01G00009	resolved	exact_mainline_graph_id
FGRAMPH1_01G00023	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00025	ph1_gene_id	FGRAMPH1_01G00025	fgraminearum::FGRAMPH1_01G00025	resolved	exact_mainline_graph_id
FGRAMPH1_01G00039	ph1_gene_id	FGRAMPH1_01G00039	fgraminearum::FGRAMPH1_01G00039	resolved	exact_mainline_graph_id
FGRAMPH1_01G00067	ph1_gene_id	FGRAMPH1_01G00067	fgraminearum::FGRAMPH1_01G00067	resolved	exact_mainline_graph_id
FGRAMPH1_01G00075	ph1_gene_id	FGRAMPH1_01G00075	fgraminearum::FGRAMPH1_01G00075	resolved	exact_mainline_graph_id
FGRAMPH1_01G00083	ph1_gene_id	FGRAMPH1_01G00083	fgraminearum::FGRAMPH1_01G00083	resolved	exact_mainline_graph_id
FGRAMPH1_01G00087	ph1_gene_id	FGRAMPH1_01G00087	fgraminearum::FGRAMPH1_01G00087	resolved	exact_mainline_graph_id
FGRAMPH1_01G00089	ph1_gene_id	FGRAMPH1_01G00089	fgraminearum::FGRAMPH1_01G00089	resolved	exact_mainline_graph_id
FGRAMPH1_01G00095	ph1_gene_id	FGRAMPH1_01G00095	fgraminearum::FGRAMPH1_01G00095	resolved	exact_mainline_graph_id
FGRAMPH1_01G00097	ph1_gene_id	FGRAMPH1_01G00097	fgraminearum::FGRAMPH1_01G00097	resolved	exact_mainline_graph_id
FGRAMPH1_01G00117	ph1_gene_id	FGRAMPH1_01G00117	fgraminearum::FGRAMPH1_01G00117	resolved	exact_mainline_graph_id
FGRAMPH1_01G00123	ph1_gene_id	FGRAMPH1_01G00123	fgraminearum::FGRAMPH1_01G00123	resolved	exact_mainline_graph_id
FGRAMPH1_01G00125	ph1_gene_id	FGRAMPH1_01G00125	fgraminearum::FGRAMPH1_01G00125	resolved	exact_mainline_graph_id
FGRAMPH1_01G00127	ph1_gene_id	FGRAMPH1_01G00127	fgraminearum::FGRAMPH1_01G00127	resolved	exact_mainline_graph_id
FGRAMPH1_01G00129	ph1_gene_id	FGRAMPH1_01G00129	fgraminearum::FGRAMPH1_01G00129	resolved	exact_mainline_graph_id
FGRAMPH1_01G00131	ph1_gene_id	FGRAMPH1_01G00131	fgraminearum::FGRAMPH1_01G00131	resolved	exact_mainline_graph_id
FGRAMPH1_01G00137	ph1_gene_id	FGRAMPH1_01G00137	fgraminearum::FGRAMPH1_01G00137	resolved	exact_mainline_graph_id
FGRAMPH1_01G00141	ph1_gene_id	FGRAMPH1_01G00141	fgraminearum::FGRAMPH1_01G00141	resolved	exact_mainline_graph_id
FGRAMPH1_01G00143	ph1_gene_id	FGRAMPH1_01G00143	fgraminearum::FGRAMPH1_01G00143	resolved	exact_mainline_graph_id
FGRAMPH1_01G00145	ph1_gene_id	FGRAMPH1_01G00145	fgraminearum::FGRAMPH1_01G00145	resolved	exact_mainline_graph_id
