raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00039	ph1_gene_id	FGRAMPH1_01G00039	fgraminearum::FGRAMPH1_01G00039	resolved	exact_mainline_graph_id
FGRAMPH1_01G00067	ph1_gene_id	FGRAMPH1_01G00067	fgraminearum::FGRAMPH1_01G00067	resolved	exact_mainline_graph_id
FGRAMPH1_01G00083	ph1_gene_id	FGRAMPH1_01G00083	fgraminearum::FGRAMPH1_01G00083	resolved	exact_mainline_graph_id
FGRAMPH1_01G00087	ph1_gene_id	FGRAMPH1_01G00087	fgraminearum::FGRAMPH1_01G00087	resolved	exact_mainline_graph_id
FGRAMPH1_01G00097	ph1_gene_id	FGRAMPH1_01G00097	fgraminearum::FGRAMPH1_01G00097	resolved	exact_mainline_graph_id
FGRAMPH1_01G00117	ph1_gene_id	FGRAMPH1_01G00117	fgraminearum::FGRAMPH1_01G00117	resolved	exact_mainline_graph_id
FGRAMPH1_01G00123	ph1_gene_id	FGRAMPH1_01G00123	fgraminearum::FGRAMPH1_01G00123	resolved	exact_mainline_graph_id
FGRAMPH1_01G00129	ph1_gene_id	FGRAMPH1_01G00129	fgraminearum::FGRAMPH1_01G00129	resolved	exact_mainline_graph_id
FGRAMPH1_01G00137	ph1_gene_id	FGRAMPH1_01G00137	fgraminearum::FGRAMPH1_01G00137	resolved	exact_mainline_graph_id
FGRAMPH1_01G00145	ph1_gene_id	FGRAMPH1_01G00145	fgraminearum::FGRAMPH1_01G00145	resolved	exact_mainline_graph_id
FGRAMPH1_01G00151	ph1_gene_id	FGRAMPH1_01G00151	fgraminearum::FGRAMPH1_01G00151	resolved	exact_mainline_graph_id
FGRAMPH1_01G00157	ph1_gene_id	FGRAMPH1_01G00157	fgraminearum::FGRAMPH1_01G00157	resolved	exact_mainline_graph_id
FGRAMPH1_01G00167	ph1_gene_id	FGRAMPH1_01G00167	fgraminearum::FGRAMPH1_01G00167	resolved	exact_mainline_graph_id
FGRAMPH1_01G00169	ph1_gene_id	FGRAMPH1_01G00169	fgraminearum::FGRAMPH1_01G00169	resolved	exact_mainline_graph_id
FGRAMPH1_01G00183	ph1_gene_id	FGRAMPH1_01G00183	fgraminearum::FGRAMPH1_01G00183	resolved	exact_mainline_graph_id
FGRAMPH1_01G00185	ph1_gene_id	FGRAMPH1_01G00185	fgraminearum::FGRAMPH1_01G00185	resolved	exact_mainline_graph_id
FGRAMPH1_01G00197	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00199	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00201	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00209	ph1_gene_id	FGRAMPH1_01G00209	fgraminearum::FGRAMPH1_01G00209	resolved	exact_mainline_graph_id
FGRAMPH1_01G00213	ph1_gene_id	FGRAMPH1_01G00213	fgraminearum::FGRAMPH1_01G00213	resolved	exact_mainline_graph_id
FGRAMPH1_01G00223	ph1_gene_id	FGRAMPH1_01G00223	fgraminearum::FGRAMPH1_01G00223	resolved	exact_mainline_graph_id
FGRAMPH1_01G00229	ph1_gene_id	FGRAMPH1_01G00229	fgraminearum::FGRAMPH1_01G00229	resolved	exact_mainline_graph_id
FGRAMPH1_01G00237	ph1_gene_id	FGRAMPH1_01G00237	fgraminearum::FGRAMPH1_01G00237	resolved	exact_mainline_graph_id
FGRAMPH1_01G00239	ph1_gene_id	FGRAMPH1_01G00239	fgraminearum::FGRAMPH1_01G00239	resolved	exact_mainline_graph_id
FGRAMPH1_01G00247	ph1_gene_id	FGRAMPH1_01G00247	fgraminearum::FGRAMPH1_01G00247	resolved	exact_mainline_graph_id
FGRAMPH1_01G00267	ph1_gene_id	FGRAMPH1_01G00267	fgraminearum::FGRAMPH1_01G00267	resolved	exact_mainline_graph_id
FGRAMPH1_01G00271	ph1_gene_id	FGRAMPH1_01G00271	fgraminearum::FGRAMPH1_01G00271	resolved	exact_mainline_graph_id
FGRAMPH1_01G00273	ph1_gene_id	FGRAMPH1_01G00273	fgraminearum::FGRAMPH1_01G00273	resolved	exact_mainline_graph_id
FGRAMPH1_01G00281	ph1_gene_id	FGRAMPH1_01G00281	fgraminearum::FGRAMPH1_01G00281	resolved	exact_mainline_graph_id
FGRAMPH1_01G00289	ph1_gene_id	FGRAMPH1_01G00289	fgraminearum::FGRAMPH1_01G00289	resolved	exact_mainline_graph_id
FGRAMPH1_01G00291	ph1_gene_id	FGRAMPH1_01G00291	fgraminearum::FGRAMPH1_01G00291	resolved	exact_mainline_graph_id
FGRAMPH1_01G00297	ph1_gene_id	FGRAMPH1_01G00297	fgraminearum::FGRAMPH1_01G00297	resolved	exact_mainline_graph_id
