protocol	species	regime	model	model_variant	feature_setting	feature_combo	label_regime	run_id	seed	is_deterministic	split_version	graph_source	graph_source_name	graph_contract	graph_threshold	graph_score_column	graph_source_columns	graph_has_edge_weights	threshold_strategy	evaluation_contract	feature_contract_group	label_manifest	split_manifest	config_used	val_auroc	val_auprc	val_mcc	val_f1	val_precision	val_recall	val_accuracy	val_specificity	test_auroc	test_auprc	test_mcc	test_f1	test_precision	test_recall	test_accuracy	test_specificity	train_count	val_count	test_count	feature_dim	esm2_dim	node_count	edge_count	esm2_cache_path	fusion_mode	fusion_hidden_dim	fusion_dropout	loss_type	pos_weight_mode	pos_weight_scale	best_checkpoint	best_epoch	best_val_score	pos_weight	target	graph_condition	graph_family	string_threshold	run_group	metrics_path	model_feature_setting
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1029	1029	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	300.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.9367818014552144	0.6537168745790305	0.5518298557161199	0.5853658536585366	0.4745762711864407	0.7636363636363637	0.9005847953216374	0.9144434222631096	0.9158086644570748	0.5388437611958251	0.4994610654546409	0.5383304940374787	0.4293478260869565	0.7214611872146118	0.8867530296698705	0.903403863845446	8375	1197	2393	1520	1280	13022	724046	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/best_model.pt	53	0.6537168745790304		fgraminearum	STRING_300	STRING	300	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1030	1030	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	300.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.938111566446433	0.6636801417344584	0.5379402760660509	0.5714285714285714	0.4565217391304347	0.7636363636363637	0.8947368421052632	0.9080036798528058	0.9172495200648594	0.5436111341873469	0.494752395203908	0.5311475409836065	0.4143222506393862	0.7397260273972602	0.8804847471792728	0.8946642134314627	8375	1197	2393	1520	1280	13022	724046	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/best_model.pt	51	0.6636801417344583		fgraminearum	STRING_300	STRING	300	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1031	1031	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	300.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.9400183992640294	0.6575600084254473	0.5343502115585134	0.5558912386706949	0.416289592760181	0.8363636363636363	0.8771929824561403	0.8813247470101196	0.9162644453125984	0.529392323093059	0.5036103423093002	0.5281899109792285	0.3912087912087912	0.8127853881278538	0.8671124111993314	0.8725850965961361	8375	1197	2393	1520	1280	13022	724046	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/best_model.pt	38	0.6575600084254472		fgraminearum	STRING_300	STRING	300	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1032	1032	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	300.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.9394664213431464	0.6815761173062175	0.556585073621378	0.5976095617529881	0.5319148936170213	0.6818181818181818	0.9156223893065998	0.9392824287028518	0.9211541127396	0.594742929954417	0.5114675363484444	0.5578512396694215	0.5094339622641509	0.6164383561643836	0.9105725031341412	0.940202391904324	8375	1197	2393	1520	1280	13022	724046	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/best_model.pt	95	0.6815761173062175		fgraminearum	STRING_300	STRING	300	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1033	1033	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	300.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.9414317972735636	0.6785403931156282	0.545844513901718	0.5827338129496403	0.4821428571428571	0.7363636363636363	0.9030910609857978	0.9199632014719412	0.9179573456331154	0.5423660340273653	0.5023970025026331	0.542907180385289	0.4403409090909091	0.7077625570776256	0.8909318846636022	0.9093836246550138	8375	1197	2393	1520	1280	13022	724046	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/best_model.pt	59	0.6785403931156282		fgraminearum	STRING_300	STRING	300	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_300/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1029	1029	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	700.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.9350171447687547	0.6627887229739519	0.5421389108725223	0.5833333333333334	0.5943396226415094	0.5727272727272728	0.924812030075188	0.9604415823367064	0.9175792785640172	0.5916013113996401	0.5126717004592295	0.5560747663551402	0.569377990430622	0.54337899543379	0.9206017551190974	0.9586016559337628	8375	1197	2393	1520	1280	12549	121096	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/best_model.pt	121	0.6627887229739516		fgraminearum	STRING_700	STRING	700	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1030	1030	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	700.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.9309860332859412	0.6450255789452445	0.5319596152330123	0.5740740740740741	0.5849056603773585	0.5636363636363636	0.923141186299081	0.9595216191352346	0.9163253561181754	0.5859507354018414	0.5213423103027708	0.5641025641025641	0.5761904761904761	0.5525114155251142	0.9218554116172168	0.9590616375344986	8375	1197	2393	1520	1280	12549	121096	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/best_model.pt	102	0.6450255789452445		fgraminearum	STRING_700	STRING	700	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1031	1031	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	700.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.9324161578991388	0.6446432555478979	0.5209926896697641	0.5666666666666667	0.5230769230769231	0.6181818181818182	0.9131161236424394	0.9429622815087396	0.9224248381662908	0.5950207790096882	0.5332383072479612	0.5774946921443737	0.5396825396825397	0.6210045662100456	0.9168407856247388	0.9466421343146274	8375	1197	2393	1520	1280	12549	121096	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/best_model.pt	82	0.6446432555478978		fgraminearum	STRING_700	STRING	700	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1032	1032	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	700.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.93782721418416	0.6619194043391505	0.5438714652091771	0.5872340425531914	0.552	0.6272727272727273	0.9189640768588136	0.9484820607175714	0.9164828840636328	0.5786045171318267	0.5109585212745406	0.5574468085106383	0.5219123505976095	0.5981735159817352	0.9130798161303804	0.9448022079116836	8375	1197	2393	1520	1280	12549	121096	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/best_model.pt	91	0.6619194043391505		fgraminearum	STRING_700	STRING	700	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	GraphSAGE	ORT_EXP_SUB_ESM2	ORT_EXP_SUB_ESM2	newlabel	seed_1033	1033	False	frozen_protocol_v1_seed20260409_test20_val10	data/processed/PPI/fgraminearum/string.csv	STRING	undirected_symmetrized	700.0	combined_score	A|B|combined_score|coexpression|experimental|database	False	fixed_0.5	auroc_auprc_mcc_specificity_fixed_0.5	ort_exp_sub_plus_esm2_species_level_pooled_contract	results/frozen_protocol/labels/fgraminearum_newlabel.tsv	results/frozen_protocol/splits/fgraminearum_newlabel_split.tsv	configs/frozen_protocol.yaml	0.9418583256669733	0.698338745825529	0.6117237674419944	0.6442307692307693	0.6836734693877551	0.6090909090909091	0.9381787802840434	0.97148114075437	0.916718125795516	0.6096659559101245	0.5185024288141878	0.5598086124401914	0.5879396984924623	0.5342465753424658	0.9231090681153364	0.9622815087396503	8375	1197	2393	1520	1280	12549	121096	data/processed/ESM2/fgraminearum/esm2_pooled.pt				balanced_bce			/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/best_model.pt	129	0.6983387458255291		fgraminearum	STRING_700	STRING	700	threshold_sweep	outputs/Figure4/threshold_sweep/string_thr_700/fgraminearum_newlabel/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv	GraphSAGE + ORT_EXP_SUB_ESM2
