node_id	label	split	baseline_pred_label	baseline_pred_score	esm2_pred_label	esm2_pred_score	transition	protocol	species	seed	subset	delta_probability	transition_display	umap1	umap2
FGRAMPH1_01G00015	0	test	0	0.0329132229089736	0	1.874813733593328e-06	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.03291134809524	TN_stable	-2.716992	-5.7636385
FGRAMPH1_01G00021	0	test	0	0.0317086763679981	0	3.5039054637309164e-05	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.03167363731336079	TN_stable	-0.071340695	-0.11673968
FGRAMPH1_01G00037	0	test	0	0.0020731328986585	0	2.248163582407869e-05	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0020506512628344215	TN_stable	0.06566182	0.15405923
FGRAMPH1_01G00041	0	test	1	0.550294816493988	0	6.7490133481840076e-09	FP_to_TN_corrected	fgraminearum_newlabel	fgraminearum	1029	test	-0.5502948097449747	FP_to_TN_corrected	0.6769753	0.43390018
FGRAMPH1_01G00047	0	test	0	0.0200176704674959	0	2.821393726287757e-12	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.02001767046467451	TN_stable	3.6404576	3.1839762
FGRAMPH1_01G00055	0	test	0	0.0178865268826484	0	9.393989793288478e-23	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0178865268826484	TN_stable	1.6687233	3.391238
FGRAMPH1_01G00057	0	test	0	0.1277165114879608	0	5.42360774347106e-12	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.12771651148253718	TN_stable	7.310261	3.275609
FGRAMPH1_01G00071	0	test	0	0.1836521476507187	0	9.442509274482092e-12	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.1836521476412762	TN_stable	-0.22865027	3.3407853
FGRAMPH1_01G00083	0	test	0	0.0622920840978622	0	6.793852662667632e-06	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.062285290245199534	TN_stable	-2.5163057	1.879026
FGRAMPH1_01G00101	0	test	0	0.0240681022405624	0	1.6591407780829633e-19	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0240681022405624	TN_stable	0.018999228	4.7063036
FGRAMPH1_01G00103	0	test	0	0.0041852816939353	0	4.235162474449514e-20	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0041852816939353	TN_stable	4.6036696	3.783167
FGRAMPH1_01G00111	0	test	0	0.0406097657978534	0	2.87602066606496e-08	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.04060973703764674	TN_stable	0.87875104	0.3116684
FGRAMPH1_01G00121	0	test	0	0.0337551273405551	0	9.639939671166052e-15	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.03375512734054546	TN_stable	-0.04738351	4.81269
FGRAMPH1_01G00147	0	test	0	0.2670229375362396	0	1.5792324115082579e-09	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.2670229359570072	TN_stable	-1.4370477	2.8918312
FGRAMPH1_01G00153	0	test	0	0.0583154745399951	0	4.8192673809954726e-12	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.05831547453517583	TN_stable	3.9053805	3.415572
FGRAMPH1_01G00165	0	test	0	2.3376665936325484e-08	0	4.296764018363319e-05	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	4.294426351769687e-05	TN_stable	0.038751185	-0.02218848
FGRAMPH1_01G00171	0	test	0	1.22384031797651e-08	0	0.0106914173811674	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	0.01069140514276422	TN_stable	0.01397465	-4.698847
FGRAMPH1_01G00205	0	test	0	0.0010894980514422	0	7.293002113328839e-08	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0010894251214210668	TN_stable	3.121579	-0.22398198
FGRAMPH1_01G00217	0	test	0	0.0176562778651714	0	0.0002568908093962	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.017399387055775203	TN_stable	-2.3655763	1.5210592
FGRAMPH1_01G00251	0	test	0	0.0351015925407409	0	1.5104693537604238e-11	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0351015925256362	TN_stable	0.38146818	3.321479
FGRAMPH1_01G00265	0	test	0	0.0003429946373216	0	5.6193365932655226e-11	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0003429945811282341	TN_stable	-1.678969	3.1707134
FGRAMPH1_01G00269	0	test	0	0.0005318993935361	0	2.2260021950715192e-11	TN_stable	fgraminearum_newlabel	fgraminearum	1029	test	-0.0005318993712760781	TN_stable	-1.8632995	2.7236292
