protocol	species	gene_set	gene_set_definition	feature_group	n_genes	plot_value	value_transform	plot_value_definition
fgraminearum_newlabel	fgraminearum	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	ESM2	113	0.4123961719263971	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	EXP	113	0.009460075344659586	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	ORT	113	0.0063169370710322295	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	SUB	113	0.013907419316536556	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ESM2	94	-0.37985400560316707	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	EXP	94	-0.00996241527086049	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ORT	94	-0.005059089043781073	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	SUB	94	-0.004381827730551053	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	ESM2	25	-0.3606393900319616	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	EXP	25	-0.02317897880862322	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	ORT	25	-0.012767360121798008	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	SUB	25	-0.02910309519094637	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	ESM2	23	0.23570064175873995	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	EXP	23	-0.00423107685321314	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	ORT	23	0.00054796844064106	none	mean_across_seeds(probability_full - probability_drop_group)
fgraminearum_newlabel	fgraminearum	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	SUB	23	-0.0013608604602031074	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	ESM2	95	0.44295254870464923	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	EXP	95	0.15533531528162328	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	ORT	95	0.15277403011133797	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	SUB	95	0.19637965669169238	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ESM2	88	-0.4068440572321015	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	EXP	88	0.03947805383132539	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ORT	88	0.049963420003960174	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	SUB	88	0.03643069128844235	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	ESM2	22	-0.4177246713927032	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	EXP	22	-0.04298951361514923	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	ORT	22	-0.017778813118923396	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	SUB	22	-0.06309424667598224	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	ESM2	16	0.3053616382181644	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	EXP	16	0.06601189618231729	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	ORT	16	0.06028133421204984	none	mean_across_seeds(probability_full - probability_drop_group)
scerevisiae	scerevisiae	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	SUB	16	0.06640280288702342	none	mean_across_seeds(probability_full - probability_drop_group)
