protocol	species	transition	transition_display	occurrence_count	occurrence_frequency	gene_count	gene_fraction	stable_seed_threshold	stable_retained
fgraminearum_newlabel	fgraminearum	FN_to_TP_rescued	FN_to_TP_rescued	0	0.0	2357	0.9849561220225658	2	False
fgraminearum_newlabel	fgraminearum	FN_to_TP_rescued	FN_to_TP_rescued	1	0.2	13	0.005432511491851233	2	False
fgraminearum_newlabel	fgraminearum	FN_to_TP_rescued	FN_to_TP_rescued	2	0.4	7	0.0029251984956122023	2	True
fgraminearum_newlabel	fgraminearum	FN_to_TP_rescued	FN_to_TP_rescued	3	0.6	4	0.001671541997492687	2	True
fgraminearum_newlabel	fgraminearum	FN_to_TP_rescued	FN_to_TP_rescued	4	0.8	2	0.0008357709987463436	2	True
fgraminearum_newlabel	fgraminearum	FN_to_TP_rescued	FN_to_TP_rescued	5	1.0	10	0.004178854993731718	2	True
fgraminearum_newlabel	fgraminearum	FP_to_TN_corrected	FP_to_TN_corrected	0	0.0	2093	0.8746343501880485	2	False
fgraminearum_newlabel	fgraminearum	FP_to_TN_corrected	FP_to_TN_corrected	1	0.2	106	0.0442958629335562	2	False
fgraminearum_newlabel	fgraminearum	FP_to_TN_corrected	FP_to_TN_corrected	2	0.4	38	0.015879648976180525	2	True
fgraminearum_newlabel	fgraminearum	FP_to_TN_corrected	FP_to_TN_corrected	3	0.6	31	0.012954450480568324	2	True
fgraminearum_newlabel	fgraminearum	FP_to_TN_corrected	FP_to_TN_corrected	4	0.8	31	0.012954450480568324	2	True
fgraminearum_newlabel	fgraminearum	FP_to_TN_corrected	FP_to_TN_corrected	5	1.0	94	0.03928123694107814	2	True
fgraminearum_newlabel	fgraminearum	FN_persistent	persistent_FN	0	0.0	2351	0.9824488090263268	2	False
fgraminearum_newlabel	fgraminearum	FN_persistent	persistent_FN	1	0.2	4	0.001671541997492687	2	False
fgraminearum_newlabel	fgraminearum	FN_persistent	persistent_FN	2	0.4	3	0.0012536564981195152	2	True
fgraminearum_newlabel	fgraminearum	FN_persistent	persistent_FN	3	0.6	5	0.002089427496865859	2	True
fgraminearum_newlabel	fgraminearum	FN_persistent	persistent_FN	4	0.8	5	0.002089427496865859	2	True
fgraminearum_newlabel	fgraminearum	FN_persistent	persistent_FN	5	1.0	25	0.010447137484329294	2	True
fgraminearum_newlabel	fgraminearum	FP_persistent	persistent_FP	0	0.0	2190	0.9151692436272462	2	False
fgraminearum_newlabel	fgraminearum	FP_persistent	persistent_FP	1	0.2	39	0.0162975344755537	2	False
fgraminearum_newlabel	fgraminearum	FP_persistent	persistent_FP	2	0.4	23	0.00961136648558295	2	True
fgraminearum_newlabel	fgraminearum	FP_persistent	persistent_FP	3	0.6	26	0.010865022983702465	2	True
fgraminearum_newlabel	fgraminearum	FP_persistent	persistent_FP	4	0.8	43	0.017969076473046384	2	True
fgraminearum_newlabel	fgraminearum	FP_persistent	persistent_FP	5	1.0	72	0.030087755954868366	2	True
scerevisiae	scerevisiae	FN_to_TP_rescued	FN_to_TP_rescued	0	0.0	1103	0.9795737122557726	2	False
scerevisiae	scerevisiae	FN_to_TP_rescued	FN_to_TP_rescued	1	0.2	7	0.006216696269982238	2	False
scerevisiae	scerevisiae	FN_to_TP_rescued	FN_to_TP_rescued	2	0.4	0	0.0	2	True
scerevisiae	scerevisiae	FN_to_TP_rescued	FN_to_TP_rescued	3	0.6	6	0.0053285968028419185	2	True
scerevisiae	scerevisiae	FN_to_TP_rescued	FN_to_TP_rescued	4	0.8	4	0.003552397868561279	2	True
scerevisiae	scerevisiae	FN_to_TP_rescued	FN_to_TP_rescued	5	1.0	6	0.0053285968028419185	2	True
scerevisiae	scerevisiae	FP_to_TN_corrected	FP_to_TN_corrected	0	0.0	917	0.8143872113676732	2	False
scerevisiae	scerevisiae	FP_to_TN_corrected	FP_to_TN_corrected	1	0.2	36	0.03197158081705151	2	False
scerevisiae	scerevisiae	FP_to_TN_corrected	FP_to_TN_corrected	2	0.4	24	0.021314387211367674	2	True
scerevisiae	scerevisiae	FP_to_TN_corrected	FP_to_TN_corrected	3	0.6	28	0.02486678507992895	2	True
scerevisiae	scerevisiae	FP_to_TN_corrected	FP_to_TN_corrected	4	0.8	33	0.02930728241563055	2	True
scerevisiae	scerevisiae	FP_to_TN_corrected	FP_to_TN_corrected	5	1.0	88	0.07815275310834814	2	True
scerevisiae	scerevisiae	FN_persistent	persistent_FN	0	0.0	1077	0.9564831261101243	2	False
scerevisiae	scerevisiae	FN_persistent	persistent_FN	1	0.2	12	0.010657193605683837	2	False
scerevisiae	scerevisiae	FN_persistent	persistent_FN	2	0.4	5	0.004440497335701598	2	True
scerevisiae	scerevisiae	FN_persistent	persistent_FN	3	0.6	4	0.003552397868561279	2	True
scerevisiae	scerevisiae	FN_persistent	persistent_FN	4	0.8	6	0.0053285968028419185	2	True
scerevisiae	scerevisiae	FN_persistent	persistent_FN	5	1.0	22	0.019538188277087035	2	True
scerevisiae	scerevisiae	FP_persistent	persistent_FP	0	0.0	1032	0.91651865008881	2	False
scerevisiae	scerevisiae	FP_persistent	persistent_FP	1	0.2	21	0.018650088809946713	2	False
scerevisiae	scerevisiae	FP_persistent	persistent_FP	2	0.4	7	0.006216696269982238	2	True
scerevisiae	scerevisiae	FP_persistent	persistent_FP	3	0.6	9	0.007992895204262877	2	True
scerevisiae	scerevisiae	FP_persistent	persistent_FP	4	0.8	19	0.016873889875666074	2	True
scerevisiae	scerevisiae	FP_persistent	persistent_FP	5	1.0	38	0.03374777975133215	2	True
