protocol	species	space	metric	n	mean	std	variance
fgraminearum_newlabel	fgraminearum	bio_esm2_hidden	centroid_distance	5	24.24880599975586	0.8444143098438381	0.7130355266690455
fgraminearum_newlabel	fgraminearum	bio_esm2_hidden	davies_bouldin_index	5	2.0835460944387245	0.04910435114230743	0.0024112373011070287
fgraminearum_newlabel	fgraminearum	bio_esm2_hidden	silhouette_score	5	-0.1680857867002487	0.00891880705965814	7.954511936740787e-05
fgraminearum_newlabel	fgraminearum	bio_esm2_input	centroid_distance	5	13.08339786529541	0.0	0.0
fgraminearum_newlabel	fgraminearum	bio_esm2_input	davies_bouldin_index	5	5.592016398438006	0.0	0.0
fgraminearum_newlabel	fgraminearum	bio_esm2_input	silhouette_score	5	0.009185663424432278	0.0	0.0
fgraminearum_newlabel	fgraminearum	bio_hidden	centroid_distance	5	3.507213020324707	0.17033014413293582	0.029012358000346693
fgraminearum_newlabel	fgraminearum	bio_hidden	davies_bouldin_index	5	2.8418955370454384	0.10353961439774442	0.010720451749633604
fgraminearum_newlabel	fgraminearum	bio_hidden	silhouette_score	5	-0.07244081795215607	0.030292773477016973	0.000917652124929863
fgraminearum_newlabel	fgraminearum	bio_input	centroid_distance	5	2.6864843368530273	0.0	0.0
fgraminearum_newlabel	fgraminearum	bio_input	davies_bouldin_index	5	6.007790224993793	0.0	0.0
fgraminearum_newlabel	fgraminearum	bio_input	silhouette_score	5	0.1295320838689804	0.0	0.0
scerevisiae	scerevisiae	bio_esm2_hidden	centroid_distance	5	15.238016128540039	0.7904111017189839	0.6247497097206179
scerevisiae	scerevisiae	bio_esm2_hidden	davies_bouldin_index	5	2.884770904274739	0.20714005406514738	0.042907001998112176
scerevisiae	scerevisiae	bio_esm2_hidden	silhouette_score	5	-0.08308968245983124	0.013307872307861042	0.0001770994653623348
scerevisiae	scerevisiae	bio_esm2_input	centroid_distance	5	8.511728286743164	0.0	0.0
scerevisiae	scerevisiae	bio_esm2_input	davies_bouldin_index	5	8.283249370460808	0.0	0.0
scerevisiae	scerevisiae	bio_esm2_input	silhouette_score	5	-0.012594479136168957	0.0	0.0
scerevisiae	scerevisiae	bio_hidden	centroid_distance	5	3.998617172241211	0.17402286015395485	0.030283955856162927
scerevisiae	scerevisiae	bio_hidden	davies_bouldin_index	5	2.9991178616163077	0.15510762998235808	0.024058376878744108
scerevisiae	scerevisiae	bio_hidden	silhouette_score	5	0.041417695581912994	0.013783386261615177	0.000189981736836882
scerevisiae	scerevisiae	bio_input	centroid_distance	5	4.017195701599121	0.0	0.0
scerevisiae	scerevisiae	bio_input	davies_bouldin_index	5	4.84108692658611	0.0	0.0
scerevisiae	scerevisiae	bio_input	silhouette_score	5	0.06377463042736053	0.0	0.0
