protocol	species	gene_set	gene_set_definition	feature_group	n_genes	mean_contribution	median_contribution	std_contribution	min_contribution	max_contribution
fgraminearum_newlabel	fgraminearum	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	ESM2	113	0.4123961719263971	0.43814587593078613	0.08209114288940839	0.14836337566375732	0.5523224532604217
fgraminearum_newlabel	fgraminearum	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	EXP	113	0.009460075344659586	0.005624175071716309	0.03506016544008926	-0.08813211917877198	0.2220715582370758
fgraminearum_newlabel	fgraminearum	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	ORT	113	0.0063169370710322295	0.005183076858520508	0.013856877372235137	-0.03464088439941406	0.09140377044677735
fgraminearum_newlabel	fgraminearum	always_correct_TP	essential genes with `TP_stable == n_seeds_observed`	SUB	113	0.013907419316536556	0.008531296253204345	0.03350789087514937	-0.0922216534614563	0.1607166051864624
fgraminearum_newlabel	fgraminearum	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ESM2	94	-0.37985400560316707	-0.4002192312007537	0.10321866382907012	-0.552590494346805	-0.058099179342389104
fgraminearum_newlabel	fgraminearum	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	EXP	94	-0.00996241527086049	-0.0007789996219798923	0.04083211855481687	-0.27619731295853855	0.10139010846614838
fgraminearum_newlabel	fgraminearum	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	ORT	94	-0.005059089043781073	-0.0004774214141150424	0.015211431140491272	-0.058875402179546656	0.039692848920822144
fgraminearum_newlabel	fgraminearum	corrected_FP	non-essential genes with `FP_to_TN_corrected == n_seeds_observed`	SUB	94	-0.004381827730551053	-6.14712404376494e-06	0.04908353252037369	-0.31386587489396334	0.15666658580303192
fgraminearum_newlabel	fgraminearum	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	ESM2	25	-0.3606393900319616	-0.37383478304254825	0.07560293586782083	-0.49001408646872735	-0.15605673408135773
fgraminearum_newlabel	fgraminearum	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	EXP	25	-0.02317897880862322	-0.00988355259905802	0.03539252608281518	-0.15047161169350148	0.017640129942446948
fgraminearum_newlabel	fgraminearum	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	ORT	25	-0.012767360121798008	-0.007775439410761464	0.027131918971019516	-0.12474119924008846	0.03328692894428968
fgraminearum_newlabel	fgraminearum	persistent_FN	essential genes with `FN_persistent == n_seeds_observed`	SUB	25	-0.02910309519094637	-0.007451452543318737	0.03512567139406466	-0.1154031578451395	0.00846184252295643
fgraminearum_newlabel	fgraminearum	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	ESM2	23	0.23570064175873995	0.2407606601715088	0.19603049023275715	-0.13584508895874023	0.5424903333187103
fgraminearum_newlabel	fgraminearum	stable_rescued	essential genes with `stable_rescued_ge2 = True` (Figure5a consensus threshold >= 2 seeds)	EXP	23	-0.00423107685321314	-0.001581394672393799	0.16592463073840938	-0.23922181576490403	0.6770406414842001
