protocol	species	feature_group	reference_gene_set	comparison_gene_set	reference_n_genes	comparison_n_genes	reference_mean	comparison_mean	reference_median	comparison_median	mean_difference_reference_minus_comparison	median_difference_reference_minus_comparison	mannwhitney_u	mannwhitney_pvalue	test_available	mannwhitney_fdr_bh
fgraminearum_newlabel	fgraminearum	ORT	stable_rescued	always_correct_TP	23	113	0.00054796844064106	0.006316937071032228	0.002672290802001953	0.005183076858520508	-0.005768968630391167	-0.002510786056518555	1079.0	0.20154101948794234	true	0.31534529481807283
fgraminearum_newlabel	fgraminearum	ORT	stable_rescued	persistent_FN	23	25	0.00054796844064106	-0.012767360121798006	0.002672290802001953	-0.007775439410761464	0.013315328562439065	0.010447730212763417	349.0	0.20806932078640417	true	0.31534529481807283
fgraminearum_newlabel	fgraminearum	ORT	stable_rescued	corrected_FP	23	94	0.00054796844064106	-0.005059089043781073	0.002672290802001953	-0.0004774214141150424	0.005607057484422133	0.0031497122161169957	1192.0	0.4485399524182231	true	0.5372580112847184
fgraminearum_newlabel	fgraminearum	EXP	stable_rescued	always_correct_TP	23	113	-0.00423107685321314	0.009460075344659586	-0.001581394672393799	0.005624175071716309	-0.013691152197872727	-0.007205569744110107	989.0	0.07191536895377744	true	0.15690625953551443
fgraminearum_newlabel	fgraminearum	EXP	stable_rescued	persistent_FN	23	25	-0.00423107685321314	-0.023178978808623227	-0.001581394672393799	-0.00988355259905802	0.018947901955410087	0.008302157926664222	323.0	0.4701007598741286	true	0.5372580112847184
fgraminearum_newlabel	fgraminearum	EXP	stable_rescued	corrected_FP	23	94	-0.00423107685321314	-0.00996241527086049	-0.001581394672393799	-0.0007789996219798923	0.005731338417647351	-0.0008023950504139066	1053.0	0.8504019826026558	true	0.8873759818462494
fgraminearum_newlabel	fgraminearum	SUB	stable_rescued	always_correct_TP	23	113	-0.0013608604602031074	0.013907419316536556	-0.0026825770735740663	0.008531296253204345	-0.015268279776739663	-0.011213873326778413	843.0	0.00811536002325564	true	0.02434608006976692
fgraminearum_newlabel	fgraminearum	SUB	stable_rescued	persistent_FN	23	25	-0.0013608604602031074	-0.029103095190946372	-0.0026825770735740663	-0.007451452543318737	0.027742234730743266	0.004768875469744671	347.0	0.22336958382946825	true	0.31534529481807283
fgraminearum_newlabel	fgraminearum	SUB	stable_rescued	corrected_FP	23	94	-0.0013608604602031074	-0.004381827730551053	-0.0026825770735740663	-6.14712404376494e-06	0.0030209672703479457	-0.0026764299495303013	957.0	0.3969893362631801	true	0.5293191150175736
fgraminearum_newlabel	fgraminearum	ESM2	stable_rescued	always_correct_TP	23	113	0.23570064175873992	0.4123961719263971	0.2407606601715088	0.43814587593078613	-0.17669553016765718	-0.19738521575927734	612.0	6.655847230909527e-05	true	0.0003194806670836573
