fusion_method	threshold	metric	mean	sd	n	split_used
Concat	0.0	F1	0.16768759571209801	0.0	5	test
Concat	0.01	F1	0.4171600135037686	0.04694067625952149	5	test
Concat	0.02	F1	0.43330146208575676	0.04768165536549571	5	test
Concat	0.03	F1	0.4463078091101879	0.04772559376438108	5	test
Concat	0.04	F1	0.45619044322802454	0.04554548687110931	5	test
Concat	0.05	F1	0.4596973533384087	0.04088115235250113	5	test
Concat	0.06	F1	0.4674452232824488	0.04099666576215947	5	test
Concat	0.07	F1	0.4715762695397972	0.03874105909611999	5	test
Concat	0.08	F1	0.4775001003789295	0.040291924090715796	5	test
Concat	0.09	F1	0.47867800977057706	0.037338434608766166	5	test
Concat	0.1	F1	0.4809944592164392	0.03591034955133467	5	test
Concat	0.11	F1	0.485350490505071	0.035871393523435546	5	test
Concat	0.12	F1	0.49022926614441753	0.03478212060059264	5	test
Concat	0.13	F1	0.493510191232066	0.034091575795832406	5	test
Concat	0.14	F1	0.493761648088442	0.03423526901051814	5	test
Concat	0.15	F1	0.4966093779175278	0.032699242371258694	5	test
Concat	0.16	F1	0.49869356690526273	0.03231173255582753	5	test
Concat	0.17	F1	0.5008842589479078	0.031930589872887064	5	test
Concat	0.18	F1	0.5037110770740257	0.03105553488037435	5	test
Concat	0.19	F1	0.5062683750843779	0.031914167693740184	5	test
Concat	0.2	F1	0.5061524432614962	0.030487620123801205	5	test
Concat	0.21	F1	0.5082249350842765	0.03242321142475678	5	test
Concat	0.22	F1	0.5089392720474886	0.03208522271982472	5	test
Concat	0.23	F1	0.5086895727925013	0.030518999100564208	5	test
Concat	0.24	F1	0.5107192140212831	0.030533476297794914	5	test
Concat	0.25	F1	0.5120525689923878	0.029842235315866217	5	test
Concat	0.26	F1	0.5138497998031263	0.029440601352506365	5	test
Concat	0.27	F1	0.5157483506904542	0.029055086019184908	5	test
Concat	0.28	F1	0.5179286462420144	0.02937048747014072	5	test
Concat	0.29	F1	0.5189745850475472	0.028265184998764334	5	test
Concat	0.3	F1	0.5201724091226588	0.0288057903675747	5	test
Concat	0.31	F1	0.5223515305763844	0.027455805245796425	5	test
Concat	0.32	F1	0.5235099432629235	0.026973346755777467	5	test
Concat	0.33	F1	0.5240490188172583	0.026489274545146057	5	test
Concat	0.34	F1	0.5261671879121051	0.02873636730618631	5	test
Concat	0.35	F1	0.5282305740425419	0.02927430952772506	5	test
Concat	0.36	F1	0.5307427059911465	0.028931355745857253	5	test
Concat	0.37	F1	0.531553269442135	0.02904268251948976	5	test
Concat	0.38	F1	0.531455982347585	0.029702490920863574	5	test
Concat	0.39	F1	0.5315280405358399	0.026943058746760794	5	test
Concat	0.4	F1	0.5322319789253865	0.023996294622401347	5	test
Concat	0.41	F1	0.532483657196147	0.022582938502422996	5	test
Concat	0.42	F1	0.5335853210341774	0.02180063813549847	5	test
Concat	0.43	F1	0.5344284478380985	0.02012982584740343	5	test
Concat	0.44	F1	0.5342689963087051	0.01857844642727827	5	test
Concat	0.45	F1	0.5345696122646084	0.01826823226027271	5	test
Concat	0.46	F1	0.5353717655482748	0.02047085945642608	5	test
Concat	0.47	F1	0.5363660747736817	0.01749101513458823	5	test
Concat	0.48	F1	0.5384115005967626	0.015395821359631951	5	test
Concat	0.49	F1	0.5401486532531032	0.015343583379218957	5	test
Concat	0.5	F1	0.5396852732110048	0.011696737517824742	5	test
Concat	0.51	F1	0.5405654255688839	0.011100137594859725	5	test
Concat	0.52	F1	0.5431968372338973	0.011550446778322732	5	test
Concat	0.53	F1	0.5444381000378747	0.010414470244526488	5	test
Concat	0.54	F1	0.5450929447549228	0.013350433879486865	5	test
Concat	0.55	F1	0.5455935393934048	0.012278209787579063	5	test
Concat	0.56	F1	0.5467500524966123	0.009515430039716173	5	test
Concat	0.57	F1	0.546304701450806	0.010861941206158843	5	test
Concat	0.58	F1	0.5446142096318531	0.009563052362450898	5	test
Concat	0.59	F1	0.5448255325202209	0.008954334704473994	5	test
Concat	0.6	F1	0.5429515312718485	0.008717092275120866	5	test
Concat	0.61	F1	0.542059308681085	0.010080566851205423	5	test
Concat	0.62	F1	0.5419890327644737	0.009371353324200398	5	test
Concat	0.63	F1	0.5434881380588633	0.010126363603418086	5	test
Concat	0.64	F1	0.5428230287722926	0.012410893758132212	5	test
Concat	0.65	F1	0.5430604316680465	0.011120847158044265	5	test
Concat	0.66	F1	0.5439872782942686	0.011344765656054419	5	test
Concat	0.67	F1	0.5428462334009618	0.009487182676829256	5	test
Concat	0.68	F1	0.5437966057254169	0.012007621811779366	5	test
Concat	0.69	F1	0.5444346761372116	0.010399255677775611	5	test
Concat	0.7	F1	0.542688695791768	0.01301793216185425	5	test
Concat	0.71	F1	0.5422028960782319	0.013040604724774493	5	test
Concat	0.72	F1	0.5430746913676006	0.011148188902154568	5	test
Concat	0.73	F1	0.5469122637578605	0.007679206975097365	5	test
Concat	0.74	F1	0.5449186669376609	0.003171036869284514	5	test
Concat	0.75	F1	0.5451335252790613	0.005288775103864237	5	test
Concat	0.76	F1	0.5386442756439825	0.005065060327534664	5	test
Concat	0.77	F1	0.5353013292190121	0.006002013006073069	5	test
Concat	0.78	F1	0.5335970216866	0.007477792741322514	5	test
Concat	0.79	F1	0.5262644648591378	0.009807214529023908	5	test
Concat	0.8	F1	0.5215372623994375	0.010675036034016669	5	test
Concat	0.81	F1	0.5188616501394507	0.005961827584648578	5	test
Concat	0.82	F1	0.5157164858136274	0.008164880494651505	5	test
Concat	0.83	F1	0.5112778607053071	0.008730430976194876	5	test
Concat	0.84	F1	0.508917912238478	0.008954387202315445	5	test
Concat	0.85	F1	0.49940627987452413	0.013213892730005231	5	test
Concat	0.86	F1	0.49416182028745154	0.007621867683780734	5	test
Concat	0.87	F1	0.49031793251243705	0.005962714623964687	5	test
Concat	0.88	F1	0.4869711158349951	0.007116890685253168	5	test
Concat	0.89	F1	0.47956462228578456	0.01327303067464203	5	test
Concat	0.9	F1	0.4701406367813485	0.00977932403607339	5	test
Concat	0.91	F1	0.46154371986581	0.005475324526798866	5	test
Concat	0.92	F1	0.44383439297363836	0.015455809281032337	5	test
Concat	0.93	F1	0.4277823048557209	0.02295419749469903	5	test
Concat	0.94	F1	0.3964920030403895	0.02550289117164779	5	test
Concat	0.95	F1	0.36409816177462784	0.024340057825643073	5	test
Concat	0.96	F1	0.32088201728955473	0.03194781035419112	5	test
Concat	0.97	F1	0.2644246810578763	0.05120880515180735	5	test
Concat	0.98	F1	0.17636287482628143	0.04893487720270636	5	test
Concat	0.99	F1	0.08451887491873486	0.023954725157022967	5	test
Concat	1.0	F1	0.0	0.0	5	test
Gated	0.0	F1	0.16768759571209801	0.0	5	test
Gated	0.01	F1	0.32790330465537876	0.0464551054832892	5	test
Gated	0.02	F1	0.352911063919395	0.04349539679402194	5	test
Gated	0.03	F1	0.3688172674083495	0.03941721241339339	5	test
Gated	0.04	F1	0.37867025106206736	0.03767465048067382	5	test
Gated	0.05	F1	0.38671775765779004	0.035857132050218773	5	test
Gated	0.06	F1	0.3940059347176047	0.033834967188565136	5	test
Gated	0.07	F1	0.4001683757821576	0.03237469773679738	5	test
Gated	0.08	F1	0.4048620237263229	0.0290471780080083	5	test
Gated	0.09	F1	0.408453470782075	0.02836708957563713	5	test
