source_layer	source_node	target_layer	target_node	count
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000007	4
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000013	3
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000025	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000026	3
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000033	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000038	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000042	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000045	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000059	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000061	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000068	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000071	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000081	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000082	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000084	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000086	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000087	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000089	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000095	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000097	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000100	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000101	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000107	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000112	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000113	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000114	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000118	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000138	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000139	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000166	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000191	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000202	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000207	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000229	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000235	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000249	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000253	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000273	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000276	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000335	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000343	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000355	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000392	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000455	2
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000457	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000475	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000492	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000494	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000495	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000519	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000528	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000530	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000546	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000548	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000552	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000559	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000566	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000569	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000572	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000598	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000646	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000653	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000676	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000718	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000740	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000756	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000760	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000775	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000779	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000824	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000847	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000849	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000851	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000893	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000932	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0000962	1
