layer	node	count
Layer1_YeastSupportSource	both	682
Layer1_YeastSupportSource	scer_only	147
Layer1_YeastSupportSource	spom_only	534
Layer2_Orthogroup	OG0000002	3
Layer2_Orthogroup	OG0000007	4
Layer2_Orthogroup	OG0000013	3
Layer2_Orthogroup	OG0000014	3
Layer2_Orthogroup	OG0000017	2
Layer2_Orthogroup	OG0000018	2
Layer2_Orthogroup	OG0000025	2
Layer2_Orthogroup	OG0000026	3
Layer2_Orthogroup	OG0000027	2
Layer2_Orthogroup	OG0000028	2
Layer2_Orthogroup	OG0000033	2
Layer2_Orthogroup	OG0000037	2
Layer2_Orthogroup	OG0000038	2
Layer2_Orthogroup	OG0000039	2
Layer2_Orthogroup	OG0000041	2
Layer2_Orthogroup	OG0000042	2
Layer2_Orthogroup	OG0000043	2
Layer2_Orthogroup	OG0000045	2
Layer2_Orthogroup	OG0000046	2
Layer2_Orthogroup	OG0000049	2
Layer2_Orthogroup	OG0000058	2
Layer2_Orthogroup	OG0000059	2
Layer2_Orthogroup	OG0000061	2
Layer2_Orthogroup	OG0000062	2
Layer2_Orthogroup	OG0000063	2
Layer2_Orthogroup	OG0000064	2
Layer2_Orthogroup	OG0000067	2
Layer2_Orthogroup	OG0000068	2
Layer2_Orthogroup	OG0000069	2
Layer2_Orthogroup	OG0000071	2
Layer2_Orthogroup	OG0000081	2
Layer2_Orthogroup	OG0000082	2
Layer2_Orthogroup	OG0000084	2
Layer2_Orthogroup	OG0000086	2
Layer2_Orthogroup	OG0000087	2
Layer2_Orthogroup	OG0000088	2
Layer2_Orthogroup	OG0000089	2
Layer2_Orthogroup	OG0000092	2
Layer2_Orthogroup	OG0000095	2
Layer2_Orthogroup	OG0000097	2
Layer2_Orthogroup	OG0000098	2
Layer2_Orthogroup	OG0000100	2
Layer2_Orthogroup	OG0000101	2
Layer2_Orthogroup	OG0000103	2
Layer2_Orthogroup	OG0000107	2
Layer2_Orthogroup	OG0000112	2
Layer2_Orthogroup	OG0000113	2
Layer2_Orthogroup	OG0000114	2
Layer2_Orthogroup	OG0000116	2
Layer2_Orthogroup	OG0000118	2
Layer2_Orthogroup	OG0000130	2
Layer2_Orthogroup	OG0000132	2
Layer2_Orthogroup	OG0000138	2
Layer2_Orthogroup	OG0000139	2
Layer2_Orthogroup	OG0000142	2
Layer2_Orthogroup	OG0000155	2
Layer2_Orthogroup	OG0000166	2
Layer2_Orthogroup	OG0000167	2
Layer2_Orthogroup	OG0000169	2
Layer2_Orthogroup	OG0000171	1
Layer2_Orthogroup	OG0000191	2
Layer2_Orthogroup	OG0000196	2
Layer2_Orthogroup	OG0000200	1
Layer2_Orthogroup	OG0000202	2
Layer2_Orthogroup	OG0000207	2
Layer2_Orthogroup	OG0000219	2
Layer2_Orthogroup	OG0000228	2
Layer2_Orthogroup	OG0000229	2
Layer2_Orthogroup	OG0000230	2
Layer2_Orthogroup	OG0000235	2
Layer2_Orthogroup	OG0000238	2
Layer2_Orthogroup	OG0000247	2
Layer2_Orthogroup	OG0000249	2
Layer2_Orthogroup	OG0000252	2
Layer2_Orthogroup	OG0000253	2
Layer2_Orthogroup	OG0000254	2
Layer2_Orthogroup	OG0000271	2
Layer2_Orthogroup	OG0000272	2
Layer2_Orthogroup	OG0000273	2
Layer2_Orthogroup	OG0000276	2
Layer2_Orthogroup	OG0000288	2
Layer2_Orthogroup	OG0000310	2
Layer2_Orthogroup	OG0000313	2
Layer2_Orthogroup	OG0000316	2
Layer2_Orthogroup	OG0000317	2
Layer2_Orthogroup	OG0000321	2
Layer2_Orthogroup	OG0000323	2
Layer2_Orthogroup	OG0000335	2
Layer2_Orthogroup	OG0000343	1
Layer2_Orthogroup	OG0000347	2
Layer2_Orthogroup	OG0000354	2
Layer2_Orthogroup	OG0000355	2
Layer2_Orthogroup	OG0000356	2
Layer2_Orthogroup	OG0000366	1
Layer2_Orthogroup	OG0000378	1
Layer2_Orthogroup	OG0000392	2
Layer2_Orthogroup	OG0000394	2
Layer2_Orthogroup	OG0000397	2
Layer2_Orthogroup	OG0000447	1
Layer2_Orthogroup	OG0000455	2
Layer2_Orthogroup	OG0000457	1
Layer2_Orthogroup	OG0000470	1
Layer2_Orthogroup	OG0000471	1
Layer2_Orthogroup	OG0000475	1
Layer2_Orthogroup	OG0000492	1
Layer2_Orthogroup	OG0000494	1
Layer2_Orthogroup	OG0000495	1
Layer2_Orthogroup	OG0000499	1
Layer2_Orthogroup	OG0000503	1
Layer2_Orthogroup	OG0000514	1
Layer2_Orthogroup	OG0000519	1
Layer2_Orthogroup	OG0000528	1
Layer2_Orthogroup	OG0000530	1
Layer2_Orthogroup	OG0000531	1
Layer2_Orthogroup	OG0000533	1
Layer2_Orthogroup	OG0000546	1
Layer2_Orthogroup	OG0000548	1
Layer2_Orthogroup	OG0000550	1
Layer2_Orthogroup	OG0000551	1
Layer2_Orthogroup	OG0000552	1
Layer2_Orthogroup	OG0000559	1
Layer2_Orthogroup	OG0000563	1
Layer2_Orthogroup	OG0000566	1
Layer2_Orthogroup	OG0000569	1
Layer2_Orthogroup	OG0000572	1
Layer2_Orthogroup	OG0000584	1
Layer2_Orthogroup	OG0000598	1
Layer2_Orthogroup	OG0000609	1
Layer2_Orthogroup	OG0000616	1
Layer2_Orthogroup	OG0000642	1
Layer2_Orthogroup	OG0000646	1
Layer2_Orthogroup	OG0000653	1
Layer2_Orthogroup	OG0000657	1
Layer2_Orthogroup	OG0000660	1
Layer2_Orthogroup	OG0000669	1
Layer2_Orthogroup	OG0000676	1
Layer2_Orthogroup	OG0000678	1
Layer2_Orthogroup	OG0000684	1
Layer2_Orthogroup	OG0000694	1
Layer2_Orthogroup	OG0000712	1
Layer2_Orthogroup	OG0000718	1
Layer2_Orthogroup	OG0000740	1
Layer2_Orthogroup	OG0000742	1
Layer2_Orthogroup	OG0000752	1
Layer2_Orthogroup	OG0000756	1
Layer2_Orthogroup	OG0000760	1
Layer2_Orthogroup	OG0000772	1
Layer2_Orthogroup	OG0000773	1
Layer2_Orthogroup	OG0000775	1
Layer2_Orthogroup	OG0000779	1
Layer2_Orthogroup	OG0000781	1
Layer2_Orthogroup	OG0000783	1
Layer2_Orthogroup	OG0000789	1
Layer2_Orthogroup	OG0000794	1
Layer2_Orthogroup	OG0000807	1
Layer2_Orthogroup	OG0000814	1
Layer2_Orthogroup	OG0000824	1
Layer2_Orthogroup	OG0000829	1
Layer2_Orthogroup	OG0000836	1
Layer2_Orthogroup	OG0000838	1
Layer2_Orthogroup	OG0000844	1
Layer2_Orthogroup	OG0000847	1
Layer2_Orthogroup	OG0000849	1
Layer2_Orthogroup	OG0000851	1
Layer2_Orthogroup	OG0000855	1
Layer2_Orthogroup	OG0000859	1
Layer2_Orthogroup	OG0000863	1
Layer2_Orthogroup	OG0000864	1
Layer2_Orthogroup	OG0000873	1
Layer2_Orthogroup	OG0000893	1
Layer2_Orthogroup	OG0000906	1
Layer2_Orthogroup	OG0000914	1
Layer2_Orthogroup	OG0000930	1
Layer2_Orthogroup	OG0000932	1
Layer2_Orthogroup	OG0000939	1
Layer2_Orthogroup	OG0000955	1
Layer2_Orthogroup	OG0000957	1
Layer2_Orthogroup	OG0000962	1
Layer2_Orthogroup	OG0000966	1
Layer2_Orthogroup	OG0000975	1
Layer2_Orthogroup	OG0000978	2
Layer2_Orthogroup	OG0000979	1
Layer2_Orthogroup	OG0000990	1
Layer2_Orthogroup	OG0000993	1
Layer2_Orthogroup	OG0001003	1
Layer2_Orthogroup	OG0001012	1
Layer2_Orthogroup	OG0001016	1
Layer2_Orthogroup	OG0001022	1
Layer2_Orthogroup	OG0001024	1
Layer2_Orthogroup	OG0001028	1
Layer2_Orthogroup	OG0001037	1
Layer2_Orthogroup	OG0001039	2
Layer2_Orthogroup	OG0001044	1
Layer2_Orthogroup	OG0001045	1
Layer2_Orthogroup	OG0001046	1
Layer2_Orthogroup	OG0001050	1
Layer2_Orthogroup	OG0001053	1
Layer2_Orthogroup	OG0001059	1
Layer2_Orthogroup	OG0001079	1
Layer2_Orthogroup	OG0001081	1
Layer2_Orthogroup	OG0001088	1
Layer2_Orthogroup	OG0001089	1
Layer2_Orthogroup	OG0001092	1
Layer2_Orthogroup	OG0001093	1
Layer2_Orthogroup	OG0001094	1
Layer2_Orthogroup	OG0001096	1
Layer2_Orthogroup	OG0001103	1
Layer2_Orthogroup	OG0001104	1
Layer2_Orthogroup	OG0001107	1
Layer2_Orthogroup	OG0001113	1
Layer2_Orthogroup	OG0001115	1
Layer2_Orthogroup	OG0001116	1
Layer2_Orthogroup	OG0001118	1
Layer2_Orthogroup	OG0001119	1
Layer2_Orthogroup	OG0001123	1
Layer2_Orthogroup	OG0001126	1
Layer2_Orthogroup	OG0001129	1
Layer2_Orthogroup	OG0001144	1
Layer2_Orthogroup	OG0001145	1
Layer2_Orthogroup	OG0001146	1
Layer2_Orthogroup	OG0001150	1
Layer2_Orthogroup	OG0001151	1
Layer2_Orthogroup	OG0001169	1
Layer2_Orthogroup	OG0001176	1
Layer2_Orthogroup	OG0001177	1
Layer2_Orthogroup	OG0001179	1
Layer2_Orthogroup	OG0001183	1
Layer2_Orthogroup	OG0001185	1
Layer2_Orthogroup	OG0001188	1
Layer2_Orthogroup	OG0001191	1
Layer2_Orthogroup	OG0001195	1
