gene_id	split	split_source	split_strategy	random_seed
WBGene00000064	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000066	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000067	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000098	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000142	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000158	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000159	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000160	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000183	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000197	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000207	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000230	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000235	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000292	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000371	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000377	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000378	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000380	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000381	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000410	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000413	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000502	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000549	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000585	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000833	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000836	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000868	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000869	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000871	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000872	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000890	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000915	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000923	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000933	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000962	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00000994	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001006	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001028	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001094	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001102	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001130	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001166	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001167	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001209	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001215	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001225	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001226	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001227	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001228	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001229	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001230	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001231	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001235	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001236	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001281	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001303	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001333	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001358	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001423	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001481	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001497	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001498	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001511	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001513	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001557	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001566	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001568	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001580	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001595	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001834	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001876	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001877	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001880	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001881	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001885	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001886	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001889	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001890	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001891	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001893	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001895	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001901	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001903	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001904	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001906	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001907	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001908	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001914	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001917	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001918	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001920	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001921	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001922	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001923	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001925	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001927	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001930	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001931	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001932	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001934	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001935	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001936	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001938	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001939	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001940	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001941	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001942	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001974	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00001978	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002000	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002001	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002005	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002025	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002045	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002046	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002047	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002064	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002068	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002073	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002075	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002076	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002079	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002083	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002130	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002131	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002196	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002229	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002238	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002247	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002363	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002632	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002845	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002879	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002889	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002985	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00002994	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003002	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003009	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003047	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003048	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003061	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003071	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003073	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003074	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003123	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003154	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003155	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003156	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003159	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003162	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003184	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003209	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003229	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003231	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003392	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003393	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003415	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003596	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003777	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003788	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003795	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003797	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003806	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003818	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003825	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003834	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003836	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003901	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003904	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003912	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003922	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003924	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003925	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003926	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003927	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003928	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003939	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003949	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003951	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00003989	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004011	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004013	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004014	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004015	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004016	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004027	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004042	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004078	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004090	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004101	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004125	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004136	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004180	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004181	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004187	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004188	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004189	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004268	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004303	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004312	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004320	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004340	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004343	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004357	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004374	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004390	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004391	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004392	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004412	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004414	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004415	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004417	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004419	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004420	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004421	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004422	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004423	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004424	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004425	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004426	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004429	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004430	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004432	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004434	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004435	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004436	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004439	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004448	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004449	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004450	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004454	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004456	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004458	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004459	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004460	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004464	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004467	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004472	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004473	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004474	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004476	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004478	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004482	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004483	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004484	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004486	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004489	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004490	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004492	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004495	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004497	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004503	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004505	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004679	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004726	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004738	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004754	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004755	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004765	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004806	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004808	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004915	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004916	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004919	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004920	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00004955	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00005022	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00005663	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006307	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006311	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006373	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006374	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006379	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006481	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006497	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006515	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006537	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006552	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006565	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006573	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006648	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006699	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006727	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006733	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006773	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006826	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006836	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006910	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006911	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006913	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006917	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006920	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006921	train	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006940	test	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006945	val	ProGATE_v2_stratified_rebuild	70/15/15	42
WBGene00006997	test	ProGATE_v2_stratified_rebuild	70/15/15	42
