Gene,Cytoplasm,Cell membrane,Mitochondrion,Endoplasmic reticulum,Vacuole,Secreted,Nucleus,Peroxisome,Golgi,Endosome,Multi-pass membrane,Cytoskeleton
FGRAMPH1_01G00001,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00003,0,1,0,1,0,0,0,0,1,0,1,0
FGRAMPH1_01G00005,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00007,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00009,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00011,1,0,0,0,0,1,0,1,0,0,0,0
FGRAMPH1_01G00013,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00015,0,1,0,0,0,1,1,0,0,0,0,0
FGRAMPH1_01G00017,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00019,0,0,1,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00021,1,0,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00023,0,0,1,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00025,1,0,1,0,1,0,0,1,0,0,0,0
FGRAMPH1_01G00027,0,1,1,1,0,1,0,1,0,0,0,0
FGRAMPH1_01G00029,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00031,0,0,1,1,1,0,0,0,1,0,0,0
FGRAMPH1_01G00033,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00035,0,1,0,1,0,0,0,0,1,0,0,0
FGRAMPH1_01G00037,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00039,0,0,0,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00041,0,1,0,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00043,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00045,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00047,1,0,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00049,0,1,0,1,0,1,0,0,0,0,0,0
FGRAMPH1_01G00051,0,1,0,1,0,1,0,0,0,0,0,0
FGRAMPH1_01G00053,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00055,0,1,0,0,1,1,0,0,1,0,0,0
FGRAMPH1_01G00057,0,0,0,0,0,0,0,0,1,1,0,0
FGRAMPH1_01G00059,0,1,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00061,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00063,0,1,1,1,0,1,0,0,0,0,0,0
FGRAMPH1_01G00065,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00067,0,0,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00069,0,1,1,1,1,0,0,0,0,0,1,0
FGRAMPH1_01G00071,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00073,0,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00075,0,1,1,1,1,0,0,1,0,0,0,0
FGRAMPH1_01G00077,0,1,1,1,1,0,0,0,0,0,1,0
FGRAMPH1_01G00079,1,0,1,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00081,0,0,1,1,0,1,0,1,0,0,0,0
FGRAMPH1_01G00083,0,0,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00085,0,0,1,1,0,0,0,0,1,0,0,0
FGRAMPH1_01G00087,0,0,0,0,1,0,0,0,1,0,0,0
FGRAMPH1_01G00089,0,1,1,0,0,0,0,0,1,0,0,0
FGRAMPH1_01G00091,0,0,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00093,0,1,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00095,0,1,1,0,0,1,0,0,1,0,0,0
FGRAMPH1_01G00097,0,0,1,1,0,0,0,1,0,0,0,0
FGRAMPH1_01G00099,0,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00101,0,1,0,1,1,0,0,0,1,0,1,0
FGRAMPH1_01G00103,0,0,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00105,0,1,1,0,0,1,0,0,1,0,0,0
FGRAMPH1_01G00107,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00109,1,1,1,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00111,1,0,0,0,0,0,0,0,0,1,0,0
FGRAMPH1_01G00113,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00115,1,1,0,1,1,1,0,0,1,0,0,0
FGRAMPH1_01G00117,0,0,1,1,1,1,0,0,0,0,0,0
FGRAMPH1_01G00119,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00121,0,1,1,1,0,0,0,0,0,0,1,0
FGRAMPH1_01G00123,1,0,1,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00125,1,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00127,0,0,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00129,0,0,1,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00131,0,0,0,0,1,0,0,0,0,0,0,0
FGRAMPH1_01G00133,0,0,0,0,0,1,0,0,0,0,0,0
FGRAMPH1_01G00135,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00137,1,0,0,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00139,0,0,0,0,1,0,1,0,0,0,0,0
FGRAMPH1_01G00141,0,0,0,0,0,0,0,0,1,1,0,0
FGRAMPH1_01G00143,1,1,0,0,1,0,0,1,0,0,0,0
FGRAMPH1_01G00145,1,0,1,0,0,0,0,1,0,0,0,0
FGRAMPH1_01G00147,1,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00149,0,0,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00151,1,1,1,1,1,0,0,0,1,0,0,0
FGRAMPH1_01G00153,0,0,0,0,1,0,0,0,1,0,0,0
FGRAMPH1_01G00155,1,0,0,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00157,1,1,1,1,0,0,0,0,0,0,0,0
FGRAMPH1_01G00159,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00161,0,0,0,1,1,0,0,0,0,0,0,0
FGRAMPH1_01G00163,0,0,0,0,0,0,0,0,0,0,0,0
FGRAMPH1_01G00165,0,0,0,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00167,1,1,1,0,0,0,1,0,0,0,0,0
FGRAMPH1_01G00169,1,0,0,1,1,0,0,0,0,0,0,0
