gene_id	split	split_source	split_strategy	random_seed
FBgn0000022	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000032	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000036	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000037	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000044	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000075	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000084	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000092	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000094	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000100	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000120	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000121	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000139	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000152	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000158	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000181	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000206	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000216	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000241	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000244	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000246	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000247	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000259	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000278	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000286	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000299	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000316	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000318	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000337	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000352	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000355	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000356	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000358	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000359	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000360	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000384	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000392	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000404	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000405	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000406	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000416	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000422	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000427	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000442	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000454	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000455	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000477	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000489	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000500	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000527	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000529	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000535	val	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000559	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000562	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000565	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000594	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000611	test	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000618	train	ProGATE_v2_stratified_rebuild	70/15/15	42
FBgn0000633	train	ProGATE_v2_stratified_rebuild	70/15/15	42
