node_id	label	split	baseline_pred_label	baseline_pred_score	esm2_pred_label	esm2_pred_score	transition	protocol	species	seed	subset	delta_probability	transition_display	umap1	umap2
S000000001	1	test	1	0.6011439561843872	1	0.968433439731598	TP_stable	scerevisiae	scerevisiae	1029	test	0.3672894835472108	TP_stable	-4.0014653	0.6439995
S000000002	0	test	0	0.2912068367004394	0	0.0116737717762589	TN_stable	scerevisiae	scerevisiae	1029	test	-0.2795330649241805	TN_stable	-1.7156438	1.3877695
S000000008	0	test	0	0.2354755103588104	0	2.4854840376065116e-05	TN_stable	scerevisiae	scerevisiae	1029	test	-0.23545065551843433	TN_stable	-0.14517264	0.40371567
S000000010	0	test	1	0.5231437087059021	0	0.2090572565793991	FP_to_TN_corrected	scerevisiae	scerevisiae	1029	test	-0.314086452126503	FP_to_TN_corrected	-2.1683064	-2.9503167
S000000020	0	test	0	0.05542017146945	0	3.807475422945572e-06	TN_stable	scerevisiae	scerevisiae	1029	test	-0.05541636399402705	TN_stable	0.17029008	-0.10698731
S000000024	0	test	1	0.6918279528617859	0	0.0499237924814224	FP_to_TN_corrected	scerevisiae	scerevisiae	1029	test	-0.6419041603803635	FP_to_TN_corrected	-2.2813382	-1.0344893
S000000027	0	test	0	0.1099463701248169	1	0.8013213276863098	TN_to_FP_regressed	scerevisiae	scerevisiae	1029	test	0.6913749575614929	TN_to_FP_regressed	-2.727879	-2.4822996
S000000029	0	test	0	0.2677317559719085	0	0.0014557628892362	TN_stable	scerevisiae	scerevisiae	1029	test	-0.2662759930826723	TN_stable	-1.2888504	1.1185699
S000000032	1	test	0	0.3561185598373413	1	0.9987999200820924	FN_to_TP_rescued	scerevisiae	scerevisiae	1029	test	0.6426813602447511	FN_to_TP_rescued	-4.423995	0.54662675
S000000033	0	test	1	0.8780502080917358	1	0.9747353196144104	FP_persistent	scerevisiae	scerevisiae	1029	test	0.09668511152267456	persistent_FP	-4.200963	-0.8368953
S000000039	1	test	0	0.301663875579834	0	0.0369315929710865	FN_persistent	scerevisiae	scerevisiae	1029	test	-0.2647322826087475	persistent_FN	-1.0092473	0.9574902
S000000040	0	test	1	0.691693127155304	0	0.0285583026707172	FP_to_TN_corrected	scerevisiae	scerevisiae	1029	test	-0.6631348244845867	FP_to_TN_corrected	-0.59721804	-2.7354922
S000000041	1	test	1	0.8976009488105774	1	0.986398696899414	TP_stable	scerevisiae	scerevisiae	1029	test	0.08879774808883656	TP_stable	-4.184646	1.1559592
S000000044	0	test	1	0.5556681156158447	0	0.0099451951682567	FP_to_TN_corrected	scerevisiae	scerevisiae	1029	test	-0.5457229204475881	FP_to_TN_corrected	-1.4202873	-2.9356394
S000000046	0	test	0	0.1113433390855789	0	0.0070423488505184	TN_stable	scerevisiae	scerevisiae	1029	test	-0.10430099023506051	TN_stable	-1.5453565	-0.9447556
