canonical_gene_id	historical_positive_sources	present_in_pre_reaudit_processed	present_in_post_rebuild_processed	status_after_rebuild	post_positive_sources	post_construction_bucket	post_supporting_xp_ids	post_supporting_orthogroup_ids	post_supporting_bridge_methods	historical_lethal_mapping_rule	historical_lethal_raw_gene_id	historical_lethal_raw_protein_id
fgraminearum::FGRAMPH1_01G00463	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011315781.1	OG0003206	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G00465	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011315782.1	OG0003207	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G00709	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011315906.1	OG0002726	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G00925	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316006.1	OG0002748	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G00927	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316007.1	OG0002749	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G00961	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316023.1	OG0002756	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G01091	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316086.1	OG0004026	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G01435	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316246.1	OG0001089	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G01765	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316403.1	OG0003097	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G02051	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316533.1	OG0001207	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G02169	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316593.1	OG0002134	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G02187	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316601.1	OG0001210	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G02193	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316604.1	OG0002140	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G02345	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316671.1	OG0002106	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G02527	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316759.1	OG0003126	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G02813	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316898.1	OG0003161	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G02879	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316928.1	OG0003167	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G02945	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316960.1	OG0001688	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G02969	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011316972.1	OG0001919	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G03055	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317009.1	OG0001044	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G03059	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317011.1	OG0001913	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G03189	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317070.1	OG0001530	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G03197	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317073.1	OG0000783	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G03317	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317135.1	OG0001746	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G03561	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317253.1	OG0002224	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G03715	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317328.1	OG0001761	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G03819	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317379.1	OG0001767	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G04003	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317466.1	OG0003529	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G04635	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317770.1	OG0003233	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G04669	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317787.1	OG0003243	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G04709	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317805.1	OG0001460	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G04713	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317807.1	OG0001039	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G04899	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011317900.1	OG0002038	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G05889	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318377.1	OG0002875	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G06013	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318438.1	OG0001380	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G06261	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318554.1	OG0002786	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G06609	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318718.1	OG0003478	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G06803	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318810.1	OG0001662	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G07133	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318964.1	OG0001644	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G07139	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318967.1	OG0001645	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G07159	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318977.1	OG0001710	ncbi_protein_id_via_unified_map			
fgraminearum::FGRAMPH1_01G07169	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318982.1	OG0001712	unified_plus_fgsg_support			
fgraminearum::FGRAMPH1_01G07207	weak_positive	false	true	recovered	weak_positive	high_confidence_yeast_transfer_positive	XP_011318999.1	OG0001715	ncbi_protein_id_via_unified_map			
