gene_id	canonical_gene_id	split	label	is_labeled	in_graph	score_baseline	score_ESM2	mean_raw_score_baseline	mean_raw_score_ESM2	rank_baseline	rank_ESM2	delta_score	percentile_gain	rank_gain	n_seeds_baseline	n_seeds_ESM2	top100_baseline	top100_ESM2	candidate_class_top100	top200_baseline	top200_ESM2	candidate_class_top200	top500_baseline	top500_ESM2	candidate_class_top500
FGRAMPH1_01G16349	fgraminearum::FGRAMPH1_01G16349	train	1.0	True	True	0.7783887566239153	0.9998924813762384	0.5100484251976013	0.9985379934310913	2864	1	0.22150372475232316	0.22150372475232316	2863	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G20699	FGRAMPH1_01G20699			False	True	0.9722448352661086	0.9996620843253206	0.9261832118034363	0.9971354484558106	334	2	0.027417249059211946	0.027417249059211946	332	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G27263	FGRAMPH1_01G27263			False	True	0.9696336686890408	0.99952384609477	0.9219551920890808	0.9963568329811097	380	3	0.02989017740572919	0.02989017740572919	377	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G20745	fgraminearum::FGRAMPH1_01G20745	train	1.0	True	True	0.942078181399278	0.9992473696336687	0.8765797138214111	0.9961172103881836	736	4	0.057169188234390655	0.057169188234390655	732	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G17083	fgraminearum::FGRAMPH1_01G17083	test	0.0	True	False	0.632501343982797	0.9991705706166961	0.2191460072994232	0.996734619140625	4692	5	0.3666692266338991	0.3666692266338991	4687	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G18095	fgraminearum::FGRAMPH1_01G18095	test	1.0	True	True	0.9747484832194149	0.9991705706166961	0.930586290359497	0.9964520096778869	303	6	0.024422087397281245	0.024422087397281245	297	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G02111	fgraminearum::FGRAMPH1_01G02111	test	1.0	True	True	0.9973120344059596	0.9991091314031181	0.9839759588241577	0.9952170491218567	25	7	0.001797096997158465	0.001797096997158465	18	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G26257	fgraminearum::FGRAMPH1_01G26257	train	1.0	True	True	0.9841333230934645	0.998924813762384	0.9484385132789612	0.9950661063194275	184	8	0.014791490668919494	0.014791490668919494	176	5	5	False	True	ESM2_unique	True	True	Shared	True	True	Shared
FGRAMPH1_01G18741	fgraminearum::FGRAMPH1_01G18741	train	1.0	True	True	0.9712003686352816	0.9987404961216496	0.9245358109474182	0.9947083592414856	351	9	0.027540127486368027	0.027540127486368027	342	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G22909	fgraminearum::FGRAMPH1_01G22909	test	1.0	True	True	0.9982489824130252	0.9987404961216496	0.9891971349716187	0.9947755575180054	15	10	0.0004915137086244359	0.0004915137086244359	5	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G06377	fgraminearum::FGRAMPH1_01G06377	val	1.0	True	True	0.9978649873281622	0.998632977497888	0.9870205879211426	0.9944143652915954	19	11	0.0007679901697258407	0.0007679901697258407	8	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G18365	fgraminearum::FGRAMPH1_01G18365	test	1.0	True	True	0.9986636971046771	0.9986176176944935	0.9917231798171997	0.994400930404663	10	12	-4.6079410183530456e-05	-4.6079410183530456e-05	-2	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G15207	fgraminearum::FGRAMPH1_01G15207	test	1.0	True	True	0.9905383611089779	0.99857153828431	0.9612903952598572	0.9948055386543274	103	13	0.00803317717533214	0.00803317717533214	90	5	5	False	True	ESM2_unique	True	True	Shared	True	True	Shared
FGRAMPH1_01G01091	fgraminearum::FGRAMPH1_01G01091	train	1.0	True	False	0.7264726211504493	0.9985561784809154	0.38298141956329346	0.9950322031974792	3509	14	0.2720835573304661	0.2720835573304661	3495	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G10303	fgraminearum::FGRAMPH1_01G10303	train	1.0	True	True	0.9370248060824821	0.9984486598571538	0.8674469232559204	0.994307279586792	807	15	0.061423853774671744	0.061423853774671744	792	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G26211	fgraminearum::FGRAMPH1_01G26211	train	1.0	True	True	0.9987712157284386	0.9983872206435758	0.9904865264892578	0.9942737102508545	9	16	-0.0003839950848628648	-0.0003839950848628648	-7	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G03561	fgraminearum::FGRAMPH1_01G03561	train	1.0	True	True	0.9977267490976116	0.9982950618232087	0.9863982558250427	0.9942199230194092	22	17	0.0005683127255970977	0.0005683127255970977	5	5	5	True	True	Shared	True	True	Shared	True	True	Shared
FGRAMPH1_01G06929	fgraminearum::FGRAMPH1_01G06929	train	1.0	True	True	0.9523846094769987	0.9981568235926581	0.8932438373565674	0.9939876317977905	585	18	0.04577221411565946	0.04577221411565946	567	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G06803	fgraminearum::FGRAMPH1_01G06803	train	1.0	True	False	0.818139927808924	0.998064664772291	0.6136512756347656	0.9943604469299316	2347	19	0.17992473696336708	0.17992473696336708	2328	5	5	False	True	ESM2_unique	False	True	ESM2_unique	False	True	ESM2_unique
FGRAMPH1_01G17979	fgraminearum::FGRAMPH1_01G17979	test	1.0	True	True	0.9832117348897935	0.9980032255587128	0.9464542746543885	0.9939223766326905	195	20	0.014791490668919272	0.014791490668919272	175	5	5	False	True	ESM2_unique	True	True	Shared	True	True	Shared
FGRAMPH1_01G17773	fgraminearum::FGRAMPH1_01G17773	train	1.0	True	True	0.9666385070271101	0.9979110667383457	0.9236149430274964	0.9936690926551819	410	21	0.03127255971123566	0.03127255971123566	389	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
FGRAMPH1_01G19999	fgraminearum::FGRAMPH1_01G19999	train	1.0	True	True	0.9687120804853698	0.9978957069349512	0.9208325028419495	0.9930146217346192	394	22	0.02918362644958139	0.02918362644958139	372	5	5	False	True	ESM2_unique	False	True	ESM2_unique	True	True	Shared
