source_protein_id	source_header	sequence_length	sequence_sha256	header_fgsg_id	legacy_protein_accession	legacy_seq_match_count	fgsg_candidate_count	unified_candidate_count	resolved_canonical_gene_id	bridge_status	bridge_method	mapping_confidence
XP_011315562.1	XP_011315562.1 hypothetical protein FGSG_11579 [Fusarium graminearum PH-1]	330	386b7c18cde44fbca4ca335690d101b63a8ca9666c931340f19873e53a6a6d64	FGSG_11579		0	1	1	fgraminearum::FGRAMPH1_01G00021	resolved	unified_plus_fgsg_support	
XP_011315563.1	XP_011315563.1 hypothetical protein FGSG_11580 [Fusarium graminearum PH-1]	115	571bc937c86e81aaf6320dbb4db38bd9b95854bc08bdbec2d98181cda4f1e6d7	FGSG_11580	I1S426	1	1	1	fgraminearum::FGRAMPH1_01G00019	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315564.1	XP_011315564.1 hypothetical protein FGSG_11581 [Fusarium graminearum PH-1]	465	2c4af703cf27fc783d9ea92907fa60bcd5a5a733d90e5453f99f1ea0e1885686	FGSG_11581	I1S427	1	1	1	fgraminearum::FGRAMPH1_01G00017	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315565.1	XP_011315565.1 hypothetical protein FGSG_11582 [Fusarium graminearum PH-1]	118	e7e7b67ef7db006745321ead902de18e546e3a93e0f9e101e50efcb8fe6c68db	FGSG_11582	I1S428	1	1	1	fgraminearum::FGRAMPH1_01G00015	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315566.1	XP_011315566.1 hypothetical protein FGSG_14022 [Fusarium graminearum PH-1]	444	ff9771198fcd228a14ef8469542be1047d3974d4f46b0de470ebeffee76f5694	FGSG_14022		0	1	1	fgraminearum::FGRAMPH1_01G00013	resolved	unified_plus_fgsg_support	
XP_011315567.1	XP_011315567.1 hypothetical protein FGSG_14023 [Fusarium graminearum PH-1]	415	d83ab5707e565479ee188846abcd96931767a22d0b94e30d10d13153e4ad4cdc	FGSG_14023		0	1	1	fgraminearum::FGRAMPH1_01G00013	resolved	unified_plus_fgsg_support	
XP_011315568.1	XP_011315568.1 hypothetical protein FGSG_11584 [Fusarium graminearum PH-1]	110	5c5c40a50a652d37c3d5892a3e61d16372b59353623b1ccdb49018d6d70d8892	FGSG_11584	I1S429	1	1	1	fgraminearum::FGRAMPH1_01G00011	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315569.1	XP_011315569.1 cytochrome P450 55A2 [Fusarium graminearum PH-1]	385	7a56f4b2f820a6531df9728141c3439d76a1533506188f371ed7be4f007fbe69			0	0	1	fgraminearum::FGRAMPH1_01G00009	resolved	ncbi_protein_id_via_unified_map	
XP_011315570.1	XP_011315570.1 hypothetical protein FGSG_11606 [Fusarium graminearum PH-1]	206	59d6b32bdf916d7a724036b3f8285fab038980f2faa3381c26b447fce2c427fc	FGSG_11606	I1S447	1	1	1	fgraminearum::FGRAMPH1_01G00003	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315571.1	XP_011315571.1 hypothetical protein FGSG_14029, partial [Fusarium graminearum PH-1]	331	e3388b007566838790f2f47020340b6594733d3ec7da6b60df7d3b8ace9a2323	FGSG_14029		0	1	0	fgraminearum::FGRAMPH1_01G00001	resolved	fgsg_header_repo_local_mapping	inferred
XP_011315572.1	XP_011315572.1 hypothetical protein FGSG_14030 [Fusarium graminearum PH-1]	149	f571a787373f567ddae7ee4298d01199dc0683b76f25535732551c941e50c0ed	FGSG_14030		0	1	1	fgraminearum::FGRAMPH1_01G00001	resolved	unified_plus_fgsg_support	
XP_011315573.1	XP_011315573.1 hypothetical protein FGSG_11641 [Fusarium graminearum PH-1]	221	05d3255e14c87e75b1ca79757983f7919a19c89b39213b4e89e2b03dbd208064	FGSG_11641	I1S474	1	1	1	fgraminearum::FGRAMPH1_01G00023	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315574.1	XP_011315574.1 hypothetical protein FGSG_11605 [Fusarium graminearum PH-1]	377	1e156eff08f0204228c1511a3730016284037dec2d44137cbf8a62f3a91ee09a	FGSG_11605	I1S446	1	1	1	fgraminearum::FGRAMPH1_01G00025	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315575.1	XP_011315575.1 hypothetical protein FGSG_11642 [Fusarium graminearum PH-1]	222	b4272ad7ec2ae4cf6dfc2cd29f35450579e3b419e9c61180762b7f9303657bff	FGSG_11642	I1S475	1	1	1	fgraminearum::FGRAMPH1_01G00027	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315576.1	XP_011315576.1 hypothetical protein FGSG_11643 [Fusarium graminearum PH-1]	131	7ebcd1d71d25a9711eb9c790be76f29be73217131aa1c003eff78ab8f9ee73a5	FGSG_11643	I1S476	1	1	1	fgraminearum::FGRAMPH1_01G00029	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315577.1	XP_011315577.1 hypothetical protein FGSG_11600 [Fusarium graminearum PH-1]	434	f0cd8cf401a95719e46205cb1a654eae5a20d95d88d574c2c2e6596f83b1a55a	FGSG_11600		0	1	1	fgraminearum::FGRAMPH1_01G00031	resolved	unified_plus_fgsg_support	
XP_011315578.1	XP_011315578.1 hypothetical protein FGSG_11601 [Fusarium graminearum PH-1]	140	2fe3879c98fb0ae6a726e6ac942fdf1a4d9cd3da49c63354c241dcd65c62bb35	FGSG_11601	I1S443	1	1	1	fgraminearum::FGRAMPH1_01G00033	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315579.1	XP_011315579.1 hypothetical protein FGSG_00001 [Fusarium graminearum PH-1]	102	aa7957daabb7ed27e8cf91a1367796dbf65de97100105f072a00d39948fc0d79	FGSG_00001		0	1	1	fgraminearum::FGRAMPH1_01G00035	resolved	unified_plus_fgsg_support	
XP_011315580.1	XP_011315580.1 hypothetical protein FGSG_00002 [Fusarium graminearum PH-1]	732	0fe05de3dcae4a75983bedc2ebda4a5048190793d6f61a57f58a7f1f1517f0e1	FGSG_00002	I1R975	1	1	1	fgraminearum::FGRAMPH1_01G00037	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315581.1	XP_011315581.1 hypothetical protein FGSG_11644 [Fusarium graminearum PH-1]	560	76a3f2254c5eb1bb7811dc604c85a8c05aa4c127c18976c662dbba045f7f03b0	FGSG_11644	I1S477	1	1	1	fgraminearum::FGRAMPH1_01G00039	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315582.1	XP_011315582.1 hypothetical protein FGSG_00003 [Fusarium graminearum PH-1]	955	22102ff41c63f40862b001de69be25a9f7aa367850f43da2e833a000970f771c	FGSG_00003	I1R976	1	1	1	fgraminearum::FGRAMPH1_01G00041	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315583.1	XP_011315583.1 hypothetical protein FGSG_00004 [Fusarium graminearum PH-1]	223	4e8f0f27ea66507c78c650ada9282999d067e347ce76f94ba938f03d8db7139e	FGSG_00004	I1R977	1	1	1	fgraminearum::FGRAMPH1_01G00047	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315584.1	XP_011315584.1 hypothetical protein FGSG_00005 [Fusarium graminearum PH-1]	729	9af9ee8c5c5454e4b0305891121ccf4b0673a2f45b7d88ea72be717b76a9edac	FGSG_00005	I1R978	1	1	1	fgraminearum::FGRAMPH1_01G00049	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315585.1	XP_011315585.1 hypothetical protein FGSG_00006 [Fusarium graminearum PH-1]	296	8f14fae1a87236e70019647883132ceedd201ec904932854890c9effa013145f	FGSG_00006	I1R979	1	1	1	fgraminearum::FGRAMPH1_01G00051	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315586.1	XP_011315586.1 hypothetical protein FGSG_00007 [Fusarium graminearum PH-1]	459	40d3c9236952c8d5694fddf7a76d4ae6349ded855848605ed216a1eb14e39a4a	FGSG_00007		0	1	1	fgraminearum::FGRAMPH1_01G00053	resolved	unified_plus_fgsg_support	
XP_011315587.1	XP_011315587.1 hypothetical protein FGSG_11645 [Fusarium graminearum PH-1]	682	605a7a016ceacf22ef4475e3d779bea7a6d564d65a20a898d4d305c3f3538aec	FGSG_11645	I1S478	1	1	1	fgraminearum::FGRAMPH1_01G00055	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315588.1	XP_011315588.1 hypothetical protein FGSG_11646 [Fusarium graminearum PH-1]	108	92901fdfe8793151ac98b26dabacd7b75e095d61d966937bcb5292536d18330d	FGSG_11646	I1S479	1	1	1	fgraminearum::FGRAMPH1_01G00057	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315589.1	XP_011315589.1 hypothetical protein FGSG_11647 [Fusarium graminearum PH-1]	116	74fbcfa0441c137605e6b4afb6375bedfc2b4d1ff77272d06cc3fa897c0eae6b	FGSG_11647	I1S480	1	1	1	fgraminearum::FGRAMPH1_01G00059	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315590.1	XP_011315590.1 hypothetical protein FGSG_00009 [Fusarium graminearum PH-1]	207	b7a872c47c09d9d45ca692c39c468043749846c9dcce896e1006bcc1cc33461a	FGSG_00009		0	1	1	fgraminearum::FGRAMPH1_01G00061	resolved	unified_plus_fgsg_support	
XP_011315591.1	XP_011315591.1 hypothetical protein FGSG_00010 [Fusarium graminearum PH-1]	209	ae185a7bc1492b289d6d716d42182234c4653b59c4740ed2fe3f163020c9595a	FGSG_00010	I1R982	1	1	1	fgraminearum::FGRAMPH1_01G00063	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315592.1	XP_011315592.1 hypothetical protein FGSG_00011 [Fusarium graminearum PH-1]	719	3d45c9db7a58d132444e8a5663516b94e8effc360a8f4e5e051874bfc3dcf79a	FGSG_00011		0	1	1	fgraminearum::FGRAMPH1_01G00065	resolved	unified_plus_fgsg_support	
XP_011315593.1	XP_011315593.1 hypothetical protein FGSG_00012 [Fusarium graminearum PH-1]	518	c4a2f571055d792de37b83b1ed6a16e7eae8a5aabef7d0bc80d3ed66597dd476	FGSG_00012	I1R984	1	1	1	fgraminearum::FGRAMPH1_01G00067	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315594.1	XP_011315594.1 hypothetical protein FGSG_00013 [Fusarium graminearum PH-1]	534	f12c17cee98fb6f01a2db167bd85dea3ba3e7c591c1a408b24c4bd1baf809663	FGSG_00013	I1R985	1	1	1	fgraminearum::FGRAMPH1_01G00069	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315595.1	XP_011315595.1 hypothetical protein FGSG_11648 [Fusarium graminearum PH-1]	372	82e74c574a9391b345352e018b74224b37fc8e2042193da473aa3735240d258b	FGSG_11648		0	1	1	fgraminearum::FGRAMPH1_01G00071	resolved	unified_plus_fgsg_support	
XP_011315596.1	XP_011315596.1 hypothetical protein FGSG_11649 [Fusarium graminearum PH-1]	233	616d744d23bbd0f5a9cfb7e61b9da4625223b43950264a93b98d30c5f30084fe	FGSG_11649	I1S482	1	1	1	fgraminearum::FGRAMPH1_01G00073	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315597.1	XP_011315597.1 hypothetical protein FGSG_00014 [Fusarium graminearum PH-1]	374	1944d4ac238e57006f0195382ceb8eb9daec2649228c70222fc6628596e78f94	FGSG_00014		0	1	1	fgraminearum::FGRAMPH1_01G00075	resolved	unified_plus_fgsg_support	
XP_011315598.1	XP_011315598.1 hypothetical protein FGSG_00015 [Fusarium graminearum PH-1]	538	beb84939e3b69ae839a70635e4741385b7acc0f3a63a6864cfb3ff287ea79a9b	FGSG_00015	I1R987	1	1	1	fgraminearum::FGRAMPH1_01G00077	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315599.1	XP_011315599.1 hypothetical protein FGSG_11650 [Fusarium graminearum PH-1]	107	8159e99235e5f533bc7a40c68652596a34ca64837d561129966c5869c25a4fc9	FGSG_11650	I1S483	1	1	1	fgraminearum::FGRAMPH1_01G00079	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315600.1	XP_011315600.1 hypothetical protein FGSG_00016 [Fusarium graminearum PH-1]	318	aa75c1712f3d25c5af78b944a1b002099c30458f536394349c7e5711bfbb832b	FGSG_00016		0	1	1	fgraminearum::FGRAMPH1_01G00081	resolved	unified_plus_fgsg_support	
XP_011315601.1	XP_011315601.1 hypothetical protein FGSG_00017 [Fusarium graminearum PH-1]	564	35c9460097b91257ec12bfd71e11b30001cf33d8512573bb842a42ba0687d203	FGSG_00017	I1R989	1	1	1	fgraminearum::FGRAMPH1_01G00083	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315602.1	XP_011315602.1 hypothetical protein FGSG_00018 [Fusarium graminearum PH-1]	332	90bc068a6d561559170f99090aa1bd63758a4f4ac75b9016e67ea6834fc42913	FGSG_00018		0	1	1	fgraminearum::FGRAMPH1_01G00085	resolved	unified_plus_fgsg_support	
XP_011315603.1	XP_011315603.1 hypothetical protein FGSG_00019 [Fusarium graminearum PH-1]	542	8956320f94354041281247a1b7fb72f42f12e18892322e38cbdb98b8baa71ec2	FGSG_00019	I1R991	1	1	1	fgraminearum::FGRAMPH1_01G00087	resolved	exact_sequence_plus_fgsg_support	exact
XP_011315604.1	XP_011315604.1 hypothetical protein FGSG_00020 [Fusarium graminearum PH-1]	991	205909e15f96c8dde029c8649bc8d41fb54faa4a74208ed31aea34065c2ba25c	FGSG_00020		0	1	1	fgraminearum::FGRAMPH1_01G00089	resolved	unified_plus_fgsg_support	
XP_011315605.1	XP_011315605.1 hypothetical protein FGSG_00021 [Fusarium graminearum PH-1]	321	37c78cbd6dc8f0acba783e708593d1d2ed81eda3c2561c1da8df922924415657	FGSG_00021		0	1	1	fgraminearum::FGRAMPH1_01G00091	resolved	unified_plus_fgsg_support	
XP_011315606.1	XP_011315606.1 hypothetical protein FGSG_11651 [Fusarium graminearum PH-1]	133	35dacfeb146fa964631e240450e2a94eccd4558a45f22c1aafb85693e9958f35	FGSG_11651		0	1	1	fgraminearum::FGRAMPH1_01G00093	resolved	unified_plus_fgsg_support	
XP_011315607.1	XP_011315607.1 hypothetical protein FGSG_11652 [Fusarium graminearum PH-1]	244	e72eb2e78f4c4de5b5220b72b9cec1adb48d8e40e9d7bb78fd95b4b2490029a1	FGSG_11652		0	1	0	fgraminearum::FGRAMPH1_01G00093	resolved	fgsg_header_repo_local_mapping	inferred
