raw_probe_id	mapped_gene_id	mapping_status	mapping_method	keep_record	source_file	platform_gpl
A0A075B759		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0A096LP55	ENSG00000233954	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0A0A6YYL3	ENSG00000233917	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0A0B4J2A2	ENSG00000263464	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0A0B4J2D5		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0A0D9SF12		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0A0U1RR11		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0A183	ENSG00000235942	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0A1B0GTR3		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0A1B0GTZ2		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0A1B0GUI7		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0A1W2PR19		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0A2Z4LIS9		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0AUZ9	ENSG00000144445	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0AV02	ENSG00000221955	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0AV96	ENSG00000163694	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0AVF1	ENSG00000105948	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0AVI2		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0AVI4	ENSG00000168936	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0AVK6	ENSG00000129173	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0AVT1	ENSG00000033178	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0FGR8	ENSG00000117868	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0FGR9	ENSG00000158220	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0JLT2	ENSG00000156603	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0JNW5	ENSG00000111647	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0MZ66	ENSG00000187164	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PG75	ENSG00000231213	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJE2	ENSG00000102796	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJK1	ENSG00000154025	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJW6	ENSG00000168569	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJW8	ENSG00000163331	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJX0	ENSG00000157884	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJX4	ENSG00000178343	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJX8	ENSG00000162460	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJY2	ENSG00000128610	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PJZ0		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A0PJZ3	ENSG00000172986	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PK00	ENSG00000188735	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PK05	ENSG00000187783	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0PK11	ENSG00000249581	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A0ZSE6		unmapped	none	False	human_GSE86354_GTEx_FPKM.csv	NA
A1A4F0	ENSG00000174899	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A1A4G5	ENSG00000206535	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A1A4V9	ENSG00000196118	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
A1A4Y4	ENSG00000237693	mapped	alias_bridge	True	human_GSE86354_GTEx_FPKM.csv	NA
